	chao1	shannon	observed_otus	simpson	equitability
10317.000002503	201.034482759	5.2692992409	140.0	0.929686	0.739106475136
10317.000013618	371.25	6.44882053597	198.0	0.980134	0.845264005486
10317.000031796	325.323529412	6.11076692355	194.0	0.96564	0.804057500453
10317.000026504	249.129032258	5.8742966758	162.0	0.964392	0.800329253798
10317.000007104	229.772727273	5.51984092518	141.0	0.953992	0.7731355449
10317.000007077	309.3	5.75693991964	163.0	0.960354	0.783392690383
10317.000016408	377.24	6.17516753074	191.0	0.971696	0.814942333459
10317.000005802	143.714285714	4.26987541988	88.0	0.884192	0.661029587737
10317.000006952	211.441176471	5.77885877147	154.0	0.966948	0.795242675577
10317.000013023	297.636363636	5.81840325631	154.0	0.967756	0.80068448739
10317.000002645	234.6	4.65096789172	138.0	0.888014	0.654280353117
10317.000002027	319.5	5.56802637455	142.0	0.958104	0.778772491038
10317.000027353	370.527777778	6.18435833906	213.0	0.95825	0.799559213301
10317.000023798	258.277777778	5.76164932511	177.0	0.947562	0.771552445623
10317.000041962	383.516129032	6.31067156244	204.0	0.974348	0.822513257694
10317.000040352	244.066666667	4.05113464235	118.0	0.77811	0.588601590013
10317.000028811	266.4	4.71820608057	135.0	0.91084	0.666713158745
10317.000027772	424.5	6.72286596579	236.0	0.980482	0.852869516442
10317.000027617	287.333333333	5.31015215939	148.0	0.937344	0.736554061741
10317.000039924	225.315789474	5.41604763628	129.0	0.959024	0.772482111757
10317.000039952	77.7692307692	4.28024110734	66.0	0.897792	0.708134020188
10317.000026028	266.7	5.84424854892	164.0	0.966518	0.794319706507
10317.000001441	228.275862069	4.88001228609	145.0	0.895652	0.679676055074
10317.000016347	305.375	5.80179095304	183.0	0.946774	0.771956182109
10317.000001595	315.391304348	5.95194088264	171.0	0.967038	0.802380590703
10317.000002146	218.0	5.56718710679	134.0	0.957344	0.787873879983
10317.000012158	298.757575758	6.24640022414	188.0	0.973422	0.826835231775
10317.000014313	176.3	4.00864383785	86.0	0.854624	0.623790645245
10317.000007749	187.130434783	5.442050798	136.0	0.945056	0.767841880782
10317.000018083	171.333333333	4.65815891609	113.0	0.902474	0.682996581434
10317.000017335	388.55	5.80869210943	170.0	0.967354	0.783963507863
10317.000002578	261.043478261	5.79243850387	153.0	0.963196	0.798143716365
10317.000007719	317.0	4.97496995373	122.0	0.931992	0.717812508456
10317.000009676	135.230769231	4.17389210608	84.0	0.845042	0.652954449854
10317.000006716	333.037037037	5.69887090593	178.0	0.952956	0.762315959839
10317.000006802	276.527777778	5.58937231087	175.0	0.943134	0.750129371853
10317.000002898	227.5	5.45473380967	145.0	0.954484	0.759721849022
10317.000001647	291.176470588	5.52983582475	145.0	0.949978	0.770181872141
10317.000002878	256.043478261	5.47729988819	157.0	0.931188	0.750868355839
10317.000009527	218.55	5.13802414228	124.0	0.940568	0.738837949485
10317.000017667	362.894736842	5.8603118621	166.0	0.967316	0.79461430907
10317.000009213	210.214285714	5.47749602166	147.0	0.949822	0.760797958477
10317.000031434	301.954545455	5.19596398902	151.0	0.928816	0.717832751296
10317.000027217	289.4	4.50810858158	133.0	0.835894	0.638969257829
10317.000001546	341.272727273	6.28736435	179.0	0.978672	0.84012815616
10317.000009074	234.666666667	5.80945668829	148.0	0.968786	0.805810980897
10317.000027277	300.636363636	5.24345319548	157.0	0.923642	0.718810939729
10317.000001333	142.428571429	4.19265959066	67.0	0.90586	0.691163525464
10317.000023984	315.333333333	5.59258680365	157.0	0.950174	0.76667272997
10317.000021327	221.55	4.86616702864	127.0	0.91836	0.696292256231
10317.000028933	310.714285714	5.80532525726	164.0	0.959778	0.789029456213
10317.000015568	255.4	5.79502281392	156.0	0.962986	0.795429358576
10317.000006944	464.090909091	2.84225953212	124.0	0.571992	0.408711431956
10317.000002028	271.777777778	5.42614940474	169.0	0.9138	0.733176300392
10317.000003896	280.652173913	5.73081723997	160.0	0.955222	0.782692368144
10317.000011025	253.848484848	6.04855910145	172.0	0.971198	0.814482017708
10317.000017293	350.130434783	5.77140453261	176.0	0.957106	0.773705669234
10317.000031284	178.272727273	3.50105185368	80.0	0.796486	0.553794950074
10317.000020034	292.5	5.62792641115	168.0	0.954778	0.761320988979
10317.000037584	257.476190476	5.79348778564	149.0	0.967986	0.802514551257
10317.000031847	203.0	5.20526034773	133.0	0.932662	0.7377819946
10317.000013935	384.954545455	5.87852613024	182.0	0.962458	0.782989734264
10317.000014019	290.181818182	6.01747083379	182.0	0.967488	0.801496460968
10317.000023052	259.555555556	5.16508922571	133.0	0.935046	0.732088229341
10317.000015385	327.25	6.18257629014	182.0	0.972712	0.823487666676
10317.000017354	383.041666667	6.43680524757	197.0	0.977006	0.844497702199
10317.000023475	280.228571429	6.17625629843	183.0	0.973278	0.821780596794
10317.000003475	320.5	5.59320125322	184.0	0.940178	0.743424628639
10317.000017269	246.75	5.31292521796	149.0	0.933082	0.735946972689
10317.000014801	280.0	5.4949668132	136.0	0.952826	0.775308024364
10317.000009716	316.277777778	6.35019846437	200.0	0.976742	0.830758495021
10317.000013155	269.615384615	5.49951232766	160.0	0.943238	0.751101657431
10317.000015604	207.0	5.48372970818	148.0	0.948124	0.760630443124
10317.000009236	290.0	5.42788986048	144.0	0.937368	0.757035793176
10317.000041289	320.0	5.31254850775	154.0	0.937654	0.731072596945
