Group1	Group2	Group1 mean	Group1 std	Group2 mean	Group2 std	t stat	p-value
20s	50s	242.706958601	60.0057214259	255.25629531	63.1785206688	-2.15970912525	0.28
teen	40s	253.359299927	45.7107519528	259.994072454	60.8369155822	-0.514565970666	1.0
20s	30s	242.706958601	60.0057214259	249.503949291	58.8025979179	-1.31733391922	1.0
20s	40s	242.706958601	60.0057214259	259.994072454	60.8369155822	-3.29970848005	0.01
30s	50s	249.503949291	58.8025979179	255.25629531	63.1785206688	-1.23693673091	1.0
40s	50s	259.994072454	60.8369155822	255.25629531	63.1785206688	1.01036153705	1.0
teen	30s	253.359299927	45.7107519528	249.503949291	58.8025979179	0.308751166215	1.0
30s	40s	249.503949291	58.8025979179	259.994072454	60.8369155822	-2.59257429379	0.16
teen	50s	253.359299927	45.7107519528	255.25629531	63.1785206688	-0.140569015341	1.0
teen	20s	253.359299927	45.7107519528	242.706958601	60.0057214259	0.819237962642	1.0
