Group1	Group2	Group1 mean	Group1 std	Group2 mean	Group2 std	t stat	p-value
Age_50_55	Age_35_39	146.638551237	36.9000188699	142.287961165	35.6586355875	1.30299073344	1.0
Age_40_44	Age_25_29	148.927064677	33.4611432902	142.032682927	35.7617999873	1.74770487447	1.0
Age_40_44	Age_18_24	148.927064677	33.4611432902	136.554945055	32.9945042501	2.9290087249	0.042
Age_30_34	Age_45_49	144.766289593	32.3282894452	151.18084	35.8115868693	-2.02581926697	0.84
Age_35_39	Age_25_29	142.287961165	35.6586355875	142.032682927	35.7617999873	0.0625667079794	1.0
Age_50_55	Age_30_34	146.638551237	36.9000188699	144.766289593	32.3282894452	0.595242422837	1.0
Age_50_55	Age_40_44	146.638551237	36.9000188699	148.927064677	33.4611432902	-0.69717775436	1.0
Age_50_55	Age_18_24	146.638551237	36.9000188699	136.554945055	32.9945042501	2.31879569882	0.399
Age_18_24	Age_45_49	136.554945055	32.9945042501	151.18084	35.8115868693	-3.39527453688	0.021
Age_35_39	Age_45_49	142.287961165	35.6586355875	151.18084	35.8115868693	-2.63829453987	0.21
Age_35_39	Age_40_44	142.287961165	35.6586355875	148.927064677	33.4611432902	-1.93113696531	1.0
Age_50_55	Age_45_49	146.638551237	36.9000188699	151.18084	35.8115868693	-1.43526991487	1.0
Age_45_49	Age_25_29	151.18084	35.8115868693	142.032682927	35.7617999873	2.31424739345	0.378
Age_30_34	Age_18_24	144.766289593	32.3282894452	136.554945055	32.9945042501	2.02047392877	1.0
Age_35_39	Age_30_34	142.287961165	35.6586355875	144.766289593	32.3282894452	-0.751425943737	1.0
Age_50_55	Age_25_29	146.638551237	36.9000188699	142.032682927	35.7617999873	1.16366628599	1.0
Age_40_44	Age_45_49	148.927064677	33.4611432902	151.18084	35.8115868693	-0.682416977721	1.0
Age_18_24	Age_25_29	136.554945055	32.9945042501	142.032682927	35.7617999873	-1.13920187398	1.0
Age_30_34	Age_25_29	144.766289593	32.3282894452	142.032682927	35.7617999873	0.721187062012	1.0
Age_35_39	Age_18_24	142.287961165	35.6586355875	136.554945055	32.9945042501	1.30201178879	1.0
Age_30_34	Age_40_44	144.766289593	32.3282894452	148.927064677	33.4611432902	-1.29552167375	1.0
