Group1	Group2	Group1 mean	Group1 std	Group2 mean	Group2 std	t stat	p-value
20s	50s	0.91902340199	0.0697831108488	0.918842123746	0.0839616445824	0.0245903390307	1.0
teen	40s	0.942228398261	0.0355724770677	0.931279959601	0.0627084163529	0.828776604158	1.0
20s	30s	0.91902340199	0.0697831108488	0.921737611569	0.0726850776178	-0.433557904395	1.0
20s	40s	0.91902340199	0.0697831108488	0.931279959601	0.0627084163529	-2.18436367594	0.26
30s	50s	0.921737611569	0.0726850776178	0.918842123746	0.0839616445824	0.487500454015	1.0
40s	50s	0.931279959601	0.0627084163529	0.918842123746	0.0839616445824	2.28585580547	0.21
teen	30s	0.942228398261	0.0355724770677	0.921737611569	0.0726850776178	1.34037540745	1.0
30s	40s	0.921737611569	0.0726850776178	0.931279959601	0.0627084163529	-2.0837380782	0.36
teen	50s	0.942228398261	0.0355724770677	0.918842123746	0.0839616445824	1.32182863637	1.0
teen	20s	0.942228398261	0.0355724770677	0.91902340199	0.0697831108488	1.56302342105	1.0
