Group1	Group2	Group1 mean	Group1 std	Group2 mean	Group2 std	t stat	p-value
Age_50_55	Age_35_39	0.921304955892	0.0864961932712	0.922385767621	0.0668006387956	-0.126441786021	1.0
Age_40_44	Age_25_29	0.935239096789	0.0523166407848	0.924114865456	0.0600125789346	1.49641059107	1.0
Age_40_44	Age_18_24	0.935239096789	0.0523166407848	0.927046114086	0.0460183285494	1.14810053338	1.0
Age_30_34	Age_45_49	0.931327476442	0.057020103992	0.933669869563	0.06804419736	-0.338276190429	1.0
Age_35_39	Age_25_29	0.922385767621	0.0668006387956	0.924114865456	0.0600125789346	-0.202947011101	1.0
Age_50_55	Age_30_34	0.921304955892	0.0864961932712	0.931327476442	0.057020103992	-1.25860029808	1.0
Age_50_55	Age_40_44	0.921304955892	0.0864961932712	0.935239096789	0.0523166407848	-1.70171116217	1.0
Age_50_55	Age_18_24	0.921304955892	0.0864961932712	0.927046114086	0.0460183285494	-0.550497320732	1.0
Age_18_24	Age_45_49	0.927046114086	0.0460183285494	0.933669869563	0.06804419736	-0.775099357263	1.0
Age_35_39	Age_45_49	0.922385767621	0.0668006387956	0.933669869563	0.06804419736	-1.49244980412	1.0
Age_35_39	Age_40_44	0.922385767621	0.0668006387956	0.935239096789	0.0523166407848	-1.81747604414	1.0
Age_50_55	Age_45_49	0.921304955892	0.0864961932712	0.933669869563	0.06804419736	-1.50515525227	1.0
Age_45_49	Age_25_29	0.933669869563	0.06804419736	0.924114865456	0.0600125789346	1.13188452195	1.0
Age_30_34	Age_18_24	0.931327476442	0.057020103992	0.927046114086	0.0460183285494	0.572903187417	1.0
Age_35_39	Age_30_34	0.922385767621	0.0668006387956	0.931327476442	0.057020103992	-1.26821554696	1.0
Age_50_55	Age_25_29	0.921304955892	0.0864961932712	0.924114865456	0.0600125789346	-0.281680614057	1.0
Age_40_44	Age_45_49	0.935239096789	0.0523166407848	0.933669869563	0.06804419736	0.22456587165	1.0
Age_18_24	Age_25_29	0.927046114086	0.0460183285494	0.924114865456	0.0600125789346	0.349425034608	1.0
Age_30_34	Age_25_29	0.931327476442	0.057020103992	0.924114865456	0.0600125789346	0.948824458372	1.0
Age_35_39	Age_18_24	0.922385767621	0.0668006387956	0.927046114086	0.0460183285494	-0.546535918072	1.0
Age_30_34	Age_40_44	0.931327476442	0.057020103992	0.935239096789	0.0523166407848	-0.617235075964	1.0
