age_cat	sex	chao1	observed_otus	shannon	simpson
20s	female	243.70703070500758	140.5225757575758	5.208259423873719	0.9233324006060607
20s	male	239.3420610398062	137.2132	5.138634531507236	0.9165249695999996
30s	female	248.6556479421754	144.97521052631578	5.310122369566503	0.9262459613684211
30s	male	247.22797275823194	141.6454008438819	5.195414812330024	0.9178693555274254
40s	female	258.82340497403084	150.2469874476988	5.387732847567246	0.9296953014225945
40s	male	257.18018482040986	149.0760849056603	5.394735583488913	0.9329384350000006
50s	female	250.87767077655516	144.45906666666667	5.253294655270642	0.920039014533333
50s	male	255.42928303359975	147.82969924812022	5.272208430021649	0.9172141243609024
teen	female	256.43836587992826	153.45166666666665	5.641883625452281	0.9537349116666666
teen	male	248.07971815308977	139.9390909090909	5.254268335214232	0.9296018054545455
