race	age_cat	chao1	observed_otus	shannon	simpson
African American	30s	194.09804785242827	108.14599999999999	4.445731045921462	0.8674130200000001
African American	40s	205.59696026848158	123.97285714285715	5.072352183414947	0.9203928600000001
African American	teen	259.669257665842	149.6	5.500072430720903	0.9499837200000001
Asian or Pacific Islander	20s	207.2760663417456	116.68346153846156	4.716603351490432	0.8985692061538461
Asian or Pacific Islander	30s	212.15575619387204	123.92218749999999	4.909140936379688	0.9068039256250002
Asian or Pacific Islander	40s	234.54505522363797	138.99842105263156	5.222931168962855	0.9245780789473688
Asian or Pacific Islander	50s	197.69832917521558	113.11999999999999	4.2756525375316885	0.8133631949999999
Asian or Pacific Islander	teen	216.8813635601987	130.17999999999998	5.264761489157586	0.9411667866666668
Caucasian	20s	241.092570845711	138.47500000000002	5.162617617930647	0.918311340394737
Caucasian	30s	251.3312260431293	145.18543307086617	5.284671183329666	0.9236843213123358
Caucasian	40s	260.1966320457467	150.6133253588517	5.401376740560673	0.9314543809569372
Caucasian	50s	254.6329797519395	147.0479182156133	5.293157456694751	0.9218330338289965
Caucasian	teen	257.99084967219596	149.41647058823528	5.48279551537016	0.9415384858823531
Hispanic	20s	308.86303142513674	180.9730769230769	6.063296281230058	0.9671266584615382
Hispanic	30s	244.26245899177366	143.55111111111108	5.280005478819941	0.9169398866666669
Hispanic	40s	257.2649691516673	151.67428571428573	5.574561772289437	0.9477216000000002
Hispanic	50s	251.39762089456715	146.89666666666668	5.191364336404018	0.9173886700000002
Hispanic	teen	254.6575393989761	148.31	5.490820629985615	0.9447892799999998
