c__Coriobacteriia	 p__Actinobacteria	k__Bacteria	c__Bacteroidia	 p__Bacteroidetes	k__Bacteria	-0.368321371372	1.9887351156e-45
c__Coriobacteriia	 p__Actinobacteria	k__Bacteria	c__Clostridia	 p__Firmicutes	k__Bacteria	0.358412333803	6.08105015873e-43
c__Coriobacteriia	 p__Actinobacteria	k__Bacteria	c__Erysipelotrichi	 p__Firmicutes	k__Bacteria	0.37547659897	2.81098673637e-47
c__Coriobacteriia	 p__Actinobacteria	k__Bacteria	c__Actinobacteria	 p__Actinobacteria	k__Bacteria	0.354588970372	5.24422161375e-42
c__Coriobacteriia	 p__Actinobacteria	k__Bacteria	c__Gammaproteobacteria	 p__Proteobacteria	k__Bacteria	-0.132781754515	7.76851276854e-07
c__Coriobacteriia	 p__Actinobacteria	k__Bacteria	c__Chloroplast	 p__Cyanobacteria	k__Bacteria	0.132153866204	8.76465424204e-07
c__Coriobacteriia	 p__Actinobacteria	k__Bacteria	c__TM7-3	 p__TM7	k__Bacteria	0.167938758718	3.69902751558e-10
c__Coriobacteriia	 p__Actinobacteria	k__Bacteria	c__Bacilli	 p__Firmicutes	k__Bacteria	0.304300321303	7.51574926536e-31
c__Fusobacteriia	 p__Fusobacteria	k__Bacteria	c__Epsilonproteobacteria	 p__Proteobacteria	k__Bacteria	0.249237812698	6.47193739711e-21
c__Fusobacteriia	 p__Fusobacteria	k__Bacteria	c__4C0d-2	 p__Cyanobacteria	k__Bacteria	0.124040405276	3.96546593174e-06
c__Fusobacteriia	 p__Fusobacteria	k__Bacteria	c__Flavobacteriia	 p__Bacteroidetes	k__Bacteria	0.180037636394	1.75682950158e-11
c__Fusobacteriia	 p__Fusobacteria	k__Bacteria	c__Chloroplast	 p__Cyanobacteria	k__Bacteria	0.150938314408	1.86475143039e-08
c__Fusobacteriia	 p__Fusobacteria	k__Bacteria	c__TM7-3	 p__TM7	k__Bacteria	0.118613547514	1.03426074658e-05
c__Fusobacteriia	 p__Fusobacteria	k__Bacteria	c__Synergistia	 p__Synergistetes	k__Bacteria	0.138043019172	2.76591902848e-07
c__Acidimicrobiia	 p__Actinobacteria	k__Bacteria	c__Acidobacteriia	 p__Acidobacteria	k__Bacteria	0.429582813167	7.5164498101e-63
c__Acidimicrobiia	 p__Actinobacteria	k__Bacteria	c__[Rhodothermi]	 p__Bacteroidetes	k__Bacteria	0.278565060427	6.338770425e-26
c__Acidimicrobiia	 p__Actinobacteria	k__Bacteria	c__Deinococci	 p__[Thermi]	k__Bacteria	0.119671566552	8.60691006606e-06
c__Acidimicrobiia	 p__Actinobacteria	k__Bacteria	c__[Spartobacteria]	 p__Verrucomicrobia	k__Bacteria	0.304215220984	7.81819111234e-31
