o__Chromatiales	 c__Gammaproteobacteria	 p__Proteobacteria	k__Bacteria	o__	 c__Clostridia	 p__Firmicutes	k__Bacteria	0.137146979105	3.30687670053e-07
o__Rhodocyclales	 c__Betaproteobacteria	 p__Proteobacteria	k__Bacteria	o__[Saprospirales]	 c__[Saprospirae]	 p__Bacteroidetes	k__Bacteria	0.17479838133	6.75007879363e-11
o__Rhodocyclales	 c__Betaproteobacteria	 p__Proteobacteria	k__Bacteria	o__Sphingomonadales	 c__Alphaproteobacteria	 p__Proteobacteria	k__Bacteria	0.165415156119	6.79731187557e-10
o__Rhodocyclales	 c__Betaproteobacteria	 p__Proteobacteria	k__Bacteria	o__Sphingobacteriales	 c__Sphingobacteriia	 p__Bacteroidetes	k__Bacteria	0.194579353728	3.38039047609e-13
o__Rhodocyclales	 c__Betaproteobacteria	 p__Proteobacteria	k__Bacteria	o__Rhodobacterales	 c__Alphaproteobacteria	 p__Proteobacteria	k__Bacteria	0.141145430556	1.47717181942e-07
o__Rhodocyclales	 c__Betaproteobacteria	 p__Proteobacteria	k__Bacteria	o__Bdellovibrionales	 c__Deltaproteobacteria	 p__Proteobacteria	k__Bacteria	0.168280462014	3.4040537933e-10
o__Rhodocyclales	 c__Betaproteobacteria	 p__Proteobacteria	k__Bacteria	o__Acidimicrobiales	 c__Acidimicrobiia	 p__Actinobacteria	k__Bacteria	0.224332249507	3.81609845355e-17
o__Rhodocyclales	 c__Betaproteobacteria	 p__Proteobacteria	k__Bacteria	o__Methylococcales	 c__Gammaproteobacteria	 p__Proteobacteria	k__Bacteria	0.138087556426	2.74138875952e-07
o__Rhodocyclales	 c__Betaproteobacteria	 p__Proteobacteria	k__Bacteria	o__	 c__Gitt-GS-136	 p__Chloroflexi	k__Bacteria	0.119735119164	8.51203842876e-06
o__Rhodocyclales	 c__Betaproteobacteria	 p__Proteobacteria	k__Bacteria	o__Cytophagales	 c__Cytophagia	 p__Bacteroidetes	k__Bacteria	0.124739347078	3.4945116699e-06
o__Rhodocyclales	 c__Betaproteobacteria	 p__Proteobacteria	k__Bacteria	o__Solirubrobacterales	 c__Thermoleophilia	 p__Actinobacteria	k__Bacteria	0.162410048615	1.38593216789e-09
o__Rhodocyclales	 c__Betaproteobacteria	 p__Proteobacteria	k__Bacteria	o__Rhizobiales	 c__Alphaproteobacteria	 p__Proteobacteria	k__Bacteria	0.192332564046	6.35458181469e-13
o__Rhodocyclales	 c__Betaproteobacteria	 p__Proteobacteria	k__Bacteria	o__Caulobacterales	 c__Alphaproteobacteria	 p__Proteobacteria	k__Bacteria	0.223780783726	4.57330820968e-17
o__Rhodocyclales	 c__Betaproteobacteria	 p__Proteobacteria	k__Bacteria	o__Flavobacteriales	 c__Flavobacteriia	 p__Bacteroidetes	k__Bacteria	0.228924138774	8.29712380623e-18
o__Rhodocyclales	 c__Betaproteobacteria	 p__Proteobacteria	k__Bacteria	o__Xanthomonadales	 c__Gammaproteobacteria	 p__Proteobacteria	k__Bacteria	0.117304845713	1.29535907735e-05
o__Rhodocyclales	 c__Betaproteobacteria	 p__Proteobacteria	k__Bacteria	o__Gaiellales	 c__Thermoleophilia	 p__Actinobacteria	k__Bacteria	0.131602199349	9.7403180563e-07
o__Rhodocyclales	 c__Betaproteobacteria	 p__Proteobacteria	k__Bacteria	o__Burkholderiales	 c__Betaproteobacteria	 p__Proteobacteria	k__Bacteria	0.127407342129	2.14330474235e-06
o__Gemellales	 c__Bacilli	 p__Firmicutes	k__Bacteria	o__Acidobacteriales	 c__Acidobacteriia	 p__Acidobacteria	k__Bacteria	0.125013936734	3.32456353498e-06
o__Gemellales	 c__Bacilli	 p__Firmicutes	k__Bacteria	o__Campylobacterales	 c__Epsilonproteobacteria	 p__Proteobacteria	k__Bacteria	0.126061370832	2.74615549316e-06
o__Gemellales	 c__Bacilli	 p__Firmicutes	k__Bacteria	o__Actinomycetales	 c__Actinobacteria	 p__Actinobacteria	k__Bacteria	0.140614240437	1.64623477688e-07
o__Gemellales	 c__Bacilli	 p__Firmicutes	k__Bacteria	o__	 c__	 p__SR1	k__Bacteria	0.121868518768	5.84841195529e-06
o__Gemellales	 c__Bacilli	 p__Firmicutes	k__Bacteria	o__Rickettsiales	 c__Alphaproteobacteria	 p__Proteobacteria	k__Bacteria	0.194811541135	3.16555259932e-13
o__Gemellales	 c__Bacilli	 p__Firmicutes	k__Bacteria	o__Turicibacterales	 c__Bacilli	 p__Firmicutes	k__Bacteria	0.137593724431	3.02552366433e-07
o__Gemellales	 c__Bacilli	 p__Firmicutes	k__Bacteria	o__Vibrionales	 c__Gammaproteobacteria	 p__Proteobacteria	k__Bacteria	0.143976457915	8.23543088989e-08
o__Gemellales	 c__Bacilli	 p__Firmicutes	k__Bacteria	o__	 c__TM7-3	 p__TM7	k__Bacteria	0.160795230746	2.02137293442e-09
o__Gemellales	 c__Bacilli	 p__Firmicutes	k__Bacteria	o__Lactobacillales	 c__Bacilli	 p__Firmicutes	k__Bacteria	0.124951657047	3.36240080529e-06
o__Gemellales	 c__Bacilli	 p__Firmicutes	k__Bacteria	o__Neisseriales	 c__Betaproteobacteria	 p__Proteobacteria	k__Bacteria	0.255880101334	5.38741927811e-22
o__Gemellales	 c__Bacilli	 p__Firmicutes	k__Bacteria	o__Solirubrobacterales	 c__Thermoleophilia	 p__Actinobacteria	k__Bacteria	0.142879298994	1.03421464087e-07
o__Gemellales	 c__Bacilli	 p__Firmicutes	k__Bacteria	o__Pasteurellales	 c__Gammaproteobacteria	 p__Proteobacteria	k__Bacteria	0.204717372085	1.78076288171e-14
o__Gemellales	 c__Bacilli	 p__Firmicutes	k__Bacteria	o__Flavobacteriales	 c__Flavobacteriia	 p__Bacteroidetes	k__Bacteria	0.172873731796	1.09553767143e-10
o__Gemellales	 c__Bacilli	 p__Firmicutes	k__Bacteria	o__Streptophyta	 c__Chloroplast	 p__Cyanobacteria	k__Bacteria	0.134169973132	5.93799332727e-07
o__Gemellales	 c__Bacilli	 p__Firmicutes	k__Bacteria	o__Fusobacteriales	 c__Fusobacteriia	 p__Fusobacteria	k__Bacteria	0.248575001866	8.26107019399e-21
o__Acidobacteriales	 c__Acidobacteriia	 p__Acidobacteria	k__Bacteria	o__[Saprospirales]	 c__[Saprospirae]	 p__Bacteroidetes	k__Bacteria	0.319081848827	6.49515513921e-34
o__Acidobacteriales	 c__Acidobacteriia	 p__Acidobacteria	k__Bacteria	o__Euzebyales	 c__Nitriliruptoria	 p__Actinobacteria	k__Bacteria	0.137043312254	3.3756832001e-07
o__Acidobacteriales	 c__Acidobacteriia	 p__Acidobacteria	k__Bacteria	o__Sphingomonadales	 c__Alphaproteobacteria	 p__Proteobacteria	k__Bacteria	0.174863660305	6.63947558843e-11
o__Acidobacteriales	 c__Acidobacteriia	 p__Acidobacteria	k__Bacteria	o__CW040	 c__TM7-3	 p__TM7	k__Bacteria	0.199808801498	7.55201285343e-14
o__Acidobacteriales	 c__Acidobacteriia	 p__Acidobacteria	k__Bacteria	o__[Rhodothermales]	 c__[Rhodothermi]	 p__Bacteroidetes	k__Bacteria	0.197336859864	1.54167995051e-13
o__Acidobacteriales	 c__Acidobacteriia	 p__Acidobacteria	k__Bacteria	o__Actinomycetales	 c__Actinobacteria	 p__Actinobacteria	k__Bacteria	0.118393550309	1.07432435807e-05
o__Acidobacteriales	 c__Acidobacteriia	 p__Acidobacteria	k__Bacteria	o__Alteromonadales	 c__Gammaproteobacteria	 p__Proteobacteria	k__Bacteria	0.122218130525	5.4962505876e-06
o__Acidobacteriales	 c__Acidobacteriia	 p__Acidobacteria	k__Bacteria	o__[Chthoniobacterales]	 c__[Spartobacteria]	 p__Verrucomicrobia	k__Bacteria	0.738772582923	1.49382462551e-237
o__Acidobacteriales	 c__Acidobacteriia	 p__Acidobacteria	k__Bacteria	o__Rhodospirillales	 c__Alphaproteobacteria	 p__Proteobacteria	k__Bacteria	0.476711103424	6.18222420045e-79
o__Acidobacteriales	 c__Acidobacteriia	 p__Acidobacteria	k__Bacteria	o__Ellin6513	 c__DA052	 p__Acidobacteria	k__Bacteria	0.83099866869	0.0
o__Acidobacteriales	 c__Acidobacteriia	 p__Acidobacteria	k__Bacteria	o__Gemmatimonadales	 c__Gemmatimonadetes	 p__Gemmatimonadetes	k__Bacteria	0.196472610843	1.97424221717e-13
o__Acidobacteriales	 c__Acidobacteriia	 p__Acidobacteria	k__Bacteria	o__Vibrionales	 c__Gammaproteobacteria	 p__Proteobacteria	k__Bacteria	0.22505067623	3.01228032492e-17
o__Acidobacteriales	 c__Acidobacteriia	 p__Acidobacteria	k__Bacteria	o__Acidimicrobiales	 c__Acidimicrobiia	 p__Actinobacteria	k__Bacteria	0.429582813167	7.5164498101e-63
o__Acidobacteriales	 c__Acidobacteriia	 p__Acidobacteria	k__Bacteria	o__Methylococcales	 c__Gammaproteobacteria	 p__Proteobacteria	k__Bacteria	0.137043312254	3.3756832001e-07
