f__	 o__Rickettsiales	 c__Alphaproteobacteria	 p__Proteobacteria	k__Bacteria	f__	 o__Rhizobiales	 c__Alphaproteobacteria	 p__Proteobacteria	k__Bacteria	0.149233926409	2.69975114117e-08
f__	 o__Rickettsiales	 c__Alphaproteobacteria	 p__Proteobacteria	k__Bacteria	f__Bradyrhizobiaceae	 o__Rhizobiales	 c__Alphaproteobacteria	 p__Proteobacteria	k__Bacteria	0.134076326175	6.04712456929e-07
f__	 o__Rickettsiales	 c__Alphaproteobacteria	 p__Proteobacteria	k__Bacteria	f__Legionellaceae	 o__Legionellales	 c__Gammaproteobacteria	 p__Proteobacteria	k__Bacteria	0.354455475473	5.65092965106e-42
f__	 o__Rickettsiales	 c__Alphaproteobacteria	 p__Proteobacteria	k__Bacteria	f__Phyllobacteriaceae	 o__Rhizobiales	 c__Alphaproteobacteria	 p__Proteobacteria	k__Bacteria	0.331385921373	1.342236729e-36
f__	 o__Rickettsiales	 c__Alphaproteobacteria	 p__Proteobacteria	k__Bacteria	f__Chitinophagaceae	 o__[Saprospirales]	 c__[Saprospirae]	 p__Bacteroidetes	k__Bacteria	0.278565060427	6.338770425e-26
f__	 o__Rickettsiales	 c__Alphaproteobacteria	 p__Proteobacteria	k__Bacteria	f__Hyphomicrobiaceae	 o__Rhizobiales	 c__Alphaproteobacteria	 p__Proteobacteria	k__Bacteria	0.205843741533	1.27162555245e-14
f__	 o__ML615J-28	 c__RF3	 p__Tenericutes	k__Bacteria	f__Victivallaceae	 o__Victivallales	 c__[Lentisphaeria]	 p__Lentisphaerae	k__Bacteria	0.269567877527	2.54557389088e-24
f__	 o__ML615J-28	 c__RF3	 p__Tenericutes	k__Bacteria	f__Peptococcaceae	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__Bacteria	0.169566405248	2.48603644374e-10
f__	 o__ML615J-28	 c__RF3	 p__Tenericutes	k__Bacteria	f__	 o__YS2	 c__4C0d-2	 p__Cyanobacteria	k__Bacteria	0.167478419257	4.13610781589e-10
f__	 o__ML615J-28	 c__RF3	 p__Tenericutes	k__Bacteria	f__[Cerasicoccaceae]	 o__[Cerasicoccales]	 c__Opitutae	 p__Verrucomicrobia	k__Bacteria	0.147916430154	3.58352641836e-08
f__	 o__ML615J-28	 c__RF3	 p__Tenericutes	k__Bacteria	f__Ruminococcaceae	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__Bacteria	0.149322292111	2.64872165897e-08
f__	 o__ML615J-28	 c__RF3	 p__Tenericutes	k__Bacteria	f__S24-7	 o__Bacteroidales	 c__Bacteroidia	 p__Bacteroidetes	k__Bacteria	0.158495240274	3.43763752739e-09
