f__	 o__Rickettsiales	 c__Alphaproteobacteria	 p__Proteobacteria	k__Bacteria	1.29337605495e-05
f__	 o__ML615J-28	 c__RF3	 p__Tenericutes	k__Bacteria	0.000517439689775
f__	 o__	 c__Alphaproteobacteria	 p__Proteobacteria	k__Bacteria	6.65804353488e-06
f__Nocardiaceae	 o__Actinomycetales	 c__Actinobacteria	 p__Actinobacteria	k__Bacteria	5.37004443723e-05
f__	 o__	 c__	 p__SR1	k__Bacteria	4.45014162324e-06
f__	 o__	 c__Clostridia	 p__Firmicutes	k__Bacteria	7.8268797286e-06
f__Victivallaceae	 o__Victivallales	 c__[Lentisphaeria]	 p__Lentisphaerae	k__Bacteria	0.000218174270499
f__Helicobacteraceae	 o__Campylobacterales	 c__Epsilonproteobacteria	 p__Proteobacteria	k__Bacteria	5.90279608685e-05
f__Euzebyaceae	 o__Euzebyales	 c__Nitriliruptoria	 p__Actinobacteria	k__Bacteria	7.54198330356e-07
f__Comamonadaceae	 o__Burkholderiales	 c__Betaproteobacteria	 p__Proteobacteria	k__Bacteria	0.00363290839327
f__Micrococcaceae	 o__Actinomycetales	 c__Actinobacteria	 p__Actinobacteria	k__Bacteria	0.000530410580538
f__[Balneolaceae]	 o__[Rhodothermales]	 c__[Rhodothermi]	 p__Bacteroidetes	k__Bacteria	4.37128611434e-07
f__Rhizobiaceae	 o__Rhizobiales	 c__Alphaproteobacteria	 p__Proteobacteria	k__Bacteria	0.000335580073418
f__Moraxellaceae	 o__Pseudomonadales	 c__Gammaproteobacteria	 p__Proteobacteria	k__Bacteria	0.00753402826852
f__Peptococcaceae	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__Bacteria	0.00055017522039
f__Porphyromonadaceae	 o__Bacteroidales	 c__Bacteroidia	 p__Bacteroidetes	k__Bacteria	0.0304183319732
f__	 o__Rhizobiales	 c__Alphaproteobacteria	 p__Proteobacteria	k__Bacteria	4.01440794527e-05
f__	 o__	 c__TM7-3	 p__TM7	k__Bacteria	4.12298045715e-06
f__Sinobacteraceae	 o__Xanthomonadales	 c__Gammaproteobacteria	 p__Proteobacteria	k__Bacteria	7.34535026893e-07
f__Bdellovibrionaceae	 o__Bdellovibrionales	 c__Deltaproteobacteria	 p__Proteobacteria	k__Bacteria	1.45984414812e-06
f__Sphaerochaetaceae	 o__Sphaerochaetales	 c__Spirochaetes	 p__Spirochaetes	k__Bacteria	5.85153557094e-07
f__5B-12	 o__AKYG885	 c__TK10	 p__Chloroflexi	k__Bacteria	4.89361485212e-07
f__	 o__YS2	 c__4C0d-2	 p__Cyanobacteria	k__Bacteria	0.00117318116821
f__	 o__Bacillales	 c__Bacilli	 p__Firmicutes	k__Bacteria	0.000331158479694
f__Succinivibrionaceae	 o__Aeromonadales	 c__Gammaproteobacteria	 p__Proteobacteria	k__Bacteria	0.00074030258556
f__Rickettsiaceae	 o__Rickettsiales	 c__Alphaproteobacteria	 p__Proteobacteria	k__Bacteria	5.99228493315e-07
f__Vibrionaceae	 o__Vibrionales	 c__Gammaproteobacteria	 p__Proteobacteria	k__Bacteria	7.64499560391e-07
f__R4-45B	 o__Z20	 c__[Lentisphaeria]	 p__Lentisphaerae	k__Bacteria	1.23762510565e-05
f__mitochondria	 o__Rickettsiales	 c__Alphaproteobacteria	 p__Proteobacteria	k__Bacteria	3.78990520507e-05
f__[Cerasicoccaceae]	 o__[Cerasicoccales]	 c__Opitutae	 p__Verrucomicrobia	k__Bacteria	4.41203766141e-05
f__Ruminococcaceae	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__Bacteria	0.198573789892
f__Listeriaceae	 o__Bacillales	 c__Bacilli	 p__Firmicutes	k__Bacteria	2.46060095014e-06
f__Xanthomonadaceae	 o__Xanthomonadales	 c__Gammaproteobacteria	 p__Proteobacteria	k__Bacteria	0.00458599243154
