c__	 p__	k__	c__Clostridia	 p__Firmicutes	k__	0.230609265746	5.8570487326e-05
c__	 p__	k__	c__Mollicutes	 p__Tenericutes	k__	0.313392484314	3.25543419771e-08
c__	 p__	k__	c__ML615J-28	 p__Tenericutes	k__	0.286210473888	5.0208393568e-07
c__	 p__	k__	c__Bacteroidia	 p__Bacteroidetes	k__	-0.244404362437	1.98816400323e-05
c__	 p__	k__	c__Lentisphaerae	 p__Lentisphaerae	k__	0.252344029664	1.03661911717e-05
c__	 p__Tenericutes	k__	c__	 p__Firmicutes	k__	0.235956443665	3.88249549567e-05
c__Erysipelotrichi	 p__Tenericutes	k__	c__Clostridia	 p__Firmicutes	k__	0.327705639843	6.86973628011e-09
c__Erysipelotrichi	 p__Tenericutes	k__	c__Bacteroidia	 p__Bacteroidetes	k__	-0.347852284078	6.6801389273e-10
c__Erysipelotrichi	 p__Tenericutes	k__	c__Actinobacteria	 p__Actinobacteria	k__	0.279874413305	9.12910670117e-07
c__Synergistia	 p__Synergistetes	k__	c__ML615J-28	 p__Tenericutes	k__	0.229006064666	6.61314425842e-05
c__Synergistia	 p__Synergistetes	k__	c__Actinobacteria	 p__Actinobacteria	k__	0.213046642155	0.000211456114694
c__4C0d-2	 p__Cyanobacteria	k__	c__Mollicutes	 p__Tenericutes	k__	0.316825969928	2.25808993346e-08
c__Clostridia	 p__Firmicutes	k__	c__Mollicutes	 p__Tenericutes	k__	0.402581461385	4.88026590632e-13
c__Clostridia	 p__Firmicutes	k__	c__Verrucomicrobiae	 p__Verrucomicrobia	k__	0.30249999909	1.00790071304e-07
c__Clostridia	 p__Firmicutes	k__	c__ML615J-28	 p__Tenericutes	k__	0.306670305899	6.57443660149e-08
c__Clostridia	 p__Firmicutes	k__	c__Bacilli	 p__Firmicutes	k__	0.348669382094	6.05601640686e-10
c__Clostridia	 p__Firmicutes	k__	c__Bacteroidia	 p__Bacteroidetes	k__	-0.957811147773	2.4880292938e-162
c__Clostridia	 p__Firmicutes	k__	c__Actinobacteria	 p__Actinobacteria	k__	0.449410372536	3.21050882804e-16
c__Mollicutes	 p__Tenericutes	k__	c__Verrucomicrobiae	 p__Verrucomicrobia	k__	0.248164698221	1.46444844051e-05
c__Mollicutes	 p__Tenericutes	k__	c__	 p__Firmicutes	k__	0.278161504299	1.07035022015e-06
c__Mollicutes	 p__Tenericutes	k__	c__Alphaproteobacteria	 p__Proteobacteria	k__	0.250271987726	1.23123693409e-05
c__Mollicutes	 p__Tenericutes	k__	c__ML615J-28	 p__Tenericutes	k__	0.592393497673	1.28766758551e-29
c__Mollicutes	 p__Tenericutes	k__	c__Bacteroidia	 p__Bacteroidetes	k__	-0.440733908631	1.36093333995e-15
c__Mollicutes	 p__Tenericutes	k__	c__Lentisphaerae	 p__Lentisphaerae	k__	0.223610342575	9.88893135634e-05
c__Verrucomicrobiae	 p__Verrucomicrobia	k__	c__Bacteroidia	 p__Bacteroidetes	k__	-0.327025672881	7.41040853241e-09
c__Verrucomicrobiae	 p__Verrucomicrobia	k__	c__Actinobacteria	 p__Actinobacteria	k__	0.220006063153	0.000128691365612
c__Alphaproteobacteria	 p__Proteobacteria	k__	c__Lentisphaerae	 p__Lentisphaerae	k__	0.282550300439	7.10480541042e-07
c__Deltaproteobacteria	 p__Proteobacteria	k__	c__Actinobacteria	 p__Actinobacteria	k__	0.296647469381	1.81535935207e-07
c__ML615J-28	 p__Tenericutes	k__	c__Bacteroidia	 p__Bacteroidetes	k__	-0.327990028005	6.65510838707e-09
c__ML615J-28	 p__Tenericutes	k__	c__Lentisphaerae	 p__Lentisphaerae	k__	0.28574303423	5.24990517942e-07
c__ML615J-28	 p__Tenericutes	k__	c__Opitutae	 p__Verrucomicrobia	k__	0.217068866404	0.000159004136856
c__Bacilli	 p__Firmicutes	k__	c__Bacteroidia	 p__Bacteroidetes	k__	-0.354929925562	2.82951643283e-10
c__Bacilli	 p__Firmicutes	k__	c__Gammaproteobacteria	 p__Proteobacteria	k__	0.225654118765	8.50068591945e-05
c__Bacilli	 p__Firmicutes	k__	c__Actinobacteria	 p__Actinobacteria	k__	0.313884646703	3.09000970246e-08
c__Bacteroidia	 p__Bacteroidetes	k__	c__Actinobacteria	 p__Actinobacteria	k__	-0.461863929018	3.75365710746e-17
c__Lentisphaerae	 p__Lentisphaerae	k__	c__Opitutae	 p__Verrucomicrobia	k__	0.295826888423	1.96943485522e-07
