o__Verrucomicrobiales	 c__Verrucomicrobiae	 p__Verrucomicrobia	k__	o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	0.302406487724	1.01752566052e-07
o__Verrucomicrobiales	 c__Verrucomicrobiae	 p__Verrucomicrobia	k__	o__Bifidobacteriales	 c__Actinobacteria	 p__Actinobacteria	k__	0.291228856908	3.09419852033e-07
o__Verrucomicrobiales	 c__Verrucomicrobiae	 p__Verrucomicrobia	k__	o__Lactobacillales	 c__Bacilli	 p__Firmicutes	k__	0.225782284862	8.42004093228e-05
o__Verrucomicrobiales	 c__Verrucomicrobiae	 p__Verrucomicrobia	k__	o__Bacteroidales	 c__Bacteroidia	 p__Bacteroidetes	k__	-0.327025672881	7.41040853241e-09
o__Synergistales	 c__Synergistia	 p__Synergistetes	k__	o__Coriobacteriales	 c__Actinobacteria	 p__Actinobacteria	k__	0.245181301358	1.86720061419e-05
o__Synergistales	 c__Synergistia	 p__Synergistetes	k__	o__	 c__ML615J-28	 p__Tenericutes	k__	0.229006064666	6.61314425842e-05
o__Turicibacterales	 c__Bacilli	 p__Firmicutes	k__	o__Lactobacillales	 c__Bacilli	 p__Firmicutes	k__	0.303280712566	9.3089380277e-08
o__	 c__	 p__	k__	o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	0.230361402306	5.96836492386e-05
o__	 c__	 p__	k__	o__	 c__Betaproteobacteria	 p__Proteobacteria	k__	0.243884408227	2.07322416933e-05
o__	 c__	 p__	k__	o__Victivallales	 c__Lentisphaerae	 p__Lentisphaerae	k__	0.252344029664	1.03661911717e-05
o__	 c__	 p__	k__	o__RF39	 c__Mollicutes	 p__Tenericutes	k__	0.315932240453	2.48477932142e-08
o__	 c__	 p__	k__	o__Bacteroidales	 c__Bacteroidia	 p__Bacteroidetes	k__	-0.244404362437	1.98816400323e-05
o__	 c__	 p__	k__	o__	 c__ML615J-28	 p__Tenericutes	k__	0.286210473888	5.0208393568e-07
o__Desulfovibrionales	 c__Deltaproteobacteria	 p__Proteobacteria	k__	o__Bifidobacteriales	 c__Actinobacteria	 p__Actinobacteria	k__	0.319481226046	1.69628780934e-08
o__Desulfovibrionales	 c__Deltaproteobacteria	 p__Proteobacteria	k__	o__Coriobacteriales	 c__Actinobacteria	 p__Actinobacteria	k__	0.26375480331	3.91257479524e-06
o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	o__Coriobacteriales	 c__Actinobacteria	 p__Actinobacteria	k__	0.469583902511	9.48956047697e-18
o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	o__RF39	 c__Mollicutes	 p__Tenericutes	k__	0.390288327983	2.78436496025e-12
o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	o__Lactobacillales	 c__Bacilli	 p__Firmicutes	k__	0.349667818242	5.3699242504e-10
o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	o__Bacteroidales	 c__Bacteroidia	 p__Bacteroidetes	k__	-0.957799811316	2.58676762508e-162
o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	o__Erysipelotrichales	 c__Erysipelotrichi	 p__Tenericutes	k__	0.327828540541	6.77617373336e-09
o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	o__	 c__ML615J-28	 p__Tenericutes	k__	0.306459192999	6.71926669148e-08
o__	 c__Betaproteobacteria	 p__Proteobacteria	k__	o__	 c__Alphaproteobacteria	 p__Proteobacteria	k__	0.252224349506	1.04701457523e-05
o__Aeromonadales	 c__Gammaproteobacteria	 p__Proteobacteria	k__	o__YS2	 c__4C0d-2	 p__Cyanobacteria	k__	0.230674338573	5.8281502047e-05
o__	 c__Mollicutes	 p__Tenericutes	k__	o__RF39	 c__Mollicutes	 p__Tenericutes	k__	0.454822095449	1.27699762447e-16
o__	 c__Mollicutes	 p__Tenericutes	k__	o__	 c__ML615J-28	 p__Tenericutes	k__	0.268299324663	2.62046014241e-06
o__Bifidobacteriales	 c__Actinobacteria	 p__Actinobacteria	k__	o__Coriobacteriales	 c__Actinobacteria	 p__Actinobacteria	k__	0.231554076549	5.45041615802e-05
o__Bifidobacteriales	 c__Actinobacteria	 p__Actinobacteria	k__	o__Lactobacillales	 c__Bacilli	 p__Firmicutes	k__	0.266527128485	3.06650842196e-06
o__Victivallales	 c__Lentisphaerae	 p__Lentisphaerae	k__	o__Puniceicoccales	 c__Opitutae	 p__Verrucomicrobia	k__	0.295826888423	1.96943485522e-07
o__Victivallales	 c__Lentisphaerae	 p__Lentisphaerae	k__	o__	 c__Alphaproteobacteria	 p__Proteobacteria	k__	0.282550300439	7.10480541042e-07
o__Victivallales	 c__Lentisphaerae	 p__Lentisphaerae	k__	o__RF39	 c__Mollicutes	 p__Tenericutes	k__	0.239173013743	3.01773727502e-05
o__Victivallales	 c__Lentisphaerae	 p__Lentisphaerae	k__	o__	 c__ML615J-28	 p__Tenericutes	k__	0.28574303423	5.24990517942e-07
o__	 c__	 p__Firmicutes	k__	o__RF39	 c__Mollicutes	 p__Tenericutes	k__	0.290485115501	3.32630244101e-07
o__	 c__	 p__Firmicutes	k__	o__	 c__	 p__Tenericutes	k__	0.235956443665	3.88249549567e-05
o__Coriobacteriales	 c__Actinobacteria	 p__Actinobacteria	k__	o__Lactobacillales	 c__Bacilli	 p__Firmicutes	k__	0.264199575923	3.76327273488e-06
o__Coriobacteriales	 c__Actinobacteria	 p__Actinobacteria	k__	o__Bacteroidales	 c__Bacteroidia	 p__Bacteroidetes	k__	-0.476149761439	2.86620208746e-18
o__Coriobacteriales	 c__Actinobacteria	 p__Actinobacteria	k__	o__Erysipelotrichales	 c__Erysipelotrichi	 p__Tenericutes	k__	0.243664426246	2.11023934301e-05
o__Puniceicoccales	 c__Opitutae	 p__Verrucomicrobia	k__	o__	 c__Clostridia	 p__Firmicutes	k__	0.288425103207	4.05978707213e-07
o__Pasteurellales	 c__Gammaproteobacteria	 p__Proteobacteria	k__	o__Burkholderiales	 c__Betaproteobacteria	 p__Proteobacteria	k__	0.222582646667	0.000106649197552
o__	 c__Alphaproteobacteria	 p__Proteobacteria	k__	o__RF39	 c__Mollicutes	 p__Tenericutes	k__	0.249765303672	1.28385392431e-05
o__RF39	 c__Mollicutes	 p__Tenericutes	k__	o__Bacteroidales	 c__Bacteroidia	 p__Bacteroidetes	k__	-0.421661978249	2.82633185554e-14
o__RF39	 c__Mollicutes	 p__Tenericutes	k__	o__	 c__Clostridia	 p__Firmicutes	k__	0.28567472432	5.2842083312e-07
o__RF39	 c__Mollicutes	 p__Tenericutes	k__	o__	 c__ML615J-28	 p__Tenericutes	k__	0.598856452175	2.17876414781e-30
o__RF39	 c__Mollicutes	 p__Tenericutes	k__	o__YS2	 c__4C0d-2	 p__Cyanobacteria	k__	0.332894849947	3.82973072726e-09
o__Lactobacillales	 c__Bacilli	 p__Firmicutes	k__	o__Bacteroidales	 c__Bacteroidia	 p__Bacteroidetes	k__	-0.352479021585	3.8190258241e-10
o__Bacteroidales	 c__Bacteroidia	 p__Bacteroidetes	k__	o__Erysipelotrichales	 c__Erysipelotrichi	 p__Tenericutes	k__	-0.347852284078	6.6801389273e-10
o__Bacteroidales	 c__Bacteroidia	 p__Bacteroidetes	k__	o__	 c__ML615J-28	 p__Tenericutes	k__	-0.327990028005	6.65510838707e-09
o__	 c__Clostridia	 p__Firmicutes	k__	o__	 c__ML615J-28	 p__Tenericutes	k__	0.312288766244	3.65806931712e-08
