f__Turicibacteraceae	 o__Turicibacterales	 c__Bacilli	 p__Firmicutes	k__	f__Streptococcaceae	 o__Lactobacillales	 c__Bacilli	 p__Firmicutes	k__	0.286594423499	4.83989062873e-07
f__Turicibacteraceae	 o__Turicibacterales	 c__Bacilli	 p__Firmicutes	k__	f__Clostridiaceae	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	0.287417338282	4.47290809958e-07
f__	 o__RF39	 c__Mollicutes	 p__Tenericutes	k__	f__Prevotellaceae	 o__Bacteroidales	 c__Bacteroidia	 p__Bacteroidetes	k__	0.304131636379	8.53420046888e-08
f__	 o__RF39	 c__Mollicutes	 p__Tenericutes	k__	f__	 o__Bacteroidales	 c__Bacteroidia	 p__Bacteroidetes	k__	0.31935208214	1.72016582573e-08
f__	 o__RF39	 c__Mollicutes	 p__Tenericutes	k__	f__Bacteroidaceae	 o__Bacteroidales	 c__Bacteroidia	 p__Bacteroidetes	k__	-0.527440029372	9.69112078087e-23
f__	 o__RF39	 c__Mollicutes	 p__Tenericutes	k__	f__	 o__	 c__Mollicutes	 p__Tenericutes	k__	0.454822095449	1.27699762447e-16
f__	 o__RF39	 c__Mollicutes	 p__Tenericutes	k__	f__ClostridialesFamilyXIII.IncertaeSedis	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	0.370395844187	4.01557897785e-11
f__	 o__RF39	 c__Mollicutes	 p__Tenericutes	k__	f__	 o__Coriobacteriales	 c__Actinobacteria	 p__Actinobacteria	k__	0.300659653063	1.21446371498e-07
f__	 o__RF39	 c__Mollicutes	 p__Tenericutes	k__	f__Victivallaceae	 o__Victivallales	 c__Lentisphaerae	 p__Lentisphaerae	k__	0.239173013743	3.01773727502e-05
f__	 o__RF39	 c__Mollicutes	 p__Tenericutes	k__	f__	 o__	 c__	 p__	k__	0.315932240453	2.48477932142e-08
f__	 o__RF39	 c__Mollicutes	 p__Tenericutes	k__	f__	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	0.570973170979	3.52391522472e-27
f__	 o__RF39	 c__Mollicutes	 p__Tenericutes	k__	f__	 o__	 c__ML615J-28	 p__Tenericutes	k__	0.598856452175	2.17876414781e-30
