f__Turicibacteraceae	 o__Turicibacterales	 c__Bacilli	 p__Firmicutes	k__	0.000167961158285
f__	 o__RF39	 c__Mollicutes	 p__Tenericutes	k__	0.00491350586577
f__	 o__Erysipelotrichales	 c__Erysipelotrichi	 p__Tenericutes	k__	8.47179830994e-06
f__Puniceicoccaceae	 o__Puniceicoccales	 c__Opitutae	 p__Verrucomicrobia	k__	7.16242587343e-05
f__Porphyromonadaceae	 o__Bacteroidales	 c__Bacteroidia	 p__Bacteroidetes	k__	0.0474745914608
f__Prevotellaceae	 o__Bacteroidales	 c__Bacteroidia	 p__Bacteroidetes	k__	0.0399364851124
f__	 o__Bacteroidales	 c__Bacteroidia	 p__Bacteroidetes	k__	0.0263294207981
f__Bacteroidaceae	 o__Bacteroidales	 c__Bacteroidia	 p__Bacteroidetes	k__	0.499321515357
f__Streptococcaceae	 o__Lactobacillales	 c__Bacilli	 p__Firmicutes	k__	0.000215058131755
f__	 o__	 c__Mollicutes	 p__Tenericutes	k__	5.18883588462e-05
f__Campylobacteraceae	 o__Campylobacterales	 c__Epsilonproteobacteria	 p__Proteobacteria	k__	1.08329811362e-05
f__Peptococcaceae	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	9.36606826867e-05
f__Fusobacteriaceae	 o__Fusobacteriales	 c__Fusobacteria	 p__Fusobacteria	k__	0.000378671027591
f__Erysipelotrichaceae	 o__Erysipelotrichales	 c__Erysipelotrichi	 p__Tenericutes	k__	0.00454361471464
f__ClostridialesFamilyXIII.IncertaeSedis	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	0.000381252538867
f__Verrucomicrobiaceae	 o__Verrucomicrobiales	 c__Verrucomicrobiae	 p__Verrucomicrobia	k__	0.0026829707093
f__	 o__Burkholderiales	 c__Betaproteobacteria	 p__Proteobacteria	k__	0.000265703701053
f__	 o__Coriobacteriales	 c__Actinobacteria	 p__Actinobacteria	k__	0.000133323572138
f__Veillonellaceae	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	0.0238321333163
f__Victivallaceae	 o__Victivallales	 c__Lentisphaerae	 p__Lentisphaerae	k__	0.000113020684526
f__Coriobacteriaceae	 o__Coriobacteriales	 c__Actinobacteria	 p__Actinobacteria	k__	0.000971046027077
f__ClostridialesFamilyXI.IncertaeSedis	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	3.27543244548e-05
f__Alcaligenaceae	 o__Burkholderiales	 c__Betaproteobacteria	 p__Proteobacteria	k__	0.0208230267244
f__Synergistaceae	 o__Synergistales	 c__Synergistia	 p__Synergistetes	k__	1.0474129016e-05
f__Pasteurellaceae	 o__Pasteurellales	 c__Gammaproteobacteria	 p__Proteobacteria	k__	0.000348535853286
f__Lactobacillaceae	 o__Lactobacillales	 c__Bacilli	 p__Firmicutes	k__	5.75913517116e-05
f__	 o__	 c__	 p__	k__	0.000245897002129
f__	 o__	 c__	 p__Bacteroidetes	k__	0.000217175409118
f__	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	0.0205538730876
f__	 o__	 c__ML615J-28	 p__Tenericutes	k__	0.00166052900796
f__	 o__	 c__	 p__Tenericutes	k__	0.000182608108331
f__	 o__YS2	 c__4C0d-2	 p__Cyanobacteria	k__	0.000712649480383
f__Rikenellaceae	 o__Bacteroidales	 c__Bacteroidia	 p__Bacteroidetes	k__	0.0582396077861
f__Oxalobacteraceae	 o__Burkholderiales	 c__Betaproteobacteria	 p__Proteobacteria	k__	4.62736983886e-05
f__Bifidobacteriaceae	 o__Bifidobacteriales	 c__Actinobacteria	 p__Actinobacteria	k__	0.000831377206589
f__Anaeroplasmataceae	 o__Anaeroplasmatales	 c__Mollicutes	 p__Tenericutes	k__	0.00108025872025
f__Clostridiaceae	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	0.000478403767176
f__Ruminococcaceae	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	0.145408871528
f__	 o__	 c__Clostridia	 p__Firmicutes	k__	3.34853967124e-05
f__	 o__	 c__Betaproteobacteria	 p__Proteobacteria	k__	1.15662284477e-05
f__vadinHA31	 o__Erysipelotrichales	 c__Erysipelotrichi	 p__Tenericutes	k__	4.66188970181e-05
f__Propionibacteriaceae	 o__Actinomycetales	 c__Actinobacteria	 p__Actinobacteria	k__	5.01995398115e-06
f__Enterococcaceae	 o__Lactobacillales	 c__Bacilli	 p__Firmicutes	k__	1.59923616075e-05
f__Desulfovibrionaceae	 o__Desulfovibrionales	 c__Deltaproteobacteria	 p__Proteobacteria	k__	0.000237968714305
f__Catabacteriaceae	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	0.00423901907328
f__Lachnospiraceae	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	0.0856644084588
f__Enterobacteriaceae	 o__Enterobacteriales	 c__Gammaproteobacteria	 p__Proteobacteria	k__	0.00152218776987
f__Dehalobacteriaceae	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	8.84414574853e-05
f__Succinivibrionaceae	 o__Aeromonadales	 c__Gammaproteobacteria	 p__Proteobacteria	k__	0.000171083062375
f__	 o__	 c__	 p__Firmicutes	k__	3.2564494729e-05
f__	 o__	 c__Alphaproteobacteria	 p__Proteobacteria	k__	0.00510498469099
