g__Bilophila	 f__Desulfovibrionaceae	 o__Desulfovibrionales	 c__Deltaproteobacteria	 p__Proteobacteria	k__	g__Bifidobacterium	 f__Bifidobacteriaceae	 o__Bifidobacteriales	 c__Actinobacteria	 p__Actinobacteria	k__	0.261700504318	4.67854722738e-06
g__Blautia	 f__Lachnospiraceae	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	g__Holdemania	 f__Erysipelotrichaceae	 o__Erysipelotrichales	 c__Erysipelotrichi	 p__Tenericutes	k__	0.268045156536	2.68039163212e-06
g__Blautia	 f__Lachnospiraceae	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	g__Eubacterium	 f__Lachnospiraceae	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	0.426836604265	1.26459106456e-14
g__Blautia	 f__Lachnospiraceae	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	g__Subdoligranulum	 f__Ruminococcaceae	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	0.275431675785	1.37621646148e-06
g__Blautia	 f__Lachnospiraceae	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	g__Clostridium	 f__Erysipelotrichaceae	 o__Erysipelotrichales	 c__Erysipelotrichi	 p__Tenericutes	k__	0.3248395877	9.44222577146e-09
g__Blautia	 f__Lachnospiraceae	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	g__Coprococcus	 f__Lachnospiraceae	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	0.450798443492	2.53836957747e-16
g__Blautia	 f__Lachnospiraceae	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	g__Ruminococcus	 f__Lachnospiraceae	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	0.377534902167	1.57329862558e-11
g__Blautia	 f__Lachnospiraceae	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	g__Roseburia	 f__Lachnospiraceae	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	0.318336295566	1.91964195253e-08
g__Blautia	 f__Lachnospiraceae	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	g__	 f__Lachnospiraceae	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	0.44528860839	6.40893484553e-16
g__Blautia	 f__Lachnospiraceae	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	g__Clostridium	 f__Lachnospiraceae	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	0.397247584842	1.04816903435e-12
g__Blautia	 f__Lachnospiraceae	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	g__Clostridium	 f__Ruminococcaceae	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	0.416288533906	6.42143219951e-14
g__	 f__	 o__Coriobacteriales	 c__Actinobacteria	 p__Actinobacteria	k__	g__	 f__	 o__RF39	 c__Mollicutes	 p__Tenericutes	k__	0.300659653063	1.21446371498e-07
g__	 f__	 o__Coriobacteriales	 c__Actinobacteria	 p__Actinobacteria	k__	g__	 f__Catabacteriaceae	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	0.31872356419	1.84108830856e-08
g__	 f__	 o__Coriobacteriales	 c__Actinobacteria	 p__Actinobacteria	k__	g__Bacteroides	 f__Bacteroidaceae	 o__Bacteroidales	 c__Bacteroidia	 p__Bacteroidetes	k__	-0.286956463937	4.67501139929e-07
g__	 f__	 o__Coriobacteriales	 c__Actinobacteria	 p__Actinobacteria	k__	g__	 f__	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	0.314509953625	2.89150593706e-08
g__	 f__	 o__Coriobacteriales	 c__Actinobacteria	 p__Actinobacteria	k__	g__	 f__ClostridialesFamilyXIII.IncertaeSedis	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	0.27248961686	1.79896016358e-06
g__	 f__	 o__Coriobacteriales	 c__Actinobacteria	 p__Actinobacteria	k__	g__	 f__Ruminococcaceae	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	0.285640721378	5.3013636244e-07
g__	 f__	 o__Coriobacteriales	 c__Actinobacteria	 p__Actinobacteria	k__	g__	 f__Rikenellaceae	 o__Bacteroidales	 c__Bacteroidia	 p__Bacteroidetes	k__	0.255497789827	7.95508863797e-06
g__	 f__	 o__RF39	 c__Mollicutes	 p__Tenericutes	k__	g__	 f__	 o__	 c__ML615J-28	 p__Tenericutes	k__	0.598856452175	2.17876414781e-30
g__	 f__	 o__RF39	 c__Mollicutes	 p__Tenericutes	k__	g__Oxalobacter	 f__Oxalobacteraceae	 o__Burkholderiales	 c__Betaproteobacteria	 p__Proteobacteria	k__	0.296609649579	1.8221982272e-07
g__	 f__	 o__RF39	 c__Mollicutes	 p__Tenericutes	k__	g__Eubacterium	 f__Ruminococcaceae	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	0.417058112865	5.71447877716e-14
g__	 f__	 o__RF39	 c__Mollicutes	 p__Tenericutes	k__	g__	 f__Porphyromonadaceae	 o__Bacteroidales	 c__Bacteroidia	 p__Bacteroidetes	k__	0.334550508409	3.17101628671e-09
g__	 f__	 o__RF39	 c__Mollicutes	 p__Tenericutes	k__	g__	 f__Catabacteriaceae	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	0.568669064159	6.29038147698e-27
g__	 f__	 o__RF39	 c__Mollicutes	 p__Tenericutes	k__	g__Bacteroides	 f__Bacteroidaceae	 o__Bacteroidales	 c__Bacteroidia	 p__Bacteroidetes	k__	-0.527440029372	9.69112078087e-23
g__	 f__	 o__RF39	 c__Mollicutes	 p__Tenericutes	k__	g__	 f__	 o__	 c__	 p__	k__	0.315932240453	2.48477932142e-08
g__	 f__	 o__RF39	 c__Mollicutes	 p__Tenericutes	k__	g__	 f__	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	0.570973170979	3.52391522472e-27
g__	 f__	 o__RF39	 c__Mollicutes	 p__Tenericutes	k__	g__	 f__	 o__	 c__Clostridia	 p__Firmicutes	k__	0.28567472432	5.2842083312e-07
g__	 f__	 o__RF39	 c__Mollicutes	 p__Tenericutes	k__	g__Odoribacter	 f__Porphyromonadaceae	 o__Bacteroidales	 c__Bacteroidia	 p__Bacteroidetes	k__	0.310764155877	4.29405541248e-08
g__	 f__	 o__RF39	 c__Mollicutes	 p__Tenericutes	k__	g__	 f__ClostridialesFamilyXIII.IncertaeSedis	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	0.432303764414	5.32576829635e-15
g__	 f__	 o__RF39	 c__Mollicutes	 p__Tenericutes	k__	g__	 f__	 o__	 c__Mollicutes	 p__Tenericutes	k__	0.454822095449	1.27699762447e-16
g__	 f__	 o__RF39	 c__Mollicutes	 p__Tenericutes	k__	g__	 f__	 o__	 c__	 p__Firmicutes	k__	0.290485115501	3.326302441e-07
g__	 f__	 o__RF39	 c__Mollicutes	 p__Tenericutes	k__	g__Ruminococcus	 f__Ruminococcaceae	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	0.35320301564	3.49619739903e-10
g__	 f__	 o__RF39	 c__Mollicutes	 p__Tenericutes	k__	g__	 f__	 o__YS2	 c__4C0d-2	 p__Cyanobacteria	k__	0.332894849947	3.82973072726e-09
g__	 f__	 o__RF39	 c__Mollicutes	 p__Tenericutes	k__	g__Oscillospira	 f__Ruminococcaceae	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	0.393905372853	1.68051710376e-12
g__	 f__	 o__RF39	 c__Mollicutes	 p__Tenericutes	k__	g__Prevotella	 f__Prevotellaceae	 o__Bacteroidales	 c__Bacteroidia	 p__Bacteroidetes	k__	0.349532786591	5.45809554448e-10
g__	 f__	 o__RF39	 c__Mollicutes	 p__Tenericutes	k__	g__Coprococcus	 f__Lachnospiraceae	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	0.382902755834	7.66001243401e-12
g__	 f__	 o__RF39	 c__Mollicutes	 p__Tenericutes	k__	g__	 f__	 o__Bacteroidales	 c__Bacteroidia	 p__Bacteroidetes	k__	0.31935208214	1.72016582573e-08
g__	 f__	 o__RF39	 c__Mollicutes	 p__Tenericutes	k__	g__Lachnobacterium	 f__Lachnospiraceae	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	0.309711613091	4.79400955587e-08
g__	 f__	 o__RF39	 c__Mollicutes	 p__Tenericutes	k__	g__Dehalobacterium	 f__Dehalobacteriaceae	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	0.412238304757	1.18059439798e-13
g__	 f__	 o__RF39	 c__Mollicutes	 p__Tenericutes	k__	g__	 f__Ruminococcaceae	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	0.46879823396	1.09324298661e-17
g__	 f__	 o__RF39	 c__Mollicutes	 p__Tenericutes	k__	g__	 f__Rikenellaceae	 o__Bacteroidales	 c__Bacteroidia	 p__Bacteroidetes	k__	0.29216133657	2.82511393088e-07
