g__Bilophila	 f__Desulfovibrionaceae	 o__Desulfovibrionales	 c__Deltaproteobacteria	 p__Proteobacteria	k__	0.000139798645197
g__Blautia	 f__Lachnospiraceae	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	0.00805990458618
g__	 f__	 o__Coriobacteriales	 c__Actinobacteria	 p__Actinobacteria	k__	0.000133323572138
g__	 f__	 o__RF39	 c__Mollicutes	 p__Tenericutes	k__	0.00491350586577
g__	 f__	 o__	 c__ML615J-28	 p__Tenericutes	k__	0.00166052900796
g__Cloacibacillus	 f__Synergistaceae	 o__Synergistales	 c__Synergistia	 p__Synergistetes	k__	1.0474129016e-05
g__	 f__Coriobacteriaceae	 o__Coriobacteriales	 c__Actinobacteria	 p__Actinobacteria	k__	2.66162679388e-05
g__Anaerostipes	 f__Lachnospiraceae	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	1.59352174868e-05
g__	 f__Puniceicoccaceae	 o__Puniceicoccales	 c__Opitutae	 p__Verrucomicrobia	k__	7.16242587343e-05
g__	 f__	 o__Erysipelotrichales	 c__Erysipelotrichi	 p__Tenericutes	k__	8.47179830994e-06
g__Megamonas	 f__Veillonellaceae	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	0.000294909982192
g__	 f__ClostridialesFamilyXI.IncertaeSedis	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	3.27543244548e-05
g__Alistipes	 f__Rikenellaceae	 o__Bacteroidales	 c__Bacteroidia	 p__Bacteroidetes	k__	0.0545300846207
g__Oxalobacter	 f__Oxalobacteraceae	 o__Burkholderiales	 c__Betaproteobacteria	 p__Proteobacteria	k__	4.62736983886e-05
g__Dialister	 f__Veillonellaceae	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	0.0100455090631
g__	 f__	 o__	 c__Alphaproteobacteria	 p__Proteobacteria	k__	0.00510498469099
g__	 f__Erysipelotrichaceae	 o__Erysipelotrichales	 c__Erysipelotrichi	 p__Tenericutes	k__	0.00155561612013
g__Turicibacter	 f__Turicibacteraceae	 o__Turicibacterales	 c__Bacilli	 p__Firmicutes	k__	3.14781569228e-05
g__Catenibacterium	 f__Erysipelotrichaceae	 o__Erysipelotrichales	 c__Erysipelotrichi	 p__Tenericutes	k__	0.000341113662071
g__Eubacterium	 f__Ruminococcaceae	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	0.0015983170613
g__Desulfovibrio	 f__Desulfovibrionaceae	 o__Desulfovibrionales	 c__Deltaproteobacteria	 p__Proteobacteria	k__	8.37439241707e-05
g__Coprobacillus	 f__Erysipelotrichaceae	 o__Erysipelotrichales	 c__Erysipelotrichi	 p__Tenericutes	k__	0.000124540054359
g__Dorea	 f__Lachnospiraceae	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	0.00084597017061
g__Klebsiella	 f__Enterobacteriaceae	 o__Enterobacteriales	 c__Gammaproteobacteria	 p__Proteobacteria	k__	9.81653213122e-05
g__Asteroleplasma	 f__Anaeroplasmataceae	 o__Anaeroplasmatales	 c__Mollicutes	 p__Tenericutes	k__	0.000959554732026
g__	 f__Porphyromonadaceae	 o__Bacteroidales	 c__Bacteroidia	 p__Bacteroidetes	k__	0.00394252444328
g__Acidaminococcus	 f__Veillonellaceae	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	0.00119543975682
g__LE30	 f__Desulfovibrionaceae	 o__Desulfovibrionales	 c__Deltaproteobacteria	 p__Proteobacteria	k__	1.44261449371e-05
g__Collinsella	 f__Coriobacteriaceae	 o__Coriobacteriales	 c__Actinobacteria	 p__Actinobacteria	k__	0.000845879713621
g__Lactococcus	 f__Streptococcaceae	 o__Lactobacillales	 c__Bacilli	 p__Firmicutes	k__	1.65646988244e-05
g__Megasphaera	 f__Veillonellaceae	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	0.000240244931379
g__	 f__	 o__	 c__	 p__Bacteroidetes	k__	0.000217175409118
g__Holdemania	 f__Erysipelotrichaceae	 o__Erysipelotrichales	 c__Erysipelotrichi	 p__Tenericutes	k__	0.000160314945627
g__Haemophilus	 f__Pasteurellaceae	 o__Pasteurellales	 c__Gammaproteobacteria	 p__Proteobacteria	k__	0.000348535853286
g__Akkermansia	 f__Verrucomicrobiaceae	 o__Verrucomicrobiales	 c__Verrucomicrobiae	 p__Verrucomicrobia	k__	0.0026829707093
g__	 f__Catabacteriaceae	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	0.00423901907328
g__Streptococcus	 f__Streptococcaceae	 o__Lactobacillales	 c__Bacilli	 p__Firmicutes	k__	0.00019849343293
g__Escherichia	 f__Enterobacteriaceae	 o__Enterobacteriales	 c__Gammaproteobacteria	 p__Proteobacteria	k__	0.00140328036195
g__Bacteroides	 f__Ruminococcaceae	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	0.000985794432625
g__Bacteroides	 f__Bacteroidaceae	 o__Bacteroidales	 c__Bacteroidia	 p__Bacteroidetes	k__	0.499321515357
g__Pseudobutyrivibrio	 f__Lachnospiraceae	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	2.17618987229e-05
g__Eubacterium	 f__Lachnospiraceae	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	0.00199409443316
g__	 f__	 o__	 c__	 p__	k__	0.000245897002129
g__	 f__Veillonellaceae	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	0.00182996642509
g__	 f__	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	0.0205538730876
g__Eubacterium	 f__ClostridialesFamilyXIII.IncertaeSedis	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	8.51657951114e-05
g__	 f__	 o__	 c__Clostridia	 p__Firmicutes	k__	3.34853967124e-05
g__Subdoligranulum	 f__Ruminococcaceae	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	0.01724144124
g__	 f__Prevotellaceae	 o__Bacteroidales	 c__Bacteroidia	 p__Bacteroidetes	k__	0.00865567303701
g__Bacteroides	 f__Lachnospiraceae	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	4.73618093601e-05
g__Odoribacter	 f__Porphyromonadaceae	 o__Bacteroidales	 c__Bacteroidia	 p__Bacteroidetes	k__	0.00445986636846
g__RFN20	 f__vadinHA31	 o__Erysipelotrichales	 c__Erysipelotrichi	 p__Tenericutes	k__	4.66188970181e-05
g__Bifidobacterium	 f__Bifidobacteriaceae	 o__Bifidobacteriales	 c__Actinobacteria	 p__Actinobacteria	k__	0.000831377206589
g__	 f__Alcaligenaceae	 o__Burkholderiales	 c__Betaproteobacteria	 p__Proteobacteria	k__	0.0103632814713
g__	 f__Clostridiaceae	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	0.000203132750128
g__Propionibacterium	 f__Propionibacteriaceae	 o__Actinomycetales	 c__Actinobacteria	 p__Actinobacteria	k__	5.01995398115e-06
g__Anaerotruncus	 f__Ruminococcaceae	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	0.000402311140956
g__Clostridium	 f__Clostridiaceae	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	0.000275271017048
g__Eggerthella	 f__Coriobacteriaceae	 o__Coriobacteriales	 c__Actinobacteria	 p__Actinobacteria	k__	2.69517369167e-05
g__	 f__ClostridialesFamilyXIII.IncertaeSedis	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	0.00027748772196
g__	 f__	 o__	 c__Mollicutes	 p__Tenericutes	k__	5.18883588462e-05
g__Succinivibrio	 f__Succinivibrionaceae	 o__Aeromonadales	 c__Gammaproteobacteria	 p__Proteobacteria	k__	0.000171083062375
g__Raoultella	 f__Enterobacteriaceae	 o__Enterobacteriales	 c__Gammaproteobacteria	 p__Proteobacteria	k__	1.17371261089e-05
g__Phascolarctobacterium	 f__Veillonellaceae	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	0.00995977117618
g__	 f__	 o__	 c__	 p__Firmicutes	k__	3.2564494729e-05
g__Ruminococcus	 f__Ruminococcaceae	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	0.0221132125549
g__	 f__	 o__	 c__Betaproteobacteria	 p__Proteobacteria	k__	1.15662284477e-05
