	chao1	shannon	observed_otus	simpson	equitability
10317.000002503	517.392857143	5.41934016605	363.0	0.9289026	0.637282598799
10317.000013618	703.113207547	6.60729444473	454.0	0.9796556	0.748570571412
10317.000031796	956.35443038	6.43591937848	578.0	0.9656362	0.701468284453
10317.000026504	657.25	6.09322396499	453.0	0.96365516	0.690578075152
10317.000007104	687.567164179	5.81149120135	428.0	0.9579979	0.664818755295
10317.000007077	643.678571429	5.83816821276	405.0	0.96105592	0.674014982474
10317.000016408	779.618421053	6.47128783243	523.0	0.9729886	0.716590229138
10317.000005802	438.534883721	4.48829494515	278.0	0.88815134	0.552817775736
10317.000006952	407.615384615	5.84613190563	334.0	0.96574104	0.697320862197
10317.000013023	540.622641509	5.95396339493	375.0	0.96708788	0.696309169757
10317.000002645	496.411764706	4.77371796045	342.0	0.8894771	0.567094511576
10317.000002027	527.507042254	5.82889703884	402.0	0.95810358	0.67377900941
10317.000027353	967.896551724	6.56344462383	613.0	0.96059058	0.708814967859
10317.000023798	728.981132075	6.04884796514	445.0	0.95138206	0.687551794004
10317.000041962	773.538461538	6.55398009759	546.0	0.97459468	0.720791284318
10317.000040352	535.212765957	4.3162207577	337.0	0.7849934	0.514043577159
10317.000028811	528.285714286	4.98946951854	365.0	0.9116335	0.58618591511
10317.000027772	917.823529412	7.01482078452	608.0	0.98128784	0.758528954117
10317.000027617	714.678571429	5.53047768633	427.0	0.93801452	0.632915918259
10317.000039952	152.0	4.42739071537	139.0	0.89911434	0.621917033748
10317.000026028	681.424242424	6.1184022618	456.0	0.96779254	0.692684076445
10317.000001441	514.0	5.08204186548	359.0	0.89513904	0.598743831791
10317.000016347	726.888888889	6.19705018285	464.0	0.95524094	0.699600753971
10317.000001595	552.0	6.28539851225	425.0	0.97045	0.719868153932
10317.000002146	607.161290323	5.83925405704	402.0	0.95894752	0.674976206996
10317.000012158	840.743589744	6.60943458746	554.0	0.97311094	0.725216323552
10317.000014313	354.5	4.09134984399	237.0	0.85619504	0.518631385875
10317.000007749	394.3125	5.52922195854	309.0	0.9412351	0.668469645562
10317.000017335	608.942857143	6.00107212591	445.0	0.96723662	0.682121278282
