Group1	Group2	Group1 mean	Group1 std	Group2 mean	Group2 std	t stat	p-value
Age_50_55	Age_35_39	255.25629531	63.1785206688	248.972146825	62.5807272071	1.08815115033	1.0
Age_40_44	Age_25_29	258.272596725	59.7128409275	247.831338063	60.9892294138	1.51037806664	1.0
Age_40_44	Age_18_24	258.272596725	59.7128409275	238.472949554	55.0740020826	2.67838685012	0.336
Age_30_34	Age_45_49	249.999656568	55.0432657778	261.37813894	61.6910008761	-2.09619645326	0.819
Age_35_39	Age_25_29	248.972146825	62.5807272071	247.831338063	60.9892294138	0.161009599173	1.0
Age_50_55	Age_30_34	255.25629531	63.1785206688	249.999656568	55.0432657778	0.978130722933	1.0
Age_50_55	Age_40_44	255.25629531	63.1785206688	258.272596725	59.7128409275	-0.528343815053	1.0
Age_50_55	Age_18_24	255.25629531	63.1785206688	238.472949554	55.0740020826	2.26565862793	0.483
Age_18_24	Age_45_49	238.472949554	55.0740020826	261.37813894	61.6910008761	-3.10916212276	0.042
Age_35_39	Age_45_49	248.972146825	62.5807272071	261.37813894	61.6910008761	-2.11858036541	0.609
Age_35_39	Age_40_44	248.972146825	62.5807272071	258.272596725	59.7128409275	-1.52950422073	1.0
Age_50_55	Age_45_49	255.25629531	63.1785206688	261.37813894	61.6910008761	-1.12664788824	1.0
Age_45_49	Age_25_29	261.37813894	61.6910008761	247.831338063	60.9892294138	1.99591271634	1.0
Age_30_34	Age_18_24	249.999656568	55.0432657778	238.472949554	55.0740020826	1.67561178601	1.0
Age_35_39	Age_30_34	248.972146825	62.5807272071	249.999656568	55.0432657778	-0.1800123608	1.0
Age_50_55	Age_25_29	255.25629531	63.1785206688	247.831338063	60.9892294138	1.09688750735	1.0
Age_40_44	Age_45_49	258.272596725	59.7128409275	261.37813894	61.6910008761	-0.537804890407	1.0
Age_18_24	Age_25_29	238.472949554	55.0740020826	247.831338063	60.9892294138	-1.1505994487	1.0
Age_30_34	Age_25_29	249.999656568	55.0432657778	247.831338063	60.9892294138	0.335756667828	1.0
Age_35_39	Age_18_24	248.972146825	62.5807272071	238.472949554	55.0740020826	1.37680459038	1.0
Age_30_34	Age_40_44	249.999656568	55.0432657778	258.272596725	59.7128409275	-1.47740289914	1.0
