Group1	Group2	Group1 mean	Group1 std	Group2 mean	Group2 std	t stat	p-value
20s	50s	0.727380537952	0.0856553519796	0.733010018398	0.0918738484183	-0.670865774035	1.0
teen	40s	0.758910958908	0.0567144826164	0.747270060425	0.0790661035074	0.695532631045	1.0
20s	30s	0.727380537952	0.0856553519796	0.733813276334	0.0843642313737	-0.870382089197	1.0
20s	40s	0.727380537952	0.0856553519796	0.747270060425	0.0790661035074	-2.83698800734	0.04
30s	50s	0.733813276334	0.0843642313737	0.733010018398	0.0918738484183	0.119683953969	1.0
40s	50s	0.747270060425	0.0790661035074	0.733010018398	0.0918738484183	2.22929747825	0.24
teen	30s	0.758910958908	0.0567144826164	0.733813276334	0.0843642313737	1.40653087109	1.0
30s	40s	0.733813276334	0.0843642313737	0.747270060425	0.0790661035074	-2.43699731915	0.22
teen	50s	0.758910958908	0.0567144826164	0.733010018398	0.0918738484183	1.32721274483	1.0
teen	20s	0.758910958908	0.0567144826164	0.727380537952	0.0856553519796	1.71249300373	1.0
