Group1	Group2	Group1 mean	Group1 std	Group2 mean	Group2 std	t stat	p-value
Age_50_55	Age_35_39	0.733010018398	0.0918738484183	0.726824104799	0.090007784055	0.739953070042	1.0
Age_40_44	Age_25_29	0.746711875137	0.0701333633788	0.733462000262	0.081673534794	1.54412400835	1.0
Age_40_44	Age_18_24	0.746711875137	0.0701333633788	0.727129766719	0.0860071540518	2.04736746013	1.0
Age_30_34	Age_45_49	0.74032806971	0.0781796836776	0.747718841397	0.0855718172579	-0.971902646626	1.0
Age_35_39	Age_25_29	0.726824104799	0.090007784055	0.733462000262	0.081673534794	-0.667648572211	1.0
Age_50_55	Age_30_34	0.733010018398	0.0918738484183	0.74032806971	0.0781796836776	-0.944525844045	1.0
Age_50_55	Age_40_44	0.733010018398	0.0918738484183	0.746711875137	0.0701333633788	-1.77451634151	1.0
Age_50_55	Age_18_24	0.733010018398	0.0918738484183	0.727129766719	0.0860071540518	0.537836551664	1.0
Age_18_24	Age_45_49	0.727129766719	0.0860071540518	0.747718841397	0.0855718172579	-1.95682476578	1.0
Age_35_39	Age_45_49	0.726824104799	0.090007784055	0.747718841397	0.0855718172579	-2.52919094157	0.21
Age_35_39	Age_40_44	0.726824104799	0.090007784055	0.746711875137	0.0701333633788	-2.4763254616	0.252
Age_50_55	Age_45_49	0.733010018398	0.0918738484183	0.747718841397	0.0855718172579	-1.90108003958	1.0
Age_45_49	Age_25_29	0.747718841397	0.0855718172579	0.733462000262	0.081673534794	1.53131394665	1.0
Age_30_34	Age_18_24	0.74032806971	0.0781796836776	0.727129766719	0.0860071540518	1.31142198988	1.0
Age_35_39	Age_30_34	0.726824104799	0.090007784055	0.74032806971	0.0781796836776	-1.65421876804	1.0
Age_50_55	Age_25_29	0.733010018398	0.0918738484183	0.733462000262	0.081673534794	-0.0469563376041	1.0
Age_40_44	Age_45_49	0.746711875137	0.0701333633788	0.747718841397	0.0855718172579	-0.134136801293	1.0
Age_18_24	Age_25_29	0.727129766719	0.0860071540518	0.733462000262	0.081673534794	-0.545594583035	1.0
Age_30_34	Age_25_29	0.74032806971	0.0781796836776	0.733462000262	0.081673534794	0.766013183586	1.0
Age_35_39	Age_18_24	0.726824104799	0.090007784055	0.727129766719	0.0860071540518	-0.0272540837086	1.0
Age_30_34	Age_40_44	0.74032806971	0.0781796836776	0.746711875137	0.0701333633788	-0.877582413282	1.0
