Group1	Group2	Group1 mean	Group1 std	Group2 mean	Group2 std	t stat	p-value
20s	50s	138.798115183	35.4505379427	146.638551237	36.9000188699	-2.30018207401	0.22
teen	40s	147.220869565	26.741192766	150.176385809	34.8017082375	-0.400439324134	1.0
20s	30s	138.798115183	35.4505379427	143.570655738	33.9983087269	-1.58871721147	1.0
20s	40s	138.798115183	35.4505379427	150.176385809	34.8017082375	-3.76025934611	0.01
30s	50s	143.570655738	33.9983087269	146.638551237	36.9000188699	-1.13596697905	1.0
40s	50s	150.176385809	34.8017082375	146.638551237	36.9000188699	1.30773299083	1.0
teen	30s	147.220869565	26.741192766	143.570655738	33.9983087269	0.505405039129	1.0
30s	40s	143.570655738	33.9983087269	150.176385809	34.8017082375	-2.83957829855	0.07
teen	50s	147.220869565	26.741192766	146.638551237	36.9000188699	0.0738750567199	1.0
teen	20s	147.220869565	26.741192766	138.798115183	35.4505379427	1.09714787154	1.0
