Group1	Group2	Group1 mean	Group1 std	Group2 mean	Group2 std	t stat	p-value
20s	50s	534.213570542	134.29754611	564.209038161	146.129456395	-1.9575683782	0.5
teen	40s	546.209152508	108.214050649	566.373399541	138.249945959	-0.622416349063	1.0
20s	30s	534.213570542	134.29754611	543.421332555	130.305743734	-0.7037614288	1.0
20s	40s	534.213570542	134.29754611	566.373399541	138.249945959	-2.36565078253	0.17
30s	50s	543.421332555	130.305743734	564.209038161	146.129456395	-1.66484287138	0.94
40s	50s	566.373399541	138.249945959	564.209038161	146.129456395	0.167899556466	1.0
teen	30s	546.209152508	108.214050649	543.421332555	130.305743734	0.09107435795	1.0
30s	40s	543.421332555	130.305743734	566.373399541	138.249945959	-2.13193976991	0.36
teen	50s	546.209152508	108.214050649	564.209038161	146.129456395	-0.520753338187	1.0
teen	20s	546.209152508	108.214050649	534.213570542	134.29754611	0.372140853414	1.0
