Group1	Group2	Group1 mean	Group1 std	Group2 mean	Group2 std	t stat	p-value
20s	50s	5.38748431713	0.849938502461	5.51067711129	0.942862058573	-1.25546700149	1.0
teen	40s	5.63178277366	0.631418721601	5.63955393967	0.810501376902	-0.0409231928112	1.0
20s	30s	5.38748431713	0.849938502461	5.50993696658	0.814558969116	-1.49087689801	1.0
20s	40s	5.38748431713	0.849938502461	5.63955393967	0.810501376902	-3.08418110507	0.01
30s	50s	5.50993696658	0.814558969116	5.51067711129	0.942862058573	-0.00934838504322	1.0
40s	50s	5.63955393967	0.810501376902	5.51067711129	0.942862058573	1.63579959721	1.0
teen	30s	5.63178277366	0.631418721601	5.50993696658	0.814558969116	0.638434269634	1.0
30s	40s	5.50993696658	0.814558969116	5.63955393967	0.810501376902	-1.99083493809	0.4
teen	50s	5.63178277366	0.631418721601	5.51067711129	0.942862058573	0.545535114167	1.0
teen	20s	5.63178277366	0.631418721601	5.38748431713	0.849938502461	1.20437329433	1.0
