Group1	Group2	Group1 mean	Group1 std	Group2 mean	Group2 std	t stat	p-value
20s	50s	0.923417013127	0.0554838162007	0.921304955892	0.0864961932712	0.260704814853	1.0
teen	40s	0.941540225779	0.0383711594885	0.934379520092	0.0614374553427	0.500639956928	1.0
20s	30s	0.923417013127	0.0554838162007	0.927014755146	0.0620915078787	-0.603111982322	1.0
20s	40s	0.923417013127	0.0554838162007	0.934379520092	0.0614374553427	-1.85428936274	0.65
30s	50s	0.927014755146	0.0620915078787	0.921304955892	0.0864961932712	0.861765247834	1.0
40s	50s	0.934379520092	0.0614374553427	0.921304955892	0.0864961932712	1.98798229688	0.4
teen	30s	0.941540225779	0.0383711594885	0.927014755146	0.0620915078787	1.00495504043	1.0
30s	40s	0.927014755146	0.0620915078787	0.934379520092	0.0614374553427	-1.48810667316	1.0
teen	50s	0.941540225779	0.0383711594885	0.921304955892	0.0864961932712	1.00543928007	1.0
teen	20s	0.941540225779	0.0383711594885	0.923417013127	0.0554838162007	1.37463055071	1.0
