age_cat	bmi_cat	chao1	observed_otus	shannon	simpson
20s	Normal	550.9155996485564	383.48365384615386	5.566743352302159	0.9337615921903842
20s	Obese	569.4348137786503	388.64857142857136	5.542743449659205	0.9357735129142857
20s	Overweight	455.8277107065507	314.3781481481481	5.020200717324177	0.9103934942
20s	Underweight	427.820981155276	294.29692307692306	4.5961243565181755	0.8608209047846154
30s	Normal	538.7670103438006	383.38485849056616	5.536256707693038	0.9276017283622637
30s	Obese	433.16261047636544	311.47941176470584	4.991082845740079	0.9003773753294118
30s	Overweight	550.5359905395716	388.80569230769237	5.585234469312746	0.9339414426892303
30s	Underweight	511.17477640296687	363.46999999999986	5.329417027192028	0.9173828918
40s	Normal	570.4754313717583	403.6360962566843	5.7397929600662625	0.9382836394524064
40s	Obese	512.8556866534047	355.07588235294116	5.307206497137575	0.9238047106117646
40s	Overweight	543.7786764027186	383.60400000000016	5.516259444181891	0.9284149278449995
40s	Underweight	509.74665277681237	380.2930769230769	5.705009574715949	0.9407595906615384
50s	Normal	554.4653485540641	389.82407079646026	5.531075550450964	0.9261863194814159
50s	Obese	496.05683601177276	349.80249999999995	5.244266771262097	0.905097322175
50s	Overweight	568.3585549231065	399.91578947368424	5.532048237689455	0.9163286606807017
50s	Underweight	674.0505472282445	460.845	6.45106274400992	0.9722652839
teen	Normal	551.98316754133	387.31399999999996	5.580968137500034	0.9369966314399998
teen	Overweight	547.6352875971473	396.62999999999994	6.020409283987502	0.9645430303333334
teen	Underweight	365.0307634454251	266.02	5.164699907913161	0.9397640727999997
