age_cat	race	chao1	observed_otus	shannon	simpson
20s	Asian or Pacific Islander	464.53912317929974	313.5753846153847	4.881117007039902	0.8993999833538463
20s	Caucasian	520.8106096033645	364.09141592920366	5.401585074237579	0.9241063723185837
20s	Hispanic	685.5732510351958	466.5825	6.310608497430171	0.9685631354000002
30s	African American	408.57893036357734	285.028	4.594344440569408	0.8675961024
30s	Asian or Pacific Islander	445.9817282949444	321.165	4.967816931227804	0.8949120348909091
30s	Caucasian	543.095665909001	386.0984115523464	5.5596507159392985	0.9299733928758122
30s	Hispanic	518.5467582702277	364.3785714285715	5.683055993095997	0.9466399716571429
40s	African American	429.46731056353013	313.14500000000004	5.379688245271275	0.9436652035
40s	Asian or Pacific Islander	522.7028613716559	368.4607142857143	5.605819615875695	0.942500119757143
40s	Caucasian	558.4644337796869	394.88862542955343	5.638555080854209	0.9335266227759457
40s	Hispanic	572.2932233652559	407.3633333333333	5.919608434487749	0.9537098319999999
50s	Asian or Pacific Islander	457.7515618300173	303.84600000000006	4.180341911430738	0.77293827088
50s	Caucasian	554.0597785350235	390.23454545454564	5.545681468609704	0.9255315518877001
50s	Hispanic	604.4521862219082	416.57	5.297239053281557	0.90430878965
teen	African American	549.9183062126608	389.73	5.719554690600169	0.9511444422000004
teen	Asian or Pacific Islander	462.5154188383494	328.665	5.396425562394477	0.9376439426000002
teen	Caucasian	542.7895087826633	384.7539999999999	5.6282010239862155	0.9403710587066667
teen	Hispanic	662.0715740482399	445.09	6.025744964468682	0.9571988230000004
