age_cat	sex	chao1	observed_otus	shannon	simpson
20s	female	523.0662786772991	366.60311111111116	5.4470506518722095	0.9271826865688889
20s	male	524.7029486772253	362.2371698113209	5.357529983082988	0.9217731732867921
30s	female	535.6594288063757	378.69191780821933	5.513910431725108	0.9262453267493147
30s	male	531.6093505046091	380.01006060606045	5.497196435908184	0.9274141648630296
40s	female	550.6052466664277	388.8219767441861	5.600162638902441	0.9315056434290693
40s	male	559.2997985629825	396.4409859154931	5.676830873483845	0.9377140771239437
50s	female	548.6716424406517	386.66450980392165	5.506429419544732	0.9244680601470591
50s	male	556.9280596929851	390.6339361702129	5.505077655390766	0.9176657934148935
teen	female	568.3496762352884	399.995	5.878092956293439	0.9569460039
teen	male	521.0969036177493	369.4090909090909	5.448765680845775	0.9303299090727275
