bmi_cat	age_cat	chao1	observed_otus	shannon	simpson
Normal	20s	550.947052216213	383.3529807692309	5.566729912033721	0.9337769251192304
Normal	30s	538.1771227197197	383.2421226415091	5.535931809915099	0.9275889200301884
Normal	40s	570.2834708512784	403.63144385026754	5.740043721210302	0.9382851738192515
Normal	50s	554.568776772059	389.78530973451336	5.531230889077375	0.9261853937840708
Normal	teen	551.2184001039454	387.0919999999999	5.581892950551933	0.9370449193066668
Obese	20s	569.9122860354522	388.4328571428572	5.543673236824753	0.935814868942857
Obese	30s	432.3642209574918	311.6223529411764	4.991653368314726	0.9003864291882353
Obese	40s	512.1784609429957	355.00176470588235	5.30745893611042	0.9238221434058823
Obese	50s	497.0925172911536	349.7991666666667	5.244726162156542	0.9050978548749998
Overweight	20s	456.5808845075428	314.29703703703706	5.019730464357955	0.9103489549777778
Overweight	30s	550.6103171809011	388.7544615384616	5.584716396867777	0.933922958686154
Overweight	40s	543.3538007874085	383.50237500000003	5.516557379464363	0.928433029945
Overweight	50s	567.7330571119967	399.9429824561405	5.532047852228725	0.916323535691228
Overweight	teen	547.4976696113052	396.95	6.023188849277147	0.9646240178000003
Underweight	20s	426.22552198664323	293.88615384615383	4.595162422623158	0.8606347065076924
Underweight	30s	511.08276761028856	363.33705882352945	5.3285951880564495	0.9173377794470589
Underweight	40s	507.6379260250363	380.2053846153847	5.705506759591971	0.9408036035230771
Underweight	50s	679.2343472364591	460.85	6.451927232878423	0.9722935835000001
Underweight	teen	368.09433928445344	266.23	5.163205333540586	0.939651188
