bmi_cat	race	chao1	observed_otus	shannon	simpson
Normal	African American	548.959205542882	395.5725	5.718276632950274	0.9316947461
Normal	Asian or Pacific Islander	486.6641962974002	337.81069767441846	5.147501944031196	0.9063645081906976
Normal	Caucasian	555.2249994898252	392.9125886524822	5.619641711047082	0.9327818656776606
Normal	Hispanic	635.0151648918364	436.81949999999995	6.050474999408083	0.9573088485700001
Obese	African American	320.9203605540213	217.2775	4.349737924809545	0.8702531777499999
Obese	Asian or Pacific Islander	582.6243888402416	384.51250000000005	5.46695507078416	0.93544735415
Obese	Caucasian	499.91609209470596	351.7802739726028	5.274944817722839	0.9152625877452059
Obese	Hispanic	575.8121250844795	394.73	5.653107962492803	0.9526037385999999
Overweight	African American	375.55009661642134	280.5733333333333	5.023299917345089	0.9316024292666668
Overweight	Asian or Pacific Islander	435.3508403187503	304.4359999999999	4.721236481058809	0.8786291660933334
Overweight	Caucasian	550.743615599124	387.8010096153845	5.545923622100637	0.9284764668711531
Overweight	Hispanic	562.8918144040623	391.99666666666667	5.636602075206294	0.9310033656666666
Underweight	African American	563.4482671748506	400.62	5.627448382000316	0.9485171920000001
Underweight	Asian or Pacific Islander	376.27476146430035	274.7357142857143	4.621156983127326	0.8732206415428573
Underweight	Caucasian	509.4164028910305	363.2652631578948	5.3838507921358465	0.9167530777157893
