race	bmi_cat	chao1	observed_otus	shannon	simpson
African American	Normal	273.41225457062126	154.7175	5.508629181179274	0.9311983850000002
African American	Obese	144.77139807119934	91.952	4.239001122980539	0.8531985040000001
African American	Overweight	191.15021232328124	109.95333333333333	4.864713470551007	0.9304220999999998
African American	Underweight	278.38157319902894	149.65	5.41153019296002	0.9477464800000002
Asian or Pacific Islander	Normal	220.8893381544456	129.59105263157895	5.011703948413712	0.9097930371929823
Asian or Pacific Islander	Obese	245.40451605871021	134.01	5.280025626161337	0.9387099000000001
Asian or Pacific Islander	Overweight	198.02820675502034	112.36823529411765	4.523669993916364	0.8772112529411764
Asian or Pacific Islander	Underweight	186.95048072093758	107.63888888888889	4.443305665995037	0.8681744977777777
Caucasian	Normal	256.93981369286536	148.67005102040807	5.356910872651185	0.9274863187755115
Caucasian	Obese	238.9139243094724	137.86689320388345	5.14382814785887	0.915571569708738
Caucasian	Overweight	254.9931140115856	146.68420689655173	5.31271294930944	0.9274828653103443
Caucasian	Underweight	234.17708135598815	135.336	5.045012954214561	0.9068507536666671
Hispanic	Normal	275.0055140847815	162.20071428571433	5.657841225925964	0.9435003592857142
Hispanic	Obese	257.97246755308163	143.41	5.437745554299356	0.9515450399999997
Hispanic	Overweight	259.2512832191004	149.91249999999997	5.454670096195666	0.9354390275000002
