	dists	type	subsample	depth	metric	g0	g0mean	g0count	g1	g1mean	g1count	pval	tstat
37	all	all-intra-inter	100000.0			all_intra	0.8731241318133776	26492.0	all_inter	0.87358964416418	35522.0	0.18555663746819873	473443848.0
1	all	intra-inter	100000.0			20s	0.8736758580830933	24310.0	20s-30s	0.8749344816947758	14586.0	0.9694245004197785	177333923.5
13	all	intra-inter	100000.0			20s	0.8736758580830933	24310.0	20s-40s	0.8692187104072397	442.0	0.0016217138445680365	5841766.0
7	all	intra-inter	100000.0			20s	0.8736758580830933	24310.0	20s-teen	0.8674590447461036	1989.0	0.0004172542740339139	25325082.0
2	all	intra-inter	100000.0			30s	0.8675906620046621	2145.0	30s-20s	0.8749344816947758	14586.0	3.881188646567431e-05	14784123.0
25	all	intra-inter	100000.0			30s	0.8675906620046621	2145.0	30s-40s	0.8695205303030302	132.0	0.33350740024737535	148660.5
19	all	intra-inter	100000.0			30s	0.8675906620046621	2145.0	30s-teen	0.8647898484848484	594.0	0.30230214747886375	654659.5
14	all	intra-inter	100000.0			40s	0.6211299999999997	1.0	40s-20s	0.8692187104072397	442.0	0.08466531665434074	0.0
26	all	intra-inter	100000.0			40s	0.6211299999999997	1.0	40s-30s	0.8695205303030302	132.0	0.08799818332524435	0.0
32	all	intra-inter	100000.0			40s	0.6211299999999997	1.0	40s-teen	0.8888183333333335	18.0	0.12069080052744556	0.0
8	all	intra-inter	100000.0			teen	0.8372580555555555	36.0	teen-20s	0.8674590447461036	1989.0	0.058678180117641254	29228.0
20	all	intra-inter	100000.0			teen	0.8372580555555555	36.0	teen-30s	0.8647898484848484	594.0	0.13001176759164734	9086.0
31	all	intra-inter	100000.0			teen	0.8372580555555555	36.0	teen-40s	0.8888183333333335	18.0	0.014299736841387578	190.0
0	all	intra-intra	100000.0			20s	0.8736758580830933	24310.0	30s	0.8675906620046621	2145.0	2.3687590652362922e-05	27505670.0
12	all	intra-intra	100000.0			20s	0.8736758580830933	24310.0	40s	0.6211299999999997	1.0	0.08484940621488148	24249.0
6	all	intra-intra	100000.0			20s	0.8736758580830933	24310.0	teen	0.8372580555555555	36.0	0.01580065428248173	539280.5
24	all	intra-intra	100000.0			30s	0.8675906620046621	2145.0	40s	0.6211299999999997	1.0	0.08617872381491944	2136.0
18	all	intra-intra	100000.0			30s	0.8675906620046621	2145.0	teen	0.8372580555555555	36.0	0.051349784811823174	45912.0
30	all	intra-intra	100000.0			teen	0.8372580555555555	36.0	40s	0.6211299999999997	1.0	0.14658281173283236	34.0
36	mean	all-intra-inter	100000.0			all_intra	0.867698639912773	298.0	all_inter	0.8704934958864153	894.0	0.8288559717139127	132093.0
4	mean	intra-inter	100000.0			20s	0.8718021249098113	221.0	20s-30s	0.8749344816947758	221.0	0.3946461778600292	23277.0
16	mean	intra-inter	100000.0			20s	0.8718021249098113	221.0	20s-40s	0.8692187104072399	221.0	0.7107317370877697	24919.0
10	mean	intra-inter	100000.0			20s	0.8718021249098113	221.0	20s-teen	0.8674590447461036	221.0	0.15620296715436852	26325.0
5	mean	intra-inter	100000.0			30s	0.8650363543869093	66.0	30s-20s	0.8749344816947758	66.0	0.21155907449075506	1903.0
28	mean	intra-inter	100000.0			30s	0.8650363543869093	66.0	30s-40s	0.8695205303030303	66.0	0.7379952687396313	2104.0
22	mean	intra-inter	100000.0			30s	0.8650363543869093	66.0	30s-teen	0.8647898484848485	66.0	0.843064704902974	2222.0
17	mean	intra-inter	100000.0			40s	0.6211299999999997	2.0	40s-20s	0.8692187104072399	2.0	0.6985353583033387	2.0
29	mean	intra-inter	100000.0			40s	0.6211299999999997	2.0	40s-30s	0.8695205303030302	2.0	0.6985353583033387	2.0
35	mean	intra-inter	100000.0			40s	0.6211299999999997	2.0	40s-teen	0.8888183333333335	2.0	0.6985353583033387	2.0
11	mean	intra-inter	100000.0			teen	0.8073049523809523	9.0	teen-20s	0.8674590447461035	9.0	0.37722461666745344	30.0
23	mean	intra-inter	100000.0			teen	0.8073049523809523	9.0	teen-30s	0.8647898484848485	9.0	0.28931483238198774	28.0
34	mean	intra-inter	100000.0			teen	0.8073049523809523	9.0	teen-40s	0.8888183333333335	9.0	0.07738861114200664	20.0
3	mean	intra-intra	100000.0			20s	0.8718021249098113	221.0	30s	0.8650363543869093	66.0	0.33071056854796377	7869.0
15	mean	intra-intra	100000.0			20s	0.8718021249098113	221.0	40s	0.6211299999999997	2.0	0.9956079896813743	221.0
9	mean	intra-intra	100000.0			20s	0.8718021249098113	221.0	teen	0.8073049523809523	9.0	0.04795341468008736	1382.0
27	mean	intra-intra	100000.0			30s	0.8650363543869093	66.0	40s	0.6211299999999997	2.0	0.9855201075203557	66.0
21	mean	intra-intra	100000.0			30s	0.8650363543869093	66.0	teen	0.8073049523809523	9.0	0.16830312836502126	382.0
33	mean	intra-intra	100000.0			teen	0.8073049523809523	9.0	40s	0.6211299999999997	2.0	0.9061856157549283	8.0
