	dists	type	subsample	depth	metric	g0	g0mean	g0count	g1	g1mean	g1count	pval	tstat
19	all	all-intra-inter	100000.0			all_intra	0.874335278229743	18438.0	all_inter	0.8725793650978114	51630.0	7.313872177071942e-07	487654056.0
1	all	intra-inter	100000.0			Normal	0.8764120397208804	13041.0	Normal-Obese	0.8686117980373536	6318.0	1.1848499481843456e-17	44315386.0
7	all	intra-inter	100000.0			Normal	0.8764120397208804	13041.0	Normal-Overweight	0.8754058011963853	15714.0	0.0023835334558168254	104591885.0
2	all	intra-inter	100000.0			Obese	0.8582635087719298	741.0	Obese-Normal	0.8686117980373536	6318.0	0.007925598831263054	2201467.0
13	all	intra-inter	100000.0			Obese	0.8582635087719298	741.0	Obese-Overweight	0.8674650303991541	3783.0	0.05910641110494646	1340237.5
8	all	intra-inter	100000.0			Overweight	0.8710762865120276	4656.0	Overweight-Normal	0.8754058011963853	15714.0	3.657292674048552e-05	35127340.5
14	all	intra-inter	100000.0			Overweight	0.8710762865120276	4656.0	Overweight-Obese	0.8674650303991541	3783.0	0.0029839848890617707	9137324.5
0	all	intra-intra	100000.0			Normal	0.8764120397208804	13041.0	Obese	0.8582635087719298	741.0	2.0047224279604617e-09	5463536.0
6	all	intra-intra	100000.0			Normal	0.8764120397208804	13041.0	Overweight	0.8710762865120276	4656.0	1.0195041944040656e-09	32186763.5
12	all	intra-intra	100000.0			Obese	0.8582635087719298	741.0	Overweight	0.8710762865120276	4656.0	0.0007930540938934031	1592869.0
18	mean	all-intra-inter	100000.0			all_intra	0.8698051438904858	298.0	all_inter	0.8713025470631827	596.0	0.9460025922304448	89051.0
4	mean	intra-inter	100000.0			Normal	0.8735346813615475	162.0	Normal-Obese	0.8686117980373536	162.0	0.08840310269124162	14559.0
10	mean	intra-inter	100000.0			Normal	0.8735346813615475	162.0	Normal-Overweight	0.8754058011963853	162.0	0.8826002553714088	12997.0
5	mean	intra-inter	100000.0			Obese	0.855811020176597	39.0	Obese-Normal	0.8686117980373536	39.0	0.147326320523566	615.0
16	mean	intra-inter	100000.0			Obese	0.855811020176597	39.0	Obese-Overweight	0.8674650303991543	39.0	0.23831097189447892	642.0
11	mean	intra-inter	100000.0			Overweight	0.8690897393934733	97.0	Overweight-Normal	0.8754058011963853	97.0	0.38596149738878593	4365.0
17	mean	intra-inter	100000.0			Overweight	0.8690897393934733	97.0	Overweight-Obese	0.8674650303991542	97.0	0.5427463147657441	4943.0
3	mean	intra-intra	100000.0			Normal	0.8735346813615475	162.0	Obese	0.855811020176597	39.0	0.006263231706795284	4051.0
9	mean	intra-intra	100000.0			Normal	0.8735346813615475	162.0	Overweight	0.8690897393934733	97.0	0.34282955924007386	8411.0
15	mean	intra-intra	100000.0			Obese	0.855811020176597	39.0	Overweight	0.8690897393934733	97.0	0.07821514048810553	1525.0
