	dists	type	subsample	depth	metric	g0	g0mean	g0count	g1	g1mean	g1count	pval	tstat
37	all	all-intra-inter	100000.0			all_intra	0.8700585974475997	23664.0	all_inter	0.8770490805770071	41178.0	5.855684370394525e-44	455309477.0
2	all	intra-inter	100000.0			asian	0.8671218003565062	561.0	asian-black	0.882377705882353	340.0	0.018392993772568055	86442.5
25	all	intra-inter	100000.0			asian	0.8671218003565062	561.0	asian-hispanic	0.8812849042407661	1462.0	0.0023671435680164693	374337.0
19	all	intra-inter	100000.0			asian	0.8671218003565062	561.0	asian-white	0.8785588332868692	7174.0	0.021925618624496754	1895577.5
1	all	intra-inter	100000.0			black	0.8650366666666669	45.0	black-asian	0.882377705882353	340.0	0.06860544298667817	6372.0
13	all	intra-inter	100000.0			black	0.8650366666666669	45.0	black-hispanic	0.8749810697674418	430.0	0.36508444978674603	8881.0
7	all	intra-inter	100000.0			black	0.8650366666666669	45.0	black-white	0.8719121421800948	2110.0	0.6326125978286032	45500.0
26	all	intra-inter	100000.0			hispanic	0.8757772868217055	903.0	hispanic-asian	0.8812849042407661	1462.0	0.027636574893465504	624559.5
14	all	intra-inter	100000.0			hispanic	0.8757772868217055	903.0	hispanic-black	0.8749810697674418	430.0	0.45394254838945336	199065.5
32	all	intra-inter	100000.0			hispanic	0.8757772868217055	903.0	hispanic-white	0.8762657356993276	9073.0	0.4456898387668107	4159401.5
20	all	intra-inter	100000.0			white	0.8699100780862109	22155.0	white-asian	0.8785588332868692	7174.0	7.242319917245603e-32	72147794.0
8	all	intra-inter	100000.0			white	0.8699100780862109	22155.0	white-black	0.8719121421800948	2110.0	0.6544116908899338	23235893.5
31	all	intra-inter	100000.0			white	0.8699100780862109	22155.0	white-hispanic	0.8762657356993276	9073.0	9.512951770455075e-15	94904004.0
24	all	intra-intra	100000.0			asian	0.8671218003565062	561.0	hispanic	0.8757772868217055	903.0	0.25604754517861195	244359.0
18	all	intra-intra	100000.0			asian	0.8671218003565062	561.0	white	0.8699100780862109	22155.0	0.21580445337821197	6404340.5
0	all	intra-intra	100000.0			black	0.8650366666666669	45.0	asian	0.8671218003565062	561.0	0.45406805228454505	11776.0
12	all	intra-intra	100000.0			black	0.8650366666666669	45.0	hispanic	0.8757772868217055	903.0	0.21660387582429752	18102.0
6	all	intra-intra	100000.0			black	0.8650366666666669	45.0	white	0.8699100780862109	22155.0	0.6648585239916744	479881.5
30	all	intra-intra	100000.0			white	0.8699100780862109	22155.0	hispanic	0.8757772868217055	903.0	0.0003929687180680625	9307963.5
36	mean	all-intra-inter	100000.0			all_intra	0.8679817620061857	298.0	all_inter	0.876474885713367	894.0	0.005579349549304749	118942.0
5	mean	intra-inter	100000.0			asian	0.8829044159402654	34.0	asian-black	0.8823777058823529	34.0	0.9559831186954447	573.0
28	mean	intra-inter	100000.0			asian	0.8829044159402654	34.0	asian-hispanic	0.8812849042407661	34.0	0.8396183827933104	561.0
22	mean	intra-inter	100000.0			asian	0.8829044159402654	34.0	asian-white	0.8785588332868692	34.0	0.6721773577297159	613.0
4	mean	intra-inter	100000.0			black	0.872216578042328	10.0	black-asian	0.8823777058823529	10.0	0.5707503880581739	42.0
16	mean	intra-inter	100000.0			black	0.872216578042328	10.0	black-hispanic	0.8749810697674418	10.0	0.9698499769931556	50.0
10	mean	intra-inter	100000.0			black	0.872216578042328	10.0	black-white	0.8719121421800947	10.0	0.6231762238821174	57.0
29	mean	intra-inter	100000.0			hispanic	0.871684129702325	43.0	hispanic-asian	0.8812849042407662	43.0	0.8900887726849793	908.0
17	mean	intra-inter	100000.0			hispanic	0.871684129702325	43.0	hispanic-black	0.8749810697674419	43.0	0.8832670950611925	942.0
35	mean	intra-inter	100000.0			hispanic	0.871684129702325	43.0	hispanic-white	0.8762657356993278	43.0	0.7624273903817478	960.0
23	mean	intra-inter	100000.0			white	0.8647148078757679	211.0	white-asian	0.8785588332868692	211.0	0.0005282751220367983	17918.0
11	mean	intra-inter	100000.0			white	0.8647148078757679	211.0	white-black	0.8719121421800948	211.0	0.0823892488208794	20084.0
34	mean	intra-inter	100000.0			white	0.8647148078757679	211.0	white-hispanic	0.8762657356993276	211.0	0.0016648471373942875	18321.0
27	mean	intra-intra	100000.0			asian	0.8829044159402654	34.0	hispanic	0.871684129702325	43.0	0.6333588295624517	778.0
21	mean	intra-intra	100000.0			asian	0.8829044159402654	34.0	white	0.8647148078757679	211.0	0.027656454973836706	4432.0
3	mean	intra-intra	100000.0			black	0.872216578042328	10.0	asian	0.8829044159402654	34.0	0.8555541514737571	163.0
15	mean	intra-intra	100000.0			black	0.872216578042328	10.0	hispanic	0.871684129702325	43.0	0.9909309827180564	214.0
9	mean	intra-intra	100000.0			black	0.872216578042328	10.0	white	0.8647148078757679	211.0	0.2936050552994366	1263.0
33	mean	intra-intra	100000.0			white	0.8647148078757679	211.0	hispanic	0.871684129702325	43.0	0.09325614980351493	3799.0
