	dists	type	subsample	depth	metric	g0	g0mean	g0count	g1	g1mean	g1count	pval	tstat
37	all	all-intra-inter	100000.0			all_intra	0.9721010669604283	26492.0	all_inter	0.972000059968594	35522.0	0.0006260273185458871	478066648.0
1	all	intra-inter	100000.0			20s	0.9722644441357626	24310.0	20s-30s	0.972053538580127	14586.0	0.00023126961302312088	181240404.0
13	all	intra-inter	100000.0			20s	0.9722644441357626	24310.0	20s-40s	0.9705789269070658	442.0	9.222078697514363e-05	5954648.0
7	all	intra-inter	100000.0			20s	0.9722644441357626	24310.0	20s-teen	0.9722451659105426	1989.0	0.43500307372579117	24430427.0
2	all	intra-inter	100000.0			30s	0.970335820551014	2145.0	30s-20s	0.972053538580127	14586.0	4.2195170480235134e-12	14196130.0
25	all	intra-inter	100000.0			30s	0.970335820551014	2145.0	30s-40s	0.9698121834014868	132.0	0.1876993224956809	151229.0
19	all	intra-inter	100000.0			30s	0.970335820551014	2145.0	30s-teen	0.9712951627649704	594.0	0.14927035939157196	612467.0
14	all	intra-inter	100000.0			40s	0.9249584920452882	1.0	40s-20s	0.9705789269070658	442.0	0.08466532739108851	0.0
26	all	intra-inter	100000.0			40s	0.9249584920452882	1.0	40s-30s	0.9698121834014868	132.0	0.08799818332524435	0.0
32	all	intra-inter	100000.0			40s	0.9249584920452882	1.0	40s-teen	0.9757830995601375	18.0	0.12069080052744556	0.0
8	all	intra-inter	100000.0			teen	0.9682648722585441	36.0	teen-20s	0.9722451659105426	1989.0	0.08485083001347317	29810.0
20	all	intra-inter	100000.0			teen	0.9682648722585441	36.0	teen-30s	0.9712951627649704	594.0	0.2239643985624984	9402.0
31	all	intra-inter	100000.0			teen	0.9682648722585441	36.0	teen-40s	0.9757830995601375	18.0	0.024588880781214004	201.0
0	all	intra-intra	100000.0			20s	0.9722644441357626	24310.0	30s	0.970335820551014	2145.0	3.4458695355821537e-18	29020859.0
12	all	intra-intra	100000.0			20s	0.9722644441357626	24310.0	40s	0.9249584920452882	1.0	0.08382412924344569	24289.0
6	all	intra-intra	100000.0			20s	0.9722644441357626	24310.0	teen	0.9682648722585441	36.0	0.059340119531139914	517039.0
24	all	intra-intra	100000.0			30s	0.970335820551014	2145.0	40s	0.9249584920452882	1.0	0.08413025081151855	2143.0
18	all	intra-intra	100000.0			30s	0.970335820551014	2145.0	teen	0.9682648722585441	36.0	0.36147451858547064	42030.0
30	all	intra-intra	100000.0			teen	0.9682648722585441	36.0	40s	0.9249584920452882	1.0	0.12225761704200096	35.0
36	mean	all-intra-inter	100000.0			all_intra	0.9711033814103297	298.0	all_inter	0.9715467944139065	894.0	0.8318863567936267	132113.0
4	mean	intra-inter	100000.0			20s	0.9719354768565697	221.0	20s-30s	0.9720535385801271	221.0	0.9258314710724375	24546.0
16	mean	intra-inter	100000.0			20s	0.9719354768565697	221.0	20s-40s	0.9705789269070659	221.0	0.08909155598315747	26704.0
10	mean	intra-inter	100000.0			20s	0.9719354768565697	221.0	20s-teen	0.9722451659105424	221.0	0.7024284229712641	23907.0
5	mean	intra-inter	100000.0			30s	0.9698869759369299	66.0	30s-20s	0.972053538580127	66.0	0.05623549900260033	1758.0
28	mean	intra-inter	100000.0			30s	0.9698869759369299	66.0	30s-40s	0.9698121834014866	66.0	0.8253021792524169	2227.0
22	mean	intra-inter	100000.0			30s	0.9698869759369299	66.0	30s-teen	0.9712951627649705	66.0	0.24122903091499182	1920.0
17	mean	intra-inter	100000.0			40s	0.9249584920452882	2.0	40s-20s	0.9705789269070659	2.0	0.6985353583033387	2.0
29	mean	intra-inter	100000.0			40s	0.9249584920452882	2.0	40s-30s	0.9698121834014867	2.0	0.6985353583033387	2.0
35	mean	intra-inter	100000.0			40s	0.9249584920452882	2.0	40s-teen	0.9757830995601375	2.0	0.6985353583033387	2.0
11	mean	intra-inter	100000.0			teen	0.9638721622807385	9.0	teen-20s	0.9722451659105426	9.0	0.28931483238198774	28.0
23	mean	intra-inter	100000.0			teen	0.9638721622807385	9.0	teen-30s	0.9712951627649704	9.0	0.37722461666745344	30.0
34	mean	intra-inter	100000.0			teen	0.9638721622807385	9.0	teen-40s	0.9757830995601375	9.0	0.18532630419857943	25.0
3	mean	intra-intra	100000.0			20s	0.9719354768565697	221.0	30s	0.9698869759369299	66.0	0.02653253705383408	8606.0
15	mean	intra-intra	100000.0			20s	0.9719354768565697	221.0	40s	0.9249584920452882	2.0	0.9956079896813743	221.0
9	mean	intra-intra	100000.0			20s	0.9719354768565697	221.0	teen	0.9638721622807385	9.0	0.21617918174727413	1237.0
27	mean	intra-intra	100000.0			30s	0.9698869759369299	66.0	40s	0.9249584920452882	2.0	0.9855201075203557	66.0
21	mean	intra-intra	100000.0			30s	0.9698869759369299	66.0	teen	0.9638721622807385	9.0	0.5409381218641993	335.0
33	mean	intra-intra	100000.0			teen	0.9638721622807385	9.0	40s	0.9249584920452882	2.0	0.9061856157549283	9.0
