	dists	type	subsample	depth	metric	g0	g0mean	g0count	g1	g1mean	g1count	pval	tstat
19	all	all-intra-inter	100000.0			all_intra	0.9720696098320418	18438.0	all_inter	0.9720540408651821	51630.0	0.07562100732257865	480165768.0
1	all	intra-inter	100000.0			Normal	0.9725394808875992	13041.0	Normal-Obese	0.9722390892176478	6318.0	0.004442410645000103	42233751.0
7	all	intra-inter	100000.0			Normal	0.9725394808875992	13041.0	Normal-Overweight	0.9720705499126777	15714.0	1.7345248012651005e-06	105814283.0
2	all	intra-inter	100000.0			Obese	0.9712014793948549	741.0	Obese-Normal	0.9722390892176478	6318.0	0.326878219717866	2289364.0
13	all	intra-inter	100000.0			Obese	0.9712014793948549	741.0	Obese-Overweight	0.9716764149959721	3783.0	0.8654472223209869	1407111.0
8	all	intra-inter	100000.0			Overweight	0.9708917095353132	4656.0	Overweight-Normal	0.9720705499126777	15714.0	7.553980074290082e-10	34413365.0
14	all	intra-inter	100000.0			Overweight	0.9708917095353132	4656.0	Overweight-Obese	0.9716764149959721	3783.0	0.004042740136479717	8486850.0
0	all	intra-intra	100000.0			Normal	0.9725394808875992	13041.0	Obese	0.9712014793948549	741.0	0.04513912106589031	5042750.0
6	all	intra-intra	100000.0			Normal	0.9725394808875992	13041.0	Overweight	0.9708917095353132	4656.0	1.4089518379299986e-20	33142367.0
12	all	intra-intra	100000.0			Obese	0.9712014793948549	741.0	Overweight	0.9708917095353132	4656.0	0.06318870186982466	1798239.0
18	mean	all-intra-inter	100000.0			all_intra	0.9713701741318191	298.0	all_inter	0.9720374526838641	596.0	0.41613686948108797	85844.0
4	mean	intra-inter	100000.0			Normal	0.9721230218842863	162.0	Normal-Obese	0.9722390892176478	162.0	0.7891047508838238	13348.0
10	mean	intra-inter	100000.0			Normal	0.9721230218842863	162.0	Normal-Overweight	0.9720705499126775	162.0	0.4881240642145911	13707.0
5	mean	intra-inter	100000.0			Obese	0.9704117839399589	39.0	Obese-Normal	0.972239089217648	39.0	0.3901028745233497	674.0
16	mean	intra-inter	100000.0			Obese	0.9704117839399589	39.0	Obese-Overweight	0.971676414995972	39.0	0.7340259960168616	726.0
11	mean	intra-inter	100000.0			Overweight	0.9704869484978964	97.0	Overweight-Normal	0.9720705499126777	97.0	0.08293070519083505	4026.0
17	mean	intra-inter	100000.0			Overweight	0.9704869484978964	97.0	Overweight-Obese	0.9716764149959722	97.0	0.2139029302961688	4218.0
3	mean	intra-intra	100000.0			Normal	0.9721230218842863	162.0	Obese	0.9704117839399589	39.0	0.15702991084703508	3621.0
9	mean	intra-intra	100000.0			Normal	0.9721230218842863	162.0	Overweight	0.9704869484978964	97.0	0.032104342764423914	9108.0
15	mean	intra-intra	100000.0			Obese	0.9704117839399589	39.0	Overweight	0.9704869484978964	97.0	0.873833475000087	1925.0
