	dists	type	subsample	depth	metric	g0	g0mean	g0count	g1	g1mean	g1count	pval	tstat
37	all	all-intra-inter	100000.0			all_intra	0.9713888811826296	23664.0	all_inter	0.9728324856336936	41178.0	4.830941268566612e-61	449394412.0
2	all	intra-inter	100000.0			asian	0.9722040474033992	561.0	asian-black	0.9752123463902285	340.0	0.0010313795138510735	82943.0
25	all	intra-inter	100000.0			asian	0.9722040474033992	561.0	asian-hispanic	0.9737599113892876	1462.0	0.10853148026209293	391215.0
19	all	intra-inter	100000.0			asian	0.9722040474033992	561.0	asian-white	0.9738071348463803	7174.0	0.03347164896231734	1903996.0
1	all	intra-inter	100000.0			black	0.9720319061283462	45.0	black-asian	0.9752123463902285	340.0	0.07305285325467559	6392.0
13	all	intra-inter	100000.0			black	0.9720319061283462	45.0	black-hispanic	0.9729705482646999	430.0	0.947670947917184	9617.0
7	all	intra-inter	100000.0			black	0.9720319061283462	45.0	black-white	0.9727143026991104	2110.0	0.9335270850112555	47820.0
26	all	intra-inter	100000.0			hispanic	0.9711282925054593	903.0	hispanic-asian	0.9737599113892876	1462.0	6.314826658122033e-10	560348.0
14	all	intra-inter	100000.0			hispanic	0.9711282925054593	903.0	hispanic-black	0.9729705482646999	430.0	0.004382397366853399	175425.0
32	all	intra-inter	100000.0			hispanic	0.9711282925054593	903.0	hispanic-white	0.971844148424052	9073.0	0.14705224379330661	3976784.0
20	all	intra-inter	100000.0			white	0.9713775549448989	22155.0	white-asian	0.9738071348463803	7174.0	2.296586802219156e-77	67865794.0
8	all	intra-inter	100000.0			white	0.9713775549448989	22155.0	white-black	0.9727143026991104	2110.0	4.882338539903363e-07	21826741.0
31	all	intra-inter	100000.0			white	0.9713775549448989	22155.0	white-hispanic	0.971844148424052	9073.0	0.03537610922979113	98984380.0
24	all	intra-intra	100000.0			asian	0.9722040474033992	561.0	hispanic	0.9711282925054593	903.0	0.0009615160534093033	279256.0
18	all	intra-intra	100000.0			asian	0.9722040474033992	561.0	white	0.9713775549448989	22155.0	0.0004662415113908429	6751263.0
0	all	intra-intra	100000.0			black	0.9720319061283462	45.0	asian	0.9722040474033992	561.0	0.7913223429688616	12323.0
12	all	intra-intra	100000.0			black	0.9720319061283462	45.0	hispanic	0.9711282925054593	903.0	0.31586516342715276	22116.0
6	all	intra-intra	100000.0			black	0.9720319061283462	45.0	white	0.9713775549448989	22155.0	0.4167162982250514	533367.0
30	all	intra-intra	100000.0			white	0.9713775549448989	22155.0	hispanic	0.9711282925054593	903.0	0.4661528082530296	10145869.0
36	mean	all-intra-inter	100000.0			all_intra	0.9710821860621481	298.0	all_inter	0.9729947629862977	894.0	1.049851654924142e-05	110527.0
5	mean	intra-inter	100000.0			asian	0.9749114744310071	34.0	asian-black	0.9752123463902285	34.0	0.6901654865797001	545.0
28	mean	intra-inter	100000.0			asian	0.9749114744310071	34.0	asian-hispanic	0.9737599113892874	34.0	0.47304411284079284	637.0
22	mean	intra-inter	100000.0			asian	0.9749114744310071	34.0	asian-white	0.9738071348463803	34.0	0.654374981762246	615.0
4	mean	intra-inter	100000.0			black	0.9739763356816997	10.0	black-asian	0.9752123463902285	10.0	0.5707503880581739	42.0
16	mean	intra-inter	100000.0			black	0.9739763356816997	10.0	black-hispanic	0.9729705482646999	10.0	0.5205228832757727	59.0
10	mean	intra-inter	100000.0			black	0.9739763356816997	10.0	black-white	0.9727143026991104	10.0	0.47267559351158717	60.0
29	mean	intra-inter	100000.0			hispanic	0.9701539171581631	43.0	hispanic-asian	0.9737599113892874	43.0	0.027634731290540438	669.0
17	mean	intra-inter	100000.0			hispanic	0.9701539171581631	43.0	hispanic-black	0.9729705482647001	43.0	0.051977107223627445	699.0
35	mean	intra-inter	100000.0			hispanic	0.9701539171581631	43.0	hispanic-white	0.971844148424052	43.0	0.4628607598470279	839.0
23	mean	intra-inter	100000.0			white	0.9705420595441439	211.0	white-asian	0.9738071348463804	211.0	2.343130162529522e-08	15264.0
11	mean	intra-inter	100000.0			white	0.9705420595441439	211.0	white-black	0.9727143026991104	211.0	0.0002717812900787601	17699.0
34	mean	intra-inter	100000.0			white	0.9705420595441439	211.0	white-hispanic	0.9718441484240519	211.0	0.031203169925813023	19561.0
27	mean	intra-intra	100000.0			asian	0.9749114744310071	34.0	hispanic	0.9701539171581631	43.0	0.00471149971183667	1007.0
21	mean	intra-intra	100000.0			asian	0.9749114744310071	34.0	white	0.9705420595441439	211.0	0.0005266633275982487	4917.0
3	mean	intra-intra	100000.0			black	0.9739763356816997	10.0	asian	0.9749114744310071	34.0	0.8997119709050208	165.0
15	mean	intra-intra	100000.0			black	0.9739763356816997	10.0	hispanic	0.9701539171581631	43.0	0.0947441712974502	289.0
9	mean	intra-intra	100000.0			black	0.9739763356816997	10.0	white	0.9705420595441439	211.0	0.0703795901936406	1413.0
33	mean	intra-intra	100000.0			white	0.9705420595441439	211.0	hispanic	0.9701539171581631	43.0	0.7969088955259986	4423.0
