	dists	type	subsample	depth	metric	g0	g0mean	g0count	g1	g1mean	g1count	pval	tstat
37	all	all-intra-inter	100000.0			all_intra	0.7488295954774524	26492.0	all_inter	0.746593189577981	35522.0	3.6278536646234897e-11	485120130.0
1	all	intra-inter	100000.0			20s	0.7499035729115249	24310.0	20s-30s	0.7472046425240845	14586.0	2.322280458276868e-09	183696904.0
13	all	intra-inter	100000.0			20s	0.7499035729115249	24310.0	20s-40s	0.7597855640278586	442.0	6.620585478225281e-05	4778562.0
7	all	intra-inter	100000.0			20s	0.7499035729115249	24310.0	20s-teen	0.7401095278598407	1989.0	2.219451416930872e-19	27106709.0
2	all	intra-inter	100000.0			30s	0.7373271574275013	2145.0	30s-20s	0.7472046425240845	14586.0	4.581314548879765e-17	13889653.0
25	all	intra-inter	100000.0			30s	0.7373271574275013	2145.0	30s-40s	0.7484714467317988	132.0	0.017404035576694923	124135.0
19	all	intra-inter	100000.0			30s	0.7373271574275013	2145.0	30s-teen	0.7420700185955316	594.0	0.02595302003293039	599081.0
14	all	intra-inter	100000.0			40s	0.5730152781771464	1.0	40s-20s	0.7597855640278586	442.0	0.08466532739108851	0.0
26	all	intra-inter	100000.0			40s	0.5730152781771464	1.0	40s-30s	0.7484714467317988	132.0	0.08799818332524435	0.0
32	all	intra-inter	100000.0			40s	0.5730152781771464	1.0	40s-teen	0.7791017783526112	18.0	0.12069080052744556	0.0
8	all	intra-inter	100000.0			teen	0.7138338319258474	36.0	teen-20s	0.7401095278598407	1989.0	0.0028176491378340894	25416.0
20	all	intra-inter	100000.0			teen	0.7138338319258474	36.0	teen-30s	0.7420700185955316	594.0	0.0014611118649404781	7317.0
31	all	intra-inter	100000.0			teen	0.7138338319258474	36.0	teen-40s	0.7791017783526112	18.0	3.2941436781262047e-06	70.0
0	all	intra-intra	100000.0			20s	0.7499035729115249	24310.0	30s	0.7373271574275013	2145.0	6.692923554295556e-30	29923857.0
12	all	intra-intra	100000.0			20s	0.7499035729115249	24310.0	40s	0.5730152781771464	1.0	0.08397727828239977	24283.0
6	all	intra-intra	100000.0			20s	0.7499035729115249	24310.0	teen	0.7138338319258474	36.0	5.644161319571785e-05	607280.0
24	all	intra-intra	100000.0			30s	0.7373271574275013	2145.0	40s	0.5730152781771464	1.0	0.08677134652377529	2134.0
18	all	intra-intra	100000.0			30s	0.7373271574275013	2145.0	teen	0.7138338319258474	36.0	0.01771448455644878	47497.0
30	all	intra-intra	100000.0			teen	0.7138338319258474	36.0	40s	0.5730152781771464	1.0	0.14658281173283236	34.0
36	mean	all-intra-inter	100000.0			all_intra	0.7428868067950303	298.0	all_inter	0.7485755413027897	894.0	0.24973596562541178	127282.0
4	mean	intra-inter	100000.0			20s	0.7478055945763944	221.0	20s-30s	0.7472046425240845	221.0	0.34615254078935964	25686.0
16	mean	intra-inter	100000.0			20s	0.7478055945763944	221.0	20s-40s	0.7597855640278586	221.0	0.009739488048811053	20949.0
10	mean	intra-inter	100000.0			20s	0.7478055945763944	221.0	20s-teen	0.7401095278598406	221.0	0.0020074815015202023	28569.0
5	mean	intra-inter	100000.0			30s	0.7351819600296601	66.0	30s-20s	0.7472046425240844	66.0	0.0046761166113872595	1556.0
28	mean	intra-inter	100000.0			30s	0.7351819600296601	66.0	30s-40s	0.7484714467317989	66.0	0.06496627375600275	1772.0
22	mean	intra-inter	100000.0			30s	0.7351819600296601	66.0	30s-teen	0.7420700185955317	66.0	0.11272235546196252	1829.0
17	mean	intra-inter	100000.0			40s	0.5730152781771464	2.0	40s-20s	0.7597855640278588	2.0	0.6985353583033387	2.0
29	mean	intra-inter	100000.0			40s	0.5730152781771464	2.0	40s-30s	0.7484714467317989	2.0	0.6985353583033387	2.0
35	mean	intra-inter	100000.0			40s	0.5730152781771464	2.0	40s-teen	0.7791017783526113	2.0	0.6985353583033387	2.0
11	mean	intra-inter	100000.0			teen	0.6914559638533837	9.0	teen-20s	0.7401095278598407	9.0	0.11196135426374831	22.0
23	mean	intra-inter	100000.0			teen	0.6914559638533837	9.0	teen-30s	0.7420700185955316	9.0	0.1333202155896274	23.0
34	mean	intra-inter	100000.0			teen	0.6914559638533837	9.0	teen-40s	0.7791017783526112	9.0	0.006193318174044277	9.0
3	mean	intra-intra	100000.0			20s	0.7478055945763944	221.0	30s	0.7351819600296601	66.0	0.0007443438837592403	9289.0
15	mean	intra-intra	100000.0			20s	0.7478055945763944	221.0	40s	0.5730152781771464	2.0	0.9956079896813743	221.0
9	mean	intra-intra	100000.0			20s	0.7478055945763944	221.0	teen	0.6914559638533837	9.0	0.009150538911764733	1505.0
27	mean	intra-intra	100000.0			30s	0.7351819600296601	66.0	40s	0.5730152781771464	2.0	0.9855201075203557	66.0
21	mean	intra-intra	100000.0			30s	0.7351819600296601	66.0	teen	0.6914559638533837	9.0	0.13152698278606276	390.0
33	mean	intra-intra	100000.0			teen	0.6914559638533837	9.0	40s	0.5730152781771464	2.0	0.9061856157549283	8.0
