	dists	type	subsample	depth	metric	g0	g0mean	g0count	g1	g1mean	g1count	pval	tstat
19	all	all-intra-inter	100000.0			all_intra	0.7465454178622848	18438.0	all_inter	0.7489223656377448	51630.0	1.0674448037355335e-06	464474490.0
1	all	intra-inter	100000.0			Normal	0.7462670487136295	13041.0	Normal-Obese	0.749922219305502	6318.0	1.4090700608517926e-06	39437829.0
7	all	intra-inter	100000.0			Normal	0.7462670487136295	13041.0	Normal-Overweight	0.7478875057893803	15714.0	0.02959190708689602	100938615.0
2	all	intra-inter	100000.0			Obese	0.7492973289989708	741.0	Obese-Normal	0.749922219305502	6318.0	0.24067298810169868	2402397.0
13	all	intra-inter	100000.0			Obese	0.7492973289989708	741.0	Obese-Overweight	0.7515511555357917	3783.0	0.8569157051107303	1407464.0
8	all	intra-inter	100000.0			Overweight	0.7468871373458177	4656.0	Overweight-Normal	0.7478875057893803	15714.0	0.37742463397651305	36271124.0
14	all	intra-inter	100000.0			Overweight	0.7468871373458177	4656.0	Overweight-Obese	0.7515511555357917	3783.0	1.327467199108657e-05	8322042.0
0	all	intra-intra	100000.0			Normal	0.7462670487136295	13041.0	Obese	0.7492973289989708	741.0	0.0009108554004004681	4482266.0
6	all	intra-intra	100000.0			Normal	0.7462670487136295	13041.0	Overweight	0.7468871373458177	4656.0	0.5372048151216631	30174797.0
12	all	intra-intra	100000.0			Obese	0.7492973289989708	741.0	Overweight	0.7468871373458177	4656.0	0.005983032191980232	1833334.0
18	mean	all-intra-inter	100000.0			all_intra	0.744561540212573	298.0	all_inter	0.7494097101220186	596.0	0.013524604143162576	79815.0
4	mean	intra-inter	100000.0			Normal	0.7439057088377826	162.0	Normal-Obese	0.7499222193055018	162.0	0.01368678205005848	11043.0
10	mean	intra-inter	100000.0			Normal	0.7439057088377826	162.0	Normal-Overweight	0.7478875057893803	162.0	0.29193764134837785	12233.0
5	mean	intra-inter	100000.0			Obese	0.7476735594933422	39.0	Obese-Normal	0.7499222193055021	39.0	0.9362793669948538	769.0
16	mean	intra-inter	100000.0			Obese	0.7476735594933422	39.0	Obese-Overweight	0.7515511555357915	39.0	0.97608288826328	757.0
11	mean	intra-inter	100000.0			Overweight	0.7444295831154065	97.0	Overweight-Normal	0.7478875057893802	97.0	0.3160985240961831	4312.0
17	mean	intra-inter	100000.0			Overweight	0.7444295831154065	97.0	Overweight-Obese	0.7515511555357915	97.0	0.028216438473643735	3846.0
3	mean	intra-intra	100000.0			Normal	0.7439057088377826	162.0	Obese	0.7476735594933422	39.0	0.23838988830705277	2774.0
9	mean	intra-intra	100000.0			Normal	0.7439057088377826	162.0	Overweight	0.7444295831154065	97.0	0.9405724593019764	7901.0
15	mean	intra-intra	100000.0			Obese	0.7476735594933422	39.0	Overweight	0.7444295831154065	97.0	0.30313390005193175	2106.0
