	dists	type	subsample	depth	metric	g0	g0mean	g0count	g1	g1mean	g1count	pval	tstat
37	all	all-intra-inter	100000.0			all_intra	0.7447719118364218	23664.0	all_inter	0.7515640760496436	41178.0	1.9796559513581213e-59	449912954.0
2	all	intra-inter	100000.0			asian	0.7490676842562902	561.0	asian-black	0.7609737716722609	340.0	0.0014936193339830553	83344.0
25	all	intra-inter	100000.0			asian	0.7490676842562902	561.0	asian-hispanic	0.7603519643800307	1462.0	0.0006567252660178505	370018.0
19	all	intra-inter	100000.0			asian	0.7490676842562902	561.0	asian-white	0.7593792254021335	7174.0	7.411821176800813e-05	1810462.0
1	all	intra-inter	100000.0			black	0.7333277025497763	45.0	black-asian	0.7609737716722609	340.0	0.002470446516511225	5526.0
13	all	intra-inter	100000.0			black	0.7333277025497763	45.0	black-hispanic	0.7466648870000895	430.0	0.30455699715219076	8775.0
7	all	intra-inter	100000.0			black	0.7333277025497763	45.0	black-white	0.745749100954352	2110.0	0.32353615305421346	43397.0
26	all	intra-inter	100000.0			hispanic	0.7390676443248074	903.0	hispanic-asian	0.7603519643800307	1462.0	4.001312627135316e-21	507910.0
14	all	intra-inter	100000.0			hispanic	0.7390676443248074	903.0	hispanic-black	0.7466648870000895	430.0	0.016412128885346797	178379.0
32	all	intra-inter	100000.0			hispanic	0.7390676443248074	903.0	hispanic-white	0.7452004893679386	9073.0	0.0009606706421939879	3823951.0
20	all	intra-inter	100000.0			white	0.7449188770656404	22155.0	white-asian	0.7593792254021335	7174.0	8.281139449581591e-109	65657889.0
8	all	intra-inter	100000.0			white	0.7449188770656404	22155.0	white-black	0.745749100954352	2110.0	0.9058396547588751	23337156.0
31	all	intra-inter	100000.0			white	0.7449188770656404	22155.0	white-hispanic	0.7452004893679386	9073.0	0.8436165162384367	100648837.0
24	all	intra-intra	100000.0			asian	0.7490676842562902	561.0	hispanic	0.7390676443248074	903.0	4.683655059238681e-06	289298.0
18	all	intra-intra	100000.0			asian	0.7490676842562902	561.0	white	0.7449188770656404	22155.0	0.0019525972103338226	6689586.0
0	all	intra-intra	100000.0			black	0.7333277025497763	45.0	asian	0.7490676842562902	561.0	0.0820547934910002	10657.0
12	all	intra-intra	100000.0			black	0.7333277025497763	45.0	hispanic	0.7390676443248074	903.0	0.8767592658127867	20039.0
6	all	intra-intra	100000.0			black	0.7333277025497763	45.0	white	0.7449188770656404	22155.0	0.34846875623162055	458221.0
30	all	intra-intra	100000.0			white	0.7449188770656404	22155.0	hispanic	0.7390676443248074	903.0	0.0005966001924139707	10676119.0
36	mean	all-intra-inter	100000.0			all_intra	0.7413900784342289	298.0	all_inter	0.7513899016283417	894.0	1.4872345965434248e-06	108436.0
5	mean	intra-inter	100000.0			asian	0.757927688911452	34.0	asian-black	0.7609737716722609	34.0	0.9657577820950466	582.0
28	mean	intra-inter	100000.0			asian	0.757927688911452	34.0	asian-hispanic	0.7603519643800308	34.0	0.8878273869267244	590.0
22	mean	intra-inter	100000.0			asian	0.757927688911452	34.0	asian-white	0.7593792254021337	34.0	0.8396183827933104	595.0
4	mean	intra-inter	100000.0			black	0.7406523369524103	10.0	black-asian	0.7609737716722609	10.0	0.16197241048012612	31.0
16	mean	intra-inter	100000.0			black	0.7406523369524103	10.0	black-hispanic	0.7466648870000895	10.0	0.8501067391385259	47.0
10	mean	intra-inter	100000.0			black	0.7406523369524103	10.0	black-white	0.7457491009543519	10.0	0.7337299956962472	45.0
29	mean	intra-inter	100000.0			hispanic	0.7369596544428147	43.0	hispanic-asian	0.7603519643800309	43.0	0.00025017100531699596	500.0
17	mean	intra-inter	100000.0			hispanic	0.7369596544428147	43.0	hispanic-black	0.7466648870000894	43.0	0.26892782141379634	796.0
35	mean	intra-inter	100000.0			hispanic	0.7369596544428147	43.0	hispanic-white	0.7452004893679387	43.0	0.3690537656176439	820.0
23	mean	intra-inter	100000.0			white	0.739709013363883	211.0	white-asian	0.7593792254021337	211.0	1.476816421625127e-14	12627.0
11	mean	intra-inter	100000.0			white	0.739709013363883	211.0	white-black	0.745749100954352	211.0	0.045198233679098435	19751.0
34	mean	intra-inter	100000.0			white	0.739709013363883	211.0	white-hispanic	0.7452004893679387	211.0	0.04729521225515437	19775.0
27	mean	intra-intra	100000.0			asian	0.757927688911452	34.0	hispanic	0.7369596544428147	43.0	0.0037563284616648415	1014.0
21	mean	intra-intra	100000.0			asian	0.757927688911452	34.0	white	0.739709013363883	211.0	0.0002682948324881103	4985.0
3	mean	intra-intra	100000.0			black	0.7406523369524103	10.0	asian	0.757927688911452	34.0	0.20257310264342698	124.0
15	mean	intra-intra	100000.0			black	0.7406523369524103	10.0	hispanic	0.7369596544428147	43.0	0.9004979827842585	221.0
9	mean	intra-intra	100000.0			black	0.7406523369524103	10.0	white	0.739709013363883	211.0	0.7250114186425672	1125.0
33	mean	intra-intra	100000.0			white	0.739709013363883	211.0	hispanic	0.7369596544428147	43.0	0.9111452659238426	4487.0
