	dists	type	subsample	depth	metric	g0	g0mean	g0count	g1	g1mean	g1count	pval	tstat
37	all	all-intra-inter	100000.0			all_intra	0.46157995378369315	26492.0	all_inter	0.4804868932288441	35522.0	1.9525157553160519e-38	441934710.0
1	all	intra-inter	100000.0			20s	0.45867181126962564	24310.0	20s-30s	0.48976804604760044	14586.0	7.995789088320544e-57	160262354.0
13	all	intra-inter	100000.0			20s	0.45867181126962564	24310.0	20s-40s	0.4004546292187782	442.0	1.2934404751991796e-07	6158546.0
7	all	intra-inter	100000.0			20s	0.45867181126962564	24310.0	20s-teen	0.43583483474494716	1989.0	6.786816726105811e-06	25641288.0
2	all	intra-inter	100000.0			30s	0.4954723594907692	2145.0	30s-20s	0.48976804604760044	14586.0	0.3072189725340102	15856752.0
25	all	intra-inter	100000.0			30s	0.4954723594907692	2145.0	30s-40s	0.4071091415924242	132.0	1.3805232812804141e-07	180191.0
19	all	intra-inter	100000.0			30s	0.4954723594907692	2145.0	30s-teen	0.4803538704597643	594.0	0.09933722738558161	665176.0
14	all	intra-inter	100000.0			40s	0.12939270349999998	1.0	40s-20s	0.4004546292187782	442.0	0.08466532739108851	0.0
26	all	intra-inter	100000.0			40s	0.12939270349999998	1.0	40s-30s	0.4071091415924242	132.0	0.08799818332524435	0.0
32	all	intra-inter	100000.0			40s	0.12939270349999998	1.0	40s-teen	0.40144182341666673	18.0	0.12069080052744556	0.0
8	all	intra-inter	100000.0			teen	0.41518888505000007	36.0	teen-20s	0.43583483474494716	1989.0	0.6535661084500175	34241.0
20	all	intra-inter	100000.0			teen	0.41518888505000007	36.0	teen-30s	0.4803538704597643	594.0	0.06353384861555683	8724.0
31	all	intra-inter	100000.0			teen	0.41518888505000007	36.0	teen-40s	0.40144182341666673	18.0	0.9341916414436111	329.0
0	all	intra-intra	100000.0			20s	0.45867181126962564	24310.0	30s	0.4954723594907692	2145.0	2.0851116453877174e-17	23194204.0
12	all	intra-intra	100000.0			20s	0.45867181126962564	24310.0	40s	0.12939270349999998	1.0	0.08456644916392661	24260.0
6	all	intra-intra	100000.0			20s	0.45867181126962564	24310.0	teen	0.41518888505000007	36.0	0.2778000819348714	483312.0
24	all	intra-intra	100000.0			30s	0.4954723594907692	2145.0	40s	0.12939270349999998	1.0	0.0844204539905239	2142.0
18	all	intra-intra	100000.0			30s	0.4954723594907692	2145.0	teen	0.41518888505000007	36.0	0.018377541081809053	47446.0
30	all	intra-intra	100000.0			teen	0.41518888505000007	36.0	40s	0.12939270349999998	1.0	0.10120801775718938	36.0
36	mean	all-intra-inter	100000.0			all_intra	0.4671998135256757	298.0	all_inter	0.4454503864576479	894.0	4.4250014103972545e-05	154225.0
4	mean	intra-inter	100000.0			20s	0.46419628538833674	221.0	20s-30s	0.4897680460476004	221.0	1.5750574663086434e-05	18622.0
16	mean	intra-inter	100000.0			20s	0.46419628538833674	221.0	20s-40s	0.4004546292187782	221.0	5.701765159768448e-11	33218.0
10	mean	intra-inter	100000.0			20s	0.46419628538833674	221.0	20s-teen	0.4358348347449472	221.0	1.4501067492460272e-08	32031.0
5	mean	intra-inter	100000.0			30s	0.4910416092657792	66.0	30s-20s	0.4897680460476004	66.0	0.48765090119184973	2331.0
28	mean	intra-inter	100000.0			30s	0.4910416092657792	66.0	30s-40s	0.4071091415924242	66.0	1.2091699339156202e-05	3140.0
22	mean	intra-inter	100000.0			30s	0.4910416092657792	66.0	30s-teen	0.4803538704597643	66.0	0.04260762604085562	2624.0
17	mean	intra-inter	100000.0			40s	0.12939270349999998	2.0	40s-20s	0.4004546292187783	2.0	0.6985353583033387	2.0
29	mean	intra-inter	100000.0			40s	0.12939270349999998	2.0	40s-30s	0.40710914159242423	2.0	0.6985353583033387	2.0
35	mean	intra-inter	100000.0			40s	0.12939270349999998	2.0	40s-teen	0.4014418234166667	2.0	0.6985353583033387	2.0
11	mean	intra-inter	100000.0			teen	0.3983081356673661	9.0	teen-20s	0.4358348347449472	9.0	0.47992869214595724	32.0
23	mean	intra-inter	100000.0			teen	0.3983081356673661	9.0	teen-30s	0.48035387045976435	9.0	0.07738861114200664	20.0
34	mean	intra-inter	100000.0			teen	0.3983081356673661	9.0	teen-40s	0.40144182341666673	9.0	0.7239320396139757	45.0
3	mean	intra-intra	100000.0			20s	0.46419628538833674	221.0	30s	0.4910416092657792	66.0	0.01490550737240564	5852.0
15	mean	intra-intra	100000.0			20s	0.46419628538833674	221.0	40s	0.12939270349999998	2.0	0.9956079896813743	221.0
9	mean	intra-intra	100000.0			20s	0.46419628538833674	221.0	teen	0.3983081356673661	9.0	0.15990238007810442	1270.0
27	mean	intra-intra	100000.0			30s	0.4910416092657792	66.0	40s	0.12939270349999998	2.0	0.9855201075203557	66.0
21	mean	intra-intra	100000.0			30s	0.4910416092657792	66.0	teen	0.3983081356673661	9.0	0.04237368508296711	422.0
33	mean	intra-intra	100000.0			teen	0.3983081356673661	9.0	40s	0.12939270349999998	2.0	0.9061856157549283	9.0
