	dists	type	subsample	depth	metric	g0	g0mean	g0count	g1	g1mean	g1count	pval	tstat
19	all	all-intra-inter	100000.0			all_intra	0.4676520760803666	18438.0	all_inter	0.47025120540404025	51630.0	0.1863036031327584	472861108.0
1	all	intra-inter	100000.0			Normal	0.4650020371079825	13041.0	Normal-Obese	0.4476922489964229	6318.0	1.2310195821431667e-07	43124785.0
7	all	intra-inter	100000.0			Normal	0.4650020371079825	13041.0	Normal-Overweight	0.4815159565585211	15714.0	1.0098584724042903e-11	97694367.0
2	all	intra-inter	100000.0			Obese	0.4317267116415655	741.0	Obese-Normal	0.4476922489964229	6318.0	0.02657126766656731	2224426.0
13	all	intra-inter	100000.0			Obese	0.4317267116415655	741.0	Obese-Overweight	0.46113494501329627	3783.0	0.0008202020961169629	1292819.0
8	all	intra-inter	100000.0			Overweight	0.48079207893432135	4656.0	Overweight-Normal	0.4815159565585211	15714.0	0.9759702398433991	36571576.0
14	all	intra-inter	100000.0			Overweight	0.48079207893432135	4656.0	Overweight-Obese	0.46113494501329627	3783.0	8.430121932187971e-07	9355005.0
0	all	intra-intra	100000.0			Normal	0.4650020371079825	13041.0	Obese	0.4317267116415655	741.0	1.1907785212645669e-05	5293059.0
6	all	intra-intra	100000.0			Normal	0.4650020371079825	13041.0	Overweight	0.48079207893432135	4656.0	2.4196397701151314e-06	28948550.0
12	all	intra-intra	100000.0			Obese	0.4317267116415655	741.0	Overweight	0.48079207893432135	4656.0	7.040227438371942e-10	1482170.0
18	mean	all-intra-inter	100000.0			all_intra	0.47167912745762575	298.0	all_inter	0.4654582673133327	596.0	0.022767209513907462	97093.0
4	mean	intra-inter	100000.0			Normal	0.4693153530932148	162.0	Normal-Obese	0.44769224899642285	162.0	0.0005989706295061113	16016.0
10	mean	intra-inter	100000.0			Normal	0.4693153530932148	162.0	Normal-Overweight	0.4815159565585211	162.0	0.08029874988614293	11647.0
5	mean	intra-inter	100000.0			Obese	0.4449235586793709	39.0	Obese-Normal	0.44769224899642296	39.0	0.7415649974307161	794.0
16	mean	intra-inter	100000.0			Obese	0.4449235586793709	39.0	Obese-Overweight	0.46113494501329627	39.0	0.3791749042884677	672.0
11	mean	intra-inter	100000.0			Overweight	0.4862341200226657	97.0	Overweight-Normal	0.48151595655852103	97.0	0.11635599267407022	5319.0
17	mean	intra-inter	100000.0			Overweight	0.4862341200226657	97.0	Overweight-Obese	0.4611349450132963	97.0	0.0026338650786447695	5881.0
3	mean	intra-intra	100000.0			Normal	0.4693153530932148	162.0	Obese	0.4449235586793709	39.0	0.1680998433302151	3609.0
9	mean	intra-intra	100000.0			Normal	0.4693153530932148	162.0	Overweight	0.4862341200226657	97.0	0.09557960889273127	6884.0
15	mean	intra-intra	100000.0			Obese	0.4449235586793709	39.0	Overweight	0.4862341200226657	97.0	0.02171863422211387	1414.0
