	dists	type	subsample	depth	metric	g0	g0mean	g0count	g1	g1mean	g1count	pval	tstat
37	all	all-intra-inter	100000.0			all_intra	0.46394455167852006	23664.0	all_inter	0.475172178122036	41178.0	1.4642562886508538e-09	473339436.0
2	all	intra-inter	100000.0			asian	0.3918336606392157	561.0	asian-black	0.4498679015617647	340.0	1.2117546055773538e-08	73794.0
25	all	intra-inter	100000.0			asian	0.3918336606392157	561.0	asian-hispanic	0.48274844442845416	1462.0	3.8797847673115576e-19	304937.0
19	all	intra-inter	100000.0			asian	0.3918336606392157	561.0	asian-white	0.4513680855213549	7174.0	2.1706064693465643e-15	1608319.0
1	all	intra-inter	100000.0			black	0.4744901661177779	45.0	black-asian	0.4498679015617647	340.0	0.2815134796473422	8406.0
13	all	intra-inter	100000.0			black	0.4744901661177779	45.0	black-hispanic	0.49574862719139534	430.0	0.5685821744545354	9175.0
7	all	intra-inter	100000.0			black	0.4744901661177779	45.0	black-white	0.4605807040590995	2110.0	0.45752717709818735	50544.0
26	all	intra-inter	100000.0			hispanic	0.5292410784936877	903.0	hispanic-asian	0.48274844442845416	1462.0	1.0085983594613319e-08	752528.0
14	all	intra-inter	100000.0			hispanic	0.5292410784936877	903.0	hispanic-black	0.49574862719139534	430.0	0.00781300941483956	211622.0
32	all	intra-inter	100000.0			hispanic	0.5292410784936877	903.0	hispanic-white	0.49613962551328117	9073.0	1.0371483672065807e-05	4460372.0
20	all	intra-inter	100000.0			white	0.4630877199705168	22155.0	white-asian	0.4513680855213549	7174.0	3.318235802939075e-08	82912824.0
8	all	intra-inter	100000.0			white	0.4630877199705168	22155.0	white-black	0.4605807040590995	2110.0	0.6232316204133124	23524572.0
31	all	intra-inter	100000.0			white	0.4630877199705168	22155.0	white-hispanic	0.49613962551328117	9073.0	3.309603854935646e-40	90906037.0
24	all	intra-intra	100000.0			asian	0.3918336606392157	561.0	hispanic	0.5292410784936877	903.0	2.4020691133490503e-37	152863.0
18	all	intra-intra	100000.0			asian	0.3918336606392157	561.0	white	0.4630877199705168	22155.0	1.7203320251312375e-23	4682401.0
0	all	intra-intra	100000.0			black	0.4744901661177779	45.0	asian	0.3918336606392157	561.0	0.0007030309209796277	16452.0
12	all	intra-intra	100000.0			black	0.4744901661177779	45.0	hispanic	0.5292410784936877	903.0	0.1082710591286897	17438.0
6	all	intra-intra	100000.0			black	0.4744901661177779	45.0	white	0.4630877199705168	22155.0	0.5466688034173872	524375.0
30	all	intra-intra	100000.0			white	0.4630877199705168	22155.0	hispanic	0.5292410784936877	903.0	1.613317455474268e-20	8182431.0
36	mean	all-intra-inter	100000.0			all_intra	0.4684489079086369	298.0	all_inter	0.4716258127080748	894.0	0.6631674502167859	135448.0
5	mean	intra-inter	100000.0			asian	0.43233465614654976	34.0	asian-black	0.4498679015617647	34.0	0.24145394874833237	482.0
28	mean	intra-inter	100000.0			asian	0.43233465614654976	34.0	asian-hispanic	0.4827484444284542	34.0	0.003307633436456854	338.0
22	mean	intra-inter	100000.0			asian	0.43233465614654976	34.0	asian-white	0.45136808552135477	34.0	0.17924667387882953	468.0
4	mean	intra-inter	100000.0			black	0.5016150286489903	10.0	black-asian	0.44986790156176476	10.0	0.10410988966022681	72.0
16	mean	intra-inter	100000.0			black	0.5016150286489903	10.0	black-hispanic	0.4957486271913954	10.0	0.9097218891455553	52.0
10	mean	intra-inter	100000.0			black	0.5016150286489903	10.0	black-white	0.46058070405909957	10.0	0.24132159301718004	66.0
29	mean	intra-inter	100000.0			hispanic	0.5127163952454118	43.0	hispanic-asian	0.4827484444284542	43.0	0.015964728196760425	1204.0
17	mean	intra-inter	100000.0			hispanic	0.5127163952454118	43.0	hispanic-black	0.4957486271913953	43.0	0.1643601710016387	1086.0
35	mean	intra-inter	100000.0			hispanic	0.5127163952454118	43.0	hispanic-white	0.4961396255132811	43.0	0.18348636627199633	1079.0
23	mean	intra-inter	100000.0			white	0.46384910197216617	211.0	white-asian	0.4513680855213548	211.0	0.001123384037350073	26342.0
11	mean	intra-inter	100000.0			white	0.46384910197216617	211.0	white-black	0.46058070405909957	211.0	0.18540546426680604	23920.0
34	mean	intra-inter	100000.0			white	0.46384910197216617	211.0	white-hispanic	0.49613962551328106	211.0	1.6132196262128275e-06	16251.0
27	mean	intra-intra	100000.0			asian	0.43233465614654976	34.0	hispanic	0.5127163952454118	43.0	0.00044237569232364254	388.0
21	mean	intra-intra	100000.0			asian	0.43233465614654976	34.0	white	0.46384910197216617	211.0	0.020941511424570656	2701.0
3	mean	intra-intra	100000.0			black	0.5016150286489903	10.0	asian	0.43233465614654976	34.0	0.022462400706932468	252.0
15	mean	intra-intra	100000.0			black	0.5016150286489903	10.0	hispanic	0.5127163952454118	43.0	0.8467774904234021	206.0
9	mean	intra-intra	100000.0			black	0.5016150286489903	10.0	white	0.46384910197216617	211.0	0.11029246687834598	1371.0
33	mean	intra-intra	100000.0			white	0.46384910197216617	211.0	hispanic	0.5127163952454118	43.0	0.0007438794654216589	3055.0
