OTU	Test-Statistic	P	FDR_P	Bonferroni_P	teen_mean	20s_mean	30s_mean	40s_mean	50s_mean
k__Bacteria; p__Verrucomicrobia	23.1420315479	0.000118615671197	0.00225369775275	0.00225369775275	0.00597952462132	0.0134260142454	0.0159961583584	0.0161916688975	0.0261190123006
k__Archaea; p__Euryarchaeota	19.2019193258	0.000717300906089	0.00681435860785	0.0136287172157	9.47525933917e-05	9.55772672694e-05	0.000146767022371	0.000265063720228	0.000308559028427
k__Bacteria; p__Actinobacteria	17.1749525861	0.00178735465416	0.0113199128097	0.0339597384291	0.0271253943452	0.0335441857789	0.0228128629299	0.0191904963537	0.0162025677219
k__Bacteria; p__Tenericutes	16.3484879478	0.00258548030397	0.0122810314439	0.0491241257755	0.0024119191075	0.00337691829881	0.00652057035764	0.00726876373001	0.00664854895542
k__Bacteria; p__Proteobacteria	11.7147373934	0.019603544241	0.0744934681159	0.372467340579	0.0147482805721	0.0361347114994	0.0652521448579	0.050382142663	0.0500198289458
k__Bacteria; p__Cyanobacteria	9.95396355716	0.0412103410676	0.130499413381	0.782996480285	7.52685895303e-05	0.00232167342451	0.00165161327862	0.00101446889202	0.00124148776578
k__Bacteria; p__Synergistetes	9.25033912808	0.0551378717308	0.147192769059	1.0	2.2081515351e-05	7.90426064187e-05	4.61204021453e-05	6.1960586424e-05	0.000117753750923
k__Bacteria; p__Elusimicrobia	8.96517327711	0.0619759027615	0.147192769059	1.0	0.0	0.0	2.45104058194e-05	9.05317063876e-06	1.4809346657e-05
k__Bacteria; p__Fusobacteria	7.46728233851	0.113160687209	0.238894784108	1.0	4.2007883343e-05	0.00387478668264	0.00133523924239	0.00079563661436	0.000491326059241
k__Bacteria; p__TM7	6.7397306248	0.150298325291	0.274616676392	1.0	0.0	5.01999668524e-06	6.56433207944e-06	3.96725644506e-06	2.77566740606e-06
k__Bacteria; p__Lentisphaerae	6.59358259725	0.158988602122	0.274616676392	1.0	4.06991439799e-05	0.000152291437455	0.000203725415218	0.000280192601526	0.000260161154374
k__Bacteria; p__Firmicutes	4.05992986406	0.397955978674	0.630096966234	1.0	0.564038769136	0.499232536189	0.490343650437	0.488572999114	0.49311661211
k__Bacteria; p__Spirochaetes	3.40280673211	0.492809808735	0.72026048969	1.0	0.0	3.19295638142e-06	6.28435095879e-06	9.40859427592e-06	4.33154018565e-06
k__Bacteria; p__Acidobacteria	2.94981494015	0.566258573998	0.736766664943	1.0	0.0	5.37916994644e-06	1.17638326805e-06	3.6461653524e-06	3.86061472174e-06
k__Bacteria; p__SR1	2.85919813361	0.581657893376	0.736766664943	1.0	0.0	9.47532525262e-07	6.09609280795e-07	1.00136797715e-05	4.10421653641e-06
k__Bacteria; p__Gemmatimonadetes	2.22014051545	0.695343706949	0.738745605615	1.0	0.0	0.0	5.65722040328e-06	0.0	0.0
k__Bacteria; p__Chloroflexi	2.16624010742	0.705214506373	0.738745605615	1.0	0.0	3.62997125505e-06	3.14714777745e-07	1.9990637718e-06	2.42526323106e-06
k__Bacteria; p__Bacteroidetes	2.06088451323	0.724561505658	0.738745605615	1.0	0.385421302492	0.407744092944	0.395645889172	0.415938255771	0.405436617327
k__Bacteria; p__[Thermi]	1.98376230969	0.738745605615	0.738745605615	1.0	0.0	0.0	1.4151003805e-07	2.63126508091e-07	5.21823228195e-06
