OTU	Test-Statistic	P	FDR_P	Bonferroni_P	Obese_mean	Normal_mean	Overweight_mean	Underweight_mean
k__Bacteria; p__Tenericutes	26.0994963307	9.09069328275e-06	0.000172723172372	0.000172723172372	0.00521239201563	0.00653596108499	0.00579097076107	0.00718379221259
k__Archaea; p__Euryarchaeota	19.7513260537	0.000191122383328	0.00181566264162	0.00363132528324	0.000110758948397	0.000270604516192	0.000106576303435	0.000103064312444
k__Bacteria; p__Cyanobacteria	12.4031648272	0.00612229000181	0.0387745033448	0.116323510034	0.000853996340105	0.0016977127621	0.00105299506098	0.000642356087875
k__Bacteria; p__Proteobacteria	9.87286144325	0.0196783580115	0.0934722005545	0.373888802218	0.0548823838009	0.0542904272911	0.0399836952996	0.0802087750399
k__Bacteria; p__Firmicutes	6.76242825793	0.0798681047294	0.303498797972	1.0	0.512984190222	0.488794899773	0.507057614466	0.445128601128
k__Bacteria; p__Acidobacteria	5.48286562518	0.139667042043	0.399674955386	1.0	1.15111927158e-05	2.73218698915e-06	1.26988960842e-06	2.36302212584e-06
k__Bacteria; p__Lentisphaerae	5.36011770572	0.147248667774	0.399674955386	1.0	0.000124636813066	0.000249989690353	0.000233527616752	0.000147079837777
k__Bacteria; p__SR1	4.37046935176	0.224139234115	0.510157997772	1.0	2.85501489573e-05	1.60039163704e-06	4.61347752101e-06	0.0
k__Bacteria; p__Actinobacteria	4.19011139731	0.241653788419	0.510157997772	1.0	0.0287634936479	0.0206934233929	0.0218420604934	0.0245997772975
k__Bacteria; p__Elusimicrobia	3.40350445814	0.333494595703	0.628655783742	1.0	0.0	1.74849740749e-05	1.0929515659e-05	0.0
k__Bacteria; p__TM7	3.18509144902	0.36395861164	0.628655783742	1.0	9.26677856742e-06	4.87470782482e-06	2.58983533373e-06	2.87050533664e-06
k__Bacteria; p__Spirochaetes	2.38128425022	0.49712806216	0.787119431754	1.0	1.45720110396e-05	7.43146028778e-06	1.92924631915e-06	0.0
k__Bacteria; p__[Thermi]	2.12726051231	0.546417493316	0.798610182539	1.0	4.39365380644e-07	1.16406087107e-06	1.8539049791e-06	0.0
k__Bacteria; p__Bacteroidetes	1.75753149669	0.624219867883	0.847155534984	1.0	0.382610178567	0.408647054531	0.403117003309	0.420766806108
k__Bacteria; p__Chloroflexi	0.80074712842	0.84928832178	0.98705766683	1.0	7.9085768516e-06	1.66117059362e-06	2.00802786087e-07	0.0
k__Bacteria; p__Verrucomicrobia	0.748812846023	0.861666947425	0.98705766683	1.0	0.0138385693556	0.0176002694876	0.0186552223447	0.0193055383594
k__Bacteria; p__Gemmatimonadetes	0.575028636794	0.902124433424	0.98705766683	1.0	0.0	2.76704823849e-06	0.0	0.0
k__Bacteria; p__Synergistetes	0.424637353407	0.935107263313	0.98705766683	1.0	2.30433620198e-05	8.57111596896e-05	4.82135534744e-05	5.40323528461e-05
k__Bacteria; p__Fusobacteria	0.0599702984419	0.996163606993	0.996163606993	1.0	0.000524108853555	0.00109423031077	0.00208873411921	0.00185494373601
