OTU	Test-Statistic	P	FDR_P	Bonferroni_P	male_mean	female_mean
k__Bacteria; p__Verrucomicrobia	41.0766243389	1.46376554139e-10	2.78115452865e-09	2.78115452865e-09	0.0128821244354	0.0227960657769
k__Bacteria; p__Firmicutes	22.0951463534	2.59464951934e-06	2.46491704337e-05	4.92983408675e-05	0.517726815941	0.465561057565
k__Bacteria; p__Actinobacteria	20.4314694097	6.180508608e-06	3.9143221184e-05	0.000117429663552	0.0257630103067	0.0175255938285
k__Bacteria; p__Bacteroidetes	19.3258292728	1.10205436572e-05	5.23475823717e-05	0.000209390329487	0.382191081294	0.431656204068
k__Bacteria; p__Cyanobacteria	11.9685882308	0.000541049184051	0.0017604367505	0.010279934497	0.00149246757575	0.00135111789991
k__Bacteria; p__Tenericutes	11.9180467641	0.000555927394895	0.0017604367505	0.010562620503	0.00581539450833	0.00680220337427
k__Bacteria; p__Proteobacteria	7.98680453814	0.00471195061571	0.0119373353317	0.0895270616986	0.0517796065847	0.0529738304546
k__Archaea; p__Euryarchaeota	7.86997080874	0.00502624645543	0.0119373353317	0.0954986826532	0.000138710605178	0.000289765319023
k__Bacteria; p__Synergistetes	6.8147779418	0.00904065449243	0.0190858261507	0.171772435356	3.96747847134e-05	0.000103623234337
k__Bacteria; p__Fusobacteria	2.52646862044	0.111950508205	0.21270596559	1.0	0.00188969165671	0.000688396305211
k__Bacteria; p__Spirochaetes	1.76647515162	0.183818909044	0.317505388348	1.0	5.99522108155e-06	6.78509236328e-06
k__Bacteria; p__TM7	1.52087684817	0.217486848195	0.344354176309	1.0	5.8823361738e-06	3.21616183356e-06
k__Bacteria; p__Acidobacteria	1.34155124525	0.246760588177	0.360650090413	1.0	2.53772470606e-06	3.72089089263e-06
k__Bacteria; p__Gemmatimonadetes	1.09284627113	0.2958414266	0.389280350318	1.0	0.0	3.67676272786e-06
k__Bacteria; p__Chloroflexi	1.04213006402	0.307326592356	0.389280350318	1.0	2.40847560013e-06	1.04467198537e-06
k__Bacteria; p__Lentisphaerae	0.806340446859	0.369204415377	0.43843024326	1.0	0.000250480671861	0.000208769931115
k__Bacteria; p__[Thermi]	0.301459299764	0.582969013986	0.615817635144	1.0	8.06691713787e-07	1.63873657031e-06
k__Bacteria; p__Elusimicrobia	0.300760287981	0.583406180663	0.615817635144	1.0	1.12337332207e-05	1.62468004482e-05
k__Bacteria; p__SR1	0.188254702082	0.664373200725	0.664373200725	1.0	2.07745243479e-06	7.0431261549e-06
