OTU	Test-Statistic	P	FDR_P	Bonferroni_P	teen_mean	20s_mean	30s_mean	40s_mean	50s_mean
k__Bacteria; p__Actinobacteria; c__Actinobacteria	28.6544757055	9.18805437301e-06	0.000245703502254	0.000422650501159	0.0257873189268	0.0307477522858	0.0190682323133	0.016346193536	0.0132273352928
k__Bacteria; p__Proteobacteria; c__Epsilonproteobacteria	28.3318615095	1.06827609676e-05	0.000245703502254	0.000491407004507	0.000620811723888	0.000847139727634	0.000266372521822	0.000299745251707	0.00014254656129
k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria	22.1095214599	0.000190606194605	0.00225376806282	0.00876788495185	0.000645204025884	0.00271221926141	0.00725632639502	0.00803780642659	0.00618699763129
k__Bacteria; p__Verrucomicrobia; c__Verrucomicrobiae	22.0488801081	0.00019597983155	0.00225376806282	0.00901507225128	0.00597952462132	0.0134223163652	0.0159285692027	0.0161437121007	0.0260718642384
k__Bacteria; p__Tenericutes; c__RF3	18.9017499271	0.00082165557429	0.00755923128347	0.0377961564173	0.000417438238287	0.000229123682555	0.000454862842385	0.000636087947567	0.000625490362336
k__Bacteria; p__Proteobacteria; c__Betaproteobacteria	17.5187749928	0.0015320357775	0.0117456076275	0.0704736457651	0.0080605343957	0.00972694149667	0.0172426298215	0.0109024262182	0.00878826198501
k__Archaea; p__Euryarchaeota; c__Methanobacteria	16.7057790311	0.00220461104845	0.0144874440326	0.101412108228	9.47525933917e-05	9.54637139675e-05	0.00014451608266	0.000254725546477	0.000296973051097
k__Bacteria; p__Cyanobacteria; c__4C0d-2	14.1225290112	0.00691408893277	0.0397560113634	0.318048090907	9.47583449423e-06	0.0021228747438	0.00125413839447	0.000867650084153	0.000991554076456
k__Bacteria; p__Tenericutes; c__Mollicutes	10.539940527	0.0322512443642	0.164839693417	1.0	0.00199448086922	0.00314779461626	0.00606570751526	0.00663267578244	0.00602305859309
k__Bacteria; p__Synergistetes; c__Synergistia	9.25033912808	0.0551378717308	0.253634209962	1.0	2.2081515351e-05	7.90426064187e-05	4.61204021453e-05	6.1960586424e-05	0.000117753750923
k__Bacteria; p__Elusimicrobia; c__Elusimicrobia	8.96517327711	0.0619759027615	0.259171957003	1.0	0.0	0.0	2.45104058194e-05	9.05317063876e-06	1.4809346657e-05
k__Bacteria; p__Fusobacteria; c__Fusobacteriia	7.46728233851	0.113160687209	0.433782634301	1.0	4.2007883343e-05	0.00387478668264	0.00133523924239	0.00079563661436	0.000491326059241
k__Bacteria; p__Bacteroidetes; c__Sphingobacteriia	6.99356293604	0.136228786023	0.4570922311	1.0	0.0	0.000127339532006	0.000797048801408	0.000388969212194	0.000313511018554
k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria	6.75705415943	0.149297443914	0.4570922311	1.0	0.00311800465663	0.0201630352666	0.03772652567	0.027982875087	0.0320400569983
k__Bacteria; p__TM7; c__TM7-3	6.7397306248	0.150298325291	0.4570922311	1.0	0.0	5.01999668524e-06	6.56433207944e-06	3.96725644506e-06	2.77566740606e-06
k__Bacteria; p__Lentisphaerae; c__[Lentisphaeria]	6.59358259725	0.158988602122	0.4570922311	1.0	4.06991439799e-05	0.000152291437455	0.000203725415218	0.000280192601526	0.000260161154374
k__Bacteria; p__Chloroflexi; c__Anaerolineae	6.1989528793	0.184774859307	0.477502288893	1.0	0.0	3.42047175146e-06	0.0	0.0	0.0
k__Bacteria; p__Acidobacteria; c__Acidobacteriia	6.16941125653	0.186848721741	0.477502288893	1.0	0.0	2.35739634715e-06	4.14471842021e-07	1.74366550977e-06	2.26988747072e-06
k__Bacteria; p__Firmicutes; c__Clostridia	5.77066889077	0.216941970351	0.525227928218	1.0	0.534830488694	0.460197277915	0.458159039252	0.446972375558	0.450715081575
k__Bacteria; p__Verrucomicrobia; c__Opitutae	5.39635064657	0.248991683881	0.572680872926	1.0	0.0	7.17894157993e-07	6.61358507191e-05	4.3401697334e-05	4.49265947195e-05
k__Archaea; p__Euryarchaeota; c__Thermoplasmata	4.59824328179	0.331056780084	0.72517199447	1.0	0.0	1.13553301977e-07	2.25093971101e-06	1.03381737504e-05	1.15859773302e-05
k__Bacteria; p__Actinobacteria; c__Nitriliruptoria	4.10054318876	0.392569785391	0.811236737125	1.0	0.0	0.0	0.0	2.29938515352e-06	0.0
k__Bacteria; p__Acidobacteria; c__Solibacteres	4.00286414535	0.405618368563	0.811236737125	1.0	0.0	1.5693513763e-06	2.49722032903e-07	8.46487327208e-07	9.59246508423e-07
k__Bacteria; p__Chloroflexi; c__TK10	3.85865724391	0.425472329154	0.815488630879	1.0	0.0	0.0	0.0	0.0	2.37763972497e-06
k__Bacteria; p__Spirochaetes; c__Spirochaetes	3.71653700191	0.445725280964	0.820134516973	1.0	0.0	3.02067028796e-06	4.61978207573e-06	7.48230985131e-06	8.88940863738e-07
k__Bacteria; p__Acidobacteria; c__DA052	3.45953189469	0.484058227186	0.849557446457	1.0	0.0	1.45242222299e-06	5.12189393129e-07	1.05601251542e-06	6.31480742593e-07
k__Bacteria; p__Spirochaetes; c__[Brachyspirae]	3.05464672136	0.54872241855	0.849557446457	1.0	0.0	1.72286093463e-07	1.66456888306e-06	1.92628442461e-06	3.44259932191e-06
k__Bacteria; p__Bacteroidetes; c__Cytophagia	2.9736465216	0.562245234625	0.849557446457	1.0	0.0	9.83378226978e-07	1.80009252476e-06	4.0889646806e-06	1.55193803111e-06
k__Bacteria; p__SR1; c__	2.85919813361	0.581657893376	0.849557446457	1.0	0.0	9.47532525262e-07	6.09609280795e-07	1.00136797715e-05	4.10421653641e-06
k__Bacteria; p__Actinobacteria; c__Coriobacteriia	2.83283940825	0.586177449413	0.849557446457	1.0	0.00133807541838	0.00279261340071	0.00374043784605	0.00281928541838	0.0029674716048
k__Bacteria; p__Verrucomicrobia; c__[Spartobacteria]	2.77371826278	0.596377871226	0.849557446457	1.0	0.0	2.97998603105e-06	1.45330497702e-06	2.23256467239e-06	2.22146744445e-06
k__Bacteria; p__Actinobacteria; c__Acidimicrobiia	2.44928593725	0.653739366307	0.849557446457	1.0	0.0	1.98532790794e-07	1.03437244619e-06	1.03770518293e-05	5.12474240435e-06
