OTU	Test-Statistic	P	FDR_P	Bonferroni_P	Obese_mean	Normal_mean	Overweight_mean	Underweight_mean
k__Bacteria; p__Tenericutes; c__RF3	31.827984613	5.68903935102e-07	2.61695810147e-05	2.61695810147e-05	0.000301991131528	0.000600680756515	0.000299616003559	0.000819719926819
k__Bacteria; p__Actinobacteria; c__Nitriliruptoria	22.1389080415	6.10307148075e-05	0.00140370644057	0.00280741288115	9.09669038806e-06	0.0	0.0	0.0
k__Bacteria; p__Proteobacteria; c__Betaproteobacteria	20.144238265	0.00015845055223	0.0024295751342	0.0072887254026	0.00699127128271	0.0143457241598	0.00803309700825	0.0133509492941
k__Bacteria; p__Firmicutes; c__Erysipelotrichi	18.5655516147	0.000336184544453	0.00386612226121	0.0154644890448	0.0166483489725	0.0115292914497	0.018530910393	0.0117551550764
k__Archaea; p__Euryarchaeota; c__Methanobacteria	17.5976111787	0.00053241267971	0.00489819665333	0.0244909832666	0.000108323316071	0.000260700133835	0.000106576303435	0.000103064312444
k__Bacteria; p__Tenericutes; c__Mollicutes	16.00402231	0.00113183309181	0.00799584843805	0.052064322223	0.0049104008841	0.00593528032847	0.00549135475751	0.00636407228577
k__Bacteria; p__Cyanobacteria; c__4C0d-2	15.8507185257	0.00121675954492	0.00799584843805	0.0559709390663	0.000386330898018	0.00148685581174	0.000758007165733	0.000428728308062
k__Bacteria; p__Bacteroidetes; c__[Rhodothermi]	11.0614035088	0.0113984352265	0.064659961841	0.524328020418	5.27238456773e-06	0.0	0.0	0.0
k__Archaea; p__Euryarchaeota; c__Thermoplasmata	10.8352614348	0.0126508620993	0.064659961841	0.581939656569	2.43563232669e-06	9.9043823573e-06	0.0	0.0
k__Bacteria; p__Acidobacteria; c__Solibacteres	8.96360536094	0.0297787071508	0.136982052894	1.0	2.04408667322e-06	8.91827867984e-07	9.07575558427e-08	2.73677930338e-07
k__Bacteria; p__Actinobacteria; c__Coriobacteriia	8.32202185859	0.03980482464	0.166456539404	1.0	0.00352765528956	0.00289920371135	0.00374585315614	0.00211835993704
k__Bacteria; p__Bacteroidetes; c__Flavobacteriia	7.54615708741	0.0563842645709	0.216139680855	1.0	0.000104581511864	0.00195555187103	0.000883062903412	0.000684502783923
k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria	7.11994697332	0.0681713467506	0.241221688502	1.0	0.0390407287077	0.0292327236136	0.0238574328461	0.0594602666644
k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria	6.65662150347	0.0836862192413	0.274969006078	1.0	0.0054307345044	0.00757572723589	0.00469918684853	0.00400344202837
k__Bacteria; p__Actinobacteria; c__Thermoleophilia	6.30398817629	0.0977216658144	0.299679775164	1.0	4.95029666075e-05	2.51683830833e-06	1.42807735115e-06	8.21033791014e-07
k__Bacteria; p__Firmicutes; c__Bacilli	5.53120025616	0.136784360395	0.393255036137	1.0	0.0389516178518	0.0227999743546	0.0266078298506	0.0163863229102
k__Bacteria; p__Lentisphaerae; c__[Lentisphaeria]	5.36011770572	0.147248667774	0.398437571623	1.0	0.000124636813066	0.000249989690353	0.000233527616752	0.000147079837777
k__Bacteria; p__Acidobacteria; c__Acidobacteriia	5.09881197822	0.164702997546	0.420907660396	1.0	5.60971453646e-06	1.23691785037e-06	6.590569147e-07	1.81566626517e-06
k__Bacteria; p__SR1; c__	4.37046935176	0.224139234115	0.531118312044	1.0	2.85501489573e-05	1.60039163704e-06	4.61347752101e-06	0.0
k__Bacteria; p__Bacteroidetes; c__[Saprospirae]	4.29914652513	0.230921005236	0.531118312044	1.0	1.22191332057e-05	0.000206753114289	0.000136881713769	0.0
k__Bacteria; p__Verrucomicrobia; c__[Spartobacteria]	3.89173811976	0.273394258599	0.598863614073	1.0	6.46971240937e-06	1.89615843346e-06	8.99851856538e-07	2.08934419551e-06
k__Bacteria; p__Acidobacteria; c__DA052	3.72753589842	0.292428179139	0.6114407382	1.0	3.85739150608e-06	6.03441270794e-07	5.20075137879e-07	2.73677930338e-07
k__Bacteria; p__Firmicutes; c__Clostridia	3.48911622922	0.322176455251	0.633567430254	1.0	0.457384223398	0.454465633969	0.461918874222	0.416987123142
k__Bacteria; p__Elusimicrobia; c__Elusimicrobia	3.40350445814	0.333494595703	0.633567430254	1.0	0.0	1.74849740749e-05	1.0929515659e-05	0.0
k__Bacteria; p__Verrucomicrobia; c__Verruco-5	3.32389937112	0.344330125138	0.633567430254	1.0	0.0	0.0	3.29390935573e-06	0.0
k__Bacteria; p__TM7; c__TM7-3	3.18509144902	0.36395861164	0.643380310268	1.0	9.26677856742e-06	4.87470782482e-06	2.58983533373e-06	2.87050533664e-06
k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria	3.09213832428	0.37763626907	0.643380310268	1.0	0.00326416011104	0.0027229989218	0.00315216061617	0.003251900762
k__Bacteria; p__Spirochaetes; c__[Brachyspirae]	2.68017616947	0.443606665552	0.728782379121	1.0	7.85472867779e-06	1.5704897173e-06	1.00695235235e-06	0.0
k__Bacteria; p__Chloroflexi; c__Gitt-GS-136	2.14164875245	0.543532996083	0.837840156418	1.0	7.9085768516e-06	1.42061605418e-07	2.00802786087e-07	0.0
k__Bacteria; p__[Thermi]; c__Deinococci	2.12726051231	0.546417493316	0.837840156418	1.0	4.39365380644e-07	1.16406087107e-06	1.8539049791e-06	0.0
k__Bacteria; p__Actinobacteria; c__Acidimicrobiia	1.87911863591	0.597870981348	0.881425163716	1.0	4.11023720129e-05	2.06023881183e-06	3.95252769885e-07	0.0
k__Bacteria; p__Verrucomicrobia; c__Opitutae	1.77606381389	0.620157518626	0.881425163716	1.0	2.71288807864e-06	4.85741292959e-05	5.55593288657e-05	4.04524498374e-06
k__Bacteria; p__Actinobacteria; c__Actinobacteria	1.7207669134	0.632326747883	0.881425163716	1.0	0.0251361363293	0.0177896426044	0.0180943840071	0.0224805963267
k__Bacteria; p__Bacteroidetes; c__Bacteroidia	1.50140558696	0.68194595961	0.922632768884	1.0	0.382408293223	0.405950114884	0.40199746399	0.41830309719
k__Bacteria; p__Spirochaetes; c__Spirochaetes	1.35352439069	0.716464096261	0.941638526515	1.0	6.71728236179e-06	5.86097057048e-06	9.22293966795e-07	0.0
