OTU	Test-Statistic	P	FDR_P	Bonferroni_P	Hispanic_mean	African American_mean	Caucasian_mean	Asian or Pacific Islander_mean
k__Bacteria; p__Actinobacteria; c__Nitriliruptoria	58.6742602374	1.12831762881e-12	5.19026109252e-11	5.19026109252e-11	0.0	2.71304895154e-06	0.0	1.13835575894e-05
k__Bacteria; p__Cyanobacteria; c__4C0d-2	35.9932695892	7.51295304264e-08	1.67433768401e-06	3.45595839962e-06	0.0100874649973	0.0	0.000980696124866	0.000304168124207
k__Bacteria; p__Verrucomicrobia; c__Verrucomicrobiae	35.224952593	1.09195935914e-07	1.67433768401e-06	5.02301305203e-06	0.00995819252648	0.00949028082353	0.0180236928672	0.0156216753127
k__Bacteria; p__Spirochaetes; c__Spirochaetes	32.7350425956	3.66293097972e-07	4.21237062668e-06	1.68494825067e-05	1.3055236666e-05	0.0	2.94227580442e-06	2.33300915001e-05
k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria	20.7310609065	0.0001197199795	0.00102593462135	0.00550711905699	0.0129485543482	0.000519671704391	0.00671016900544	0.00251096213046
k__Archaea; p__Euryarchaeota; c__Methanobacteria	20.4980784843	0.000133817559306	0.00102593462135	0.00615560772808	0.000153605499209	1.68962681776e-05	0.00022132375931	1.55147273758e-05
k__Bacteria; p__Tenericutes; c__RF3	17.233141687	0.000632843394134	0.00394410102369	0.0291107961302	0.000918924537194	8.44813408878e-06	0.000543081682031	6.33806721462e-05
k__Bacteria; p__Tenericutes; c__Mollicutes	17.0631119406	0.000685930612815	0.00394410102369	0.0315528081895	0.00655375548112	0.00299593338825	0.00593330747451	0.00354640758652
k__Bacteria; p__Lentisphaerae; c__[Lentisphaeria]	16.6787411349	0.000822811052998	0.00420547871532	0.0378493084379	0.000860455083254	0.000208884399428	0.000219971683674	0.000117609763201
k__Bacteria; p__Bacteroidetes; c__[Rhodothermi]	14.6249999997	0.00216684339855	0.00967171938248	0.0996747963335	0.0	0.0	0.0	6.83013455365e-06
k__Bacteria; p__Actinobacteria; c__Actinobacteria	14.4861844959	0.00231280246103	0.00967171938248	0.106388913207	0.0162799853665	0.0368524062563	0.0180376003382	0.0264725117514
k__Bacteria; p__Proteobacteria; c__Epsilonproteobacteria	13.9309923164	0.00300060478651	0.0115023183483	0.138027820179	0.0016598588799	3.32950238459e-05	0.000292977009231	0.000466920858247
k__Bacteria; p__Chloroflexi; c__Gitt-GS-136	9.56111392209	0.0226900203556	0.0802877643354	1.0	0.0	0.0	1.1115378638e-07	1.0817677214e-05
k__Bacteria; p__Firmicutes; c__Clostridia	9.29835161471	0.0255762104066	0.0840361199075	1.0	0.437802378181	0.357253980471	0.459158365632	0.41076946045
k__Bacteria; p__Cyanobacteria; c__Chloroplast	8.95347272563	0.0299159309351	0.0917421882011	1.0	0.000261157145536	2.52592974133e-05	0.000259098877812	0.000139433476922
k__Bacteria; p__Fusobacteria; c__Fusobacteriia	7.72606392981	0.0520257442551	0.149574014733	1.0	0.000442717246688	1.84115937215e-05	0.00132246493567	0.00177915872463
k__Bacteria; p__Bacteroidetes; c__Bacteroidia	7.32618866165	0.0621966816952	0.168296903411	1.0	0.445572007191	0.505688232147	0.398865363762	0.439191361542
k__Bacteria; p__Actinobacteria; c__Acidimicrobiia	6.50468101665	0.0894780789548	0.227577757384	1.0	0.0	0.0	1.44779995198e-06	5.47615992322e-05
k__Bacteria; p__Synergistetes; c__Synergistia	6.39250765353	0.0939995084846	0.227577757384	1.0	3.22336123531e-05	5.63208939252e-06	7.65430973341e-05	7.01463820415e-06
k__Bacteria; p__Proteobacteria; c__Betaproteobacteria	5.14728915593	0.161324205254	0.371045672085	1.0	0.0234105015693	0.0156684295939	0.0116931333567	0.014495787635
k__Archaea; p__Euryarchaeota; c__Thermoplasmata	4.48169609475	0.213928776276	0.468605890889	1.0	1.48312720337e-06	2.81604469626e-06	7.14042327857e-06	0.0
k__Bacteria; p__Actinobacteria; c__Thermoleophilia	3.72936964429	0.292209206269	0.610982885835	1.0	0.0	0.0	2.30896928227e-06	6.24539090603e-05
k__Bacteria; p__Spirochaetes; c__[Brachyspirae]	3.34695370686	0.341160846339	0.67908442627	1.0	0.0	0.0	1.98351292634e-06	1.51229489362e-06
k__Bacteria; p__Actinobacteria; c__Coriobacteriia	3.2525264743	0.354304918054	0.67908442627	1.0	0.00254629568439	0.00168231329819	0.00319577782888	0.00231095289488
k__Bacteria; p__TM7; c__TM7-3	3.12751439675	0.372379741192	0.685178723794	1.0	1.0301623867e-06	0.0	4.77035103058e-06	4.51699391262e-06
k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria	2.94934814305	0.399500807189	0.685353069414	1.0	0.00324618657618	0.00459986364483	0.00288061930164	0.00268271856642
k__Bacteria; p__Firmicutes; c__Bacilli	2.93172256222	0.402272453786	0.685353069414	1.0	0.00985137748887	0.0142366337447	0.0247781595592	0.0312844768446
k__Bacteria; p__Bacteroidetes; c__Flavobacteriia	2.27374832396	0.51756867765	0.811570755835	1.0	5.63207599709e-05	6.90109546181e-05	0.00164490221002	0.000115036700055
k__Bacteria; p__Bacteroidetes; c__[Saprospirae]	2.20285799281	0.531385655161	0.811570755835	1.0	0.0	0.0	0.000180270775732	2.7521424525e-05
k__Bacteria; p__SR1; c__	2.16257759017	0.539356981527	0.811570755835	1.0	1.26306323147e-06	0.0	4.72915581293e-06	2.52551877043e-06
k__Bacteria; p__Acidobacteria; c__Acidobacteriia	2.12471916493	0.546928118063	0.811570755835	1.0	0.0	0.0	1.22730510297e-06	6.11178483636e-06
k__Bacteria; p__Bacteroidetes; c__Sphingobacteriia	2.01093862316	0.570139459349	0.819575472814	1.0	4.28973474158e-06	0.0	0.000505280980625	4.11264607557e-05
k__Bacteria; p__Elusimicrobia; c__Elusimicrobia	1.91877010466	0.589436224183	0.821638373103	1.0	0.0	0.0	1.51495297873e-05	0.0
k__Bacteria; p__[Thermi]; c__Deinococci	1.67387896347	0.64275662835	0.869611908944	1.0	0.0	0.0	1.29811392384e-06	5.69177879471e-07
k__Bacteria; p__Verrucomicrobia; c__Opitutae	1.12428165111	0.771215865001	0.975340971204	1.0	0.000714236868299	0.0	2.7560795758e-05	1.65965187142e-06
k__Bacteria; p__Verrucomicrobia; c__[Spartobacteria]	1.09338246423	0.778671818602	0.975340971204	1.0	0.0	0.0	1.8664989133e-06	5.8686517658e-06
k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria	1.06920269158	0.784513389882	0.975340971204	1.0	0.00751258893832	0.0417796211218	0.0309935069307	0.0290866381853
k__Bacteria; p__Acidobacteria; c__DA052	0.849161906007	0.837675554569	0.99041495194	1.0	0.0	0.0	7.49712676524e-07	2.54197305915e-06
k__Bacteria; p__Acidobacteria; c__Solibacteres	0.783652378339	0.853373039602	0.99041495194	1.0	0.0	0.0	7.84262340902e-07	1.01678922366e-06
k__Bacteria; p__Bacteroidetes; c__Cytophagia	0.559427372426	0.905654399194	0.99041495194	1.0	0.0	0.0	2.61906732674e-06	0.0
k__Bacteria; p__Firmicutes; c__Erysipelotrichi	0.472324328925	0.924928180934	0.99041495194	1.0	0.00911008069509	0.0088412669517	0.0134003953847	0.0187542617251
k__Bacteria; p__Cyanobacteria; c__Oscillatoriophycideae	0.447216176314	0.930324956643	0.99041495194	1.0	0.0	0.0	2.73680700577e-06	0.0
k__Bacteria; p__Chloroflexi; c__Anaerolineae	0.11156022634	0.99041495194	0.99041495194	1.0	0.0	0.0	5.28140747397e-07	0.0
k__Bacteria; p__Gemmatimonadetes; c__Gemmatimonadetes	0.11156022634	0.99041495194	0.99041495194	1.0	0.0	0.0	1.95281577381e-06	0.0
k__Bacteria; p__Verrucomicrobia; c__Verruco-5	0.11156022634	0.99041495194	0.99041495194	1.0	0.0	0.0	8.46777021118e-07	0.0
k__Bacteria; p__Chloroflexi; c__TK10	0.11156022634	0.99041495194	0.99041495194	1.0	0.0	0.0	5.43954763271e-07	0.0
