OTU	Test-Statistic	P	FDR_P	Bonferroni_P	male_mean	female_mean
k__Bacteria; p__Verrucomicrobia; c__Verrucomicrobiae	42.8890080331	5.79352680272e-11	2.66502232925e-09	2.66502232925e-09	0.0128027272715	0.0227846028882
k__Bacteria; p__Tenericutes; c__RF3	35.8932674314	2.08427683603e-09	4.79383672287e-08	9.58767344574e-08	0.000369029863873	0.000679628814581
k__Bacteria; p__Firmicutes; c__Erysipelotrichi	30.1913787396	3.91445660699e-08	6.00216679739e-07	1.80065003922e-06	0.0161688648167	0.0107601653582
k__Bacteria; p__Bacteroidetes; c__Bacteroidia	17.717022336	2.5632258659e-05	0.000294770974579	0.00117908389832	0.380935924355	0.428604889477
k__Bacteria; p__Cyanobacteria; c__4C0d-2	16.7006602579	4.37657638955e-05	0.000402645027839	0.0020132251392	0.00121108322408	0.00113176004778
k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria	16.2914382298	5.43087827189e-05	0.000404384458435	0.00249820400507	0.00531888953896	0.0078970065164
k__Bacteria; p__Firmicutes; c__Clostridia	16.0547591914	6.1536765414e-05	0.000404384458435	0.00283069120904	0.474412163657	0.432787925478
k__Bacteria; p__Actinobacteria; c__Actinobacteria	15.3050116946	9.14735055015e-05	0.000525972656634	0.00420778125307	0.0219327714076	0.015183871418
k__Bacteria; p__Actinobacteria; c__Coriobacteriia	13.6640228814	0.000218602663029	0.00111730249992	0.0100557224993	0.00381212347413	0.00233716801803
k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria	11.3544948863	0.000752655884951	0.00346221707077	0.0346221707077	0.00273867518164	0.0030638411876
k__Archaea; p__Euryarchaeota; c__Thermoplasmata	8.7634205196	0.00307332114533	0.0128520702441	0.141372772685	1.11851286879e-06	1.23608761695e-05
k__Bacteria; p__Synergistetes; c__Synergistia	6.8147779418	0.00904065449243	0.034655842221	0.415870106652	3.96747847134e-05	0.000103623234337
k__Bacteria; p__Tenericutes; c__Mollicutes	6.00925061212	0.0142310700449	0.050356094005	0.654629222066	0.00544636464446	0.00612257455969
k__Archaea; p__Euryarchaeota; c__Methanobacteria	5.71594952312	0.0168114698283	0.0552376865788	0.773327612103	0.000137592092309	0.000277404442854
k__Bacteria; p__Bacteroidetes; c__Cytophagia	5.48016204129	0.0192334759693	0.0589826596391	0.884739894587	0.0	4.93118155735e-06
k__Bacteria; p__Proteobacteria; c__Betaproteobacteria	5.31585609092	0.0211322082005	0.0607550985765	0.972081577223	0.0130748207471	0.0112970960738
k__Bacteria; p__Spirochaetes; c__[Brachyspirae]	3.12353634031	0.0771691424842	0.20881062084	1.0	3.25574776475e-06	3.79087588172e-07
k__Bacteria; p__Fusobacteria; c__Fusobacteriia	2.52646862044	0.111950508205	0.286095743192	1.0	0.00188969165671	0.000688396305211
k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria	2.39188840329	0.121966216558	0.295286629562	1.0	0.0301593982456	0.0305407080039
k__Bacteria; p__Chloroflexi; c__Gitt-GS-136	1.55771631987	0.211999908448	0.476399762713	1.0	1.49857294758e-06	2.05136259093e-08
k__Bacteria; p__TM7; c__TM7-3	1.52087684817	0.217486848195	0.476399762713	1.0	5.8823361738e-06	3.21616183356e-06
k__Bacteria; p__Gemmatimonadetes; c__Gemmatimonadetes	1.09284627113	0.2958414266	0.549113047233	1.0	0.0	3.67676272786e-06
k__Bacteria; p__Chloroflexi; c__TK10	1.09284627113	0.2958414266	0.549113047233	1.0	0.0	1.02415835946e-06
k__Bacteria; p__Acidobacteria; c__Acidobacteriia	1.0440863217	0.306873002348	0.549113047233	1.0	1.25509508453e-06	1.75777048292e-06
k__Bacteria; p__Chloroflexi; c__Anaerolineae	0.915041782748	0.338780214918	0.549113047233	1.0	9.09902652548e-07	0.0
k__Bacteria; p__Verrucomicrobia; c__Verruco-5	0.915041782748	0.338780214918	0.549113047233	1.0	1.4588623609e-06	0.0
k__Bacteria; p__Bacteroidetes; c__[Rhodothermi]	0.915041782748	0.338780214918	0.549113047233	1.0	8.37119555322e-07	0.0
k__Bacteria; p__Cyanobacteria; c__Oscillatoriophycideae	0.835205592881	0.360771583652	0.549113047233	1.0	4.45893674506e-06	2.79929502554e-07
k__Bacteria; p__Proteobacteria; c__Epsilonproteobacteria	0.832049417965	0.361680587134	0.549113047233	1.0	0.000487822871493	0.000175178672875
k__Bacteria; p__Lentisphaerae; c__[Lentisphaeria]	0.806340446859	0.369204415377	0.549113047233	1.0	0.000250480671861	0.000208769931115
k__Bacteria; p__Acidobacteria; c__Solibacteres	0.803481659908	0.370054444874	0.549113047233	1.0	4.5488194292e-07	1.11568452414e-06
k__Bacteria; p__Firmicutes; c__Bacilli	0.761148569747	0.382969319557	0.550518396864	1.0	0.0271457874677	0.0220129667291
k__Bacteria; p__Actinobacteria; c__Acidimicrobiia	0.462073967013	0.496656293772	0.678915995756	1.0	7.13890040107e-06	2.25908490876e-06
k__Bacteria; p__Bacteroidetes; c__[Saprospirae]	0.451111748324	0.501807475124	0.678915995756	1.0	4.09333104793e-06	0.000338626823814
k__Bacteria; p__Verrucomicrobia; c__[Spartobacteria]	0.405638644047	0.524191499548	0.688937399405	1.0	1.54361026663e-06	2.61337646834e-06
k__Bacteria; p__[Thermi]; c__Deinococci	0.301459299764	0.582969013986	0.718016314283	1.0	8.06691713787e-07	1.63873657031e-06
k__Bacteria; p__Elusimicrobia; c__Elusimicrobia	0.300760287981	0.583406180663	0.718016314283	1.0	1.12337332207e-05	1.62468004482e-05
k__Bacteria; p__Cyanobacteria; c__Chloroplast	0.285461166734	0.593143911799	0.718016314283	1.0	0.000276925414922	0.000219077922618
k__Bacteria; p__SR1; c__	0.188254702082	0.664373200725	0.764122508309	1.0	2.07745243479e-06	7.0431261549e-06
k__Bacteria; p__Bacteroidetes; c__Flavobacteriia	0.169899781342	0.68020089052	0.764122508309	1.0	0.000617506139164	0.002442129172
k__Bacteria; p__Spirochaetes; c__Spirochaetes	0.16892864631	0.681065713928	0.764122508309	1.0	2.7394733168e-06	6.40600477511e-06
k__Bacteria; p__Actinobacteria; c__Thermoleophilia	0.117697554837	0.731545218541	0.801216191736	1.0	9.58132528914e-06	2.24162472125e-06
k__Bacteria; p__Bacteroidetes; c__Sphingobacteriia	0.0981596652709	0.754049385505	0.806657482169	1.0	0.000632720349466	0.000265627413772
k__Bacteria; p__Verrucomicrobia; c__Opitutae	0.0647260942958	0.799176326996	0.835502523678	1.0	7.63946912101e-05	8.84951226114e-06
k__Bacteria; p__Acidobacteria; c__DA052	0.0413123600558	0.838936177881	0.857579204056	1.0	8.27747678616e-07	8.47435885571e-07
k__Bacteria; p__Actinobacteria; c__Nitriliruptoria	0.00381855142969	0.950726540191	0.950726540191	1.0	1.39519925887e-06	5.36828559666e-08
