OTU	Test-Statistic	P	FDR_P	Bonferroni_P	teen_mean	20s_mean	30s_mean	40s_mean	50s_mean
k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacteriales	32.9805274158	1.20549613995e-06	5.31356434441e-05	0.000104878164175	0.00152014671797	0.0105929278665	0.0171553124234	0.0109652773177	0.0194620500512
k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Bifidobacteriales	32.9525347017	1.22150904469e-06	5.31356434441e-05	0.000106271286888	0.0106863845109	0.0192525615388	0.0109791404433	0.00845401769355	0.00738237362498
k__Bacteria; p__Proteobacteria; c__Epsilonproteobacteria; o__Campylobacterales	28.3318615095	1.06827609676e-05	0.000309800068059	0.000929400204177	0.000620811723888	0.000847139727634	0.000266372521822	0.000299745251707	0.00014254656129
k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pasteurellales	25.1092994653	4.78270064037e-05	0.00104023738928	0.00416094955712	0.00131177032199	0.00140482626045	0.00125029877852	0.00126682896192	0.000829734749074
k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__RF32	24.0095224857	7.9524476514e-05	0.00138372589134	0.00691862945672	0.000606412738902	0.00217969082143	0.00393951135703	0.00552754503107	0.00327965823662
k__Bacteria; p__Verrucomicrobia; c__Verrucomicrobiae; o__Verrucomicrobiales	22.0488801081	0.00019597983155	0.00284170755747	0.0170502453448	0.00597952462132	0.0134223163652	0.0159285692027	0.0161437121007	0.0260718642384
k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales	20.3209383271	0.000431565541074	0.00536374315335	0.0375462020735	0.000974681485638	0.00420192225314	0.00742534925189	0.0146595947659	0.0133980932055
k__Bacteria; p__Tenericutes; c__RF3; o__ML615J-28	18.9017499271	0.00082165557429	0.0089355043704	0.0714840349632	0.000417438238287	0.000229123682555	0.000454862842385	0.000636087947567	0.000625490362336
k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Neisseriales	18.0153138215	0.00122562247686	0.0107114857084	0.106629155487	1.01094214637e-05	9.25961740429e-05	0.000133114624396	0.000151110758881	0.000184891555404
k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales	18.0052150382	0.00123120525384	0.0107114857084	0.107114857084	0.00799314876745	0.00961313530582	0.0169802566016	0.0106550779633	0.00837216866455
k__Bacteria; p__Firmicutes; c__Bacilli; o__Turicibacterales	17.297344051	0.001691986945	0.013382078565	0.147202864215	0.000876126997714	0.000772912529971	0.00110230044758	0.00072156309524	0.000835129395865
k__Archaea; p__Euryarchaeota; c__Methanobacteria; o__Methanobacteriales	16.7057790311	0.00220461104845	0.0148556880958	0.191801161215	9.47525933917e-05	9.54637139675e-05	0.00014451608266	0.000254725546477	0.000296973051097
k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales	16.690386683	0.00221981546259	0.0148556880958	0.193123945245	0.000124708686946	0.0063148408683	0.0113122904962	0.00979826291915	0.00833973145515
k__Bacteria; p__Cyanobacteria; c__4C0d-2; o__YS2	14.1225290112	0.00691408893277	0.0429661240822	0.601525737151	9.47583449423e-06	0.0021228747438	0.00125413839447	0.000867650084153	0.000991554076456
k__Bacteria; p__Tenericutes; c__Mollicutes; o__RF39	9.61311533355	0.0474741581134	0.272050733457	1.0	0.00199050631011	0.00314517057687	0.00595172644339	0.00634799223481	0.00598094125804
k__Bacteria; p__Firmicutes; c__Clostridia; o__	9.48616425782	0.0500323187967	0.272050733457	1.0	5.89570766317e-05	2.05160845384e-06	8.53025840885e-06	7.63855143723e-06	6.80806576271e-06
k__Bacteria; p__Synergistetes; c__Synergistia; o__Synergistales	9.25033912808	0.0551378717308	0.282176167093	1.0	2.2081515351e-05	7.90426064187e-05	4.61204021453e-05	6.1960586424e-05	0.000117753750923
k__Bacteria; p__Elusimicrobia; c__Elusimicrobia; o__Elusimicrobiales	8.96517327711	0.0619759027615	0.29955019668	1.0	0.0	0.0	2.45104058194e-05	9.05317063876e-06	1.4809346657e-05
k__Bacteria; p__Tenericutes; c__Mollicutes; o__Anaeroplasmatales	8.52313924029	0.0741889374393	0.339707239854	1.0	1.32997647272e-06	3.52471762262e-07	0.00010108736028	0.000281881881987	3.79916470602e-05
k__Bacteria; p__TM7; c__TM7-3; o__	8.329791376	0.0802177247584	0.348947102699	1.0	0.0	4.94795835047e-06	6.17193648638e-06	3.0188780945e-06	2.56928333333e-06
k__Bacteria; p__Firmicutes; c__Bacilli; o__Gemellales	7.92247389198	0.0944597130729	0.391333097016	1.0	4.04376250365e-05	4.83886915802e-05	0.000102153447903	0.000289429644922	0.000226286336679
k__Bacteria; p__Fusobacteria; c__Fusobacteriia; o__Fusobacteriales	7.46728233851	0.113160687209	0.447499081236	1.0	4.2007883343e-05	0.00387478668264	0.00133523924239	0.00079563661436	0.000491326059241
k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales	7.26798134219	0.122386371601	0.462939753449	1.0	0.0151009344159	0.011495190747	0.00808909187004	0.00789217584248	0.00584496166784
k__Bacteria; p__Bacteroidetes; c__Sphingobacteriia; o__Sphingobacteriales	6.99356293604	0.136228786023	0.493829349335	1.0	0.0	0.000127339532006	0.000797048801408	0.000388969212194	0.000313511018554
k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Cardiobacteriales	6.65501265659	0.15528162769	0.52304133209	1.0	3.52193283674e-06	1.56379790033e-06	9.98733271867e-07	2.06869085226e-06	0.0
k__Bacteria; p__Lentisphaerae; c__[Lentisphaeria]; o__Victivallales	6.63781850461	0.156311202694	0.52304133209	1.0	4.06991439799e-05	0.000152291437455	0.000195530615784	0.000250218841339	0.000260161154374
k__Bacteria; p__Chloroflexi; c__Anaerolineae; o__Anaerolineales	6.1989528793	0.184774859307	0.580565671123	1.0	0.0	3.42047175146e-06	0.0	0.0	0.0
k__Bacteria; p__Acidobacteria; c__Acidobacteriia; o__Acidobacteriales	6.16941125653	0.186848721741	0.580565671123	1.0	0.0	2.35739634715e-06	4.14471842021e-07	1.74366550977e-06	2.26988747072e-06
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales	5.75964098694	0.217831901979	0.653495705938	1.0	0.53469905713	0.460162888486	0.4580939282	0.44688983089	0.450644688512
k__Bacteria; p__Verrucomicrobia; c__Opitutae; o__[Cerasicoccales]	5.39635064657	0.248991683881	0.653779732664	1.0	0.0	7.17894157993e-07	6.61358507191e-05	4.3401697334e-05	4.49265947195e-05
k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales	5.39152789286	0.249430075397	0.653779732664	1.0	3.89939559368e-06	0.000105589276905	0.00146275788225	0.000859858700191	0.00074665048757
k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Desulfuromonadales	5.38544164743	0.249984269082	0.653779732664	1.0	0.0	1.12005863731e-07	9.82843870534e-08	2.03078385146e-07	0.0
k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodospirillales	5.37426846129	0.251004426239	0.653779732664	1.0	0.0	3.47325570762e-06	2.02242775797e-06	3.28238867687e-05	2.06198430934e-06
k__Bacteria; p__Firmicutes; c__Clostridia; o__SHA-98	5.32549067348	0.255500125409	0.653779732664	1.0	7.24744879158e-05	3.23378208496e-05	5.65807932322e-05	7.49061163705e-05	6.3584997198e-05
k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Methylophilales	4.96337872116	0.291075750076	0.72353115019	1.0	0.0	2.77522806584e-06	1.34362478756e-05	6.04039919059e-05	3.54050761102e-05
k__Archaea; p__Euryarchaeota; c__Thermoplasmata; o__E2	4.59824328179	0.331056780084	0.800053885203	1.0	0.0	1.13553301977e-07	2.25093971101e-06	1.03381737504e-05	1.15859773302e-05
k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales	4.41226060015	0.353078239789	0.830210996261	1.0	1.53610124115e-05	6.73988229077e-05	4.0899552463e-05	3.00386439009e-05	9.35725821266e-05
k__Bacteria; p__Actinobacteria; c__Nitriliruptoria; o__Euzebyales	4.10054318876	0.392569785391	0.841967308202	1.0	0.0	0.0	0.0	2.29938515352e-06	0.0
k__Bacteria; p__Acidobacteria; c__Solibacteres; o__Solibacterales	4.00286414535	0.405618368563	0.841967308202	1.0	0.0	1.5693513763e-06	2.49722032903e-07	8.46487327208e-07	9.59246508423e-07
k__Bacteria; p__TM7; c__TM7-3; o__CW040	3.95241439283	0.412484165993	0.841967308202	1.0	0.0	7.20383347676e-08	3.92395593058e-07	9.48378350567e-07	2.06384072731e-07
k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Legionellales	3.8729617892	0.423471524846	0.841967308202	1.0	0.0	1.06065436859e-07	4.00253007931e-08	1.36648859619e-06	8.47473729379e-05
k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Chromatiales	3.85865724391	0.425472329154	0.841967308202	1.0	0.0	0.0	0.0	0.0	1.05316192912e-05
k__Bacteria; p__Chloroflexi; c__TK10; o__AKYG885	3.85865724391	0.425472329154	0.841967308202	1.0	0.0	0.0	0.0	0.0	2.37763972497e-06
