OTU	Test-Statistic	P	FDR_P	Bonferroni_P	Obese_mean	Normal_mean	Overweight_mean	Underweight_mean
k__Bacteria; p__Tenericutes; c__RF3; o__ML615J-28	31.827984613	5.68903935102e-07	4.94946423539e-05	4.94946423539e-05	0.000301991131528	0.000600680756515	0.000299616003559	0.000819719926819
k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pasteurellales	28.4438882301	2.93060286114e-06	0.000127481224459	0.000254962448919	0.00115773569919	0.00125279626086	0.000957403851755	0.00154853538708
k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__RF32	24.2101899096	2.25789099848e-05	0.000654788389559	0.00196436516868	0.00238433985116	0.00495300353214	0.00266863146563	0.00127277495223
k__Bacteria; p__Firmicutes; c__Clostridia; o__SHA-98	22.7877865346	4.47119693333e-05	0.000972485333	0.003889941332	3.41343806586e-05	7.2045512001e-05	3.41492569206e-05	8.76304761703e-05
k__Bacteria; p__Actinobacteria; c__Nitriliruptoria; o__Euzebyales	22.1389080415	6.10307148075e-05	0.00106193443765	0.00530967218825	9.09669038806e-06	0.0	0.0	0.0
k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales	20.7099783201	0.000120932341797	0.00163121024275	0.0105211137364	0.00664612891391	0.0140800413669	0.00788032802576	0.0127115086533
k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Methylophilales	20.5386837868	0.000131246801141	0.00163121024275	0.0114184716993	0.000181864532091	1.60296492416e-05	9.89594252376e-06	8.0797616048e-05
k__Bacteria; p__Firmicutes; c__Erysipelotrichi; o__Erysipelotrichales	18.5655516147	0.000336184544453	0.00362669358804	0.0292480553674	0.0166483489725	0.0115292914497	0.018530910393	0.0117551550764
k__Bacteria; p__Tenericutes; c__Mollicutes; o__RF39	18.3347515784	0.000375175198763	0.00362669358804	0.0326402422924	0.00490336935632	0.00579152024632	0.00537698895866	0.00597976457222
k__Archaea; p__Euryarchaeota; c__Methanobacteria; o__Methanobacteriales	17.5976111787	0.00053241267971	0.00463199031347	0.0463199031347	0.000108323316071	0.000260700133835	0.000106576303435	0.000103064312444
k__Bacteria; p__Cyanobacteria; c__4C0d-2; o__YS2	15.8507185257	0.00121675954492	0.00962346185528	0.105858080408	0.000386330898018	0.00148685581174	0.000758007165733	0.000428728308062
k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales	13.2441677688	0.00413725837498	0.0299951232186	0.359941478623	0.000171085405317	0.000485153331655	0.000722546678325	0.000283477204994
k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Desulfobacterales	11.0614035088	0.0113984352265	0.0661109243136	0.991663864704	6.15111532902e-06	0.0	0.0	0.0
k__Bacteria; p__Bacteroidetes; c__[Rhodothermi]; o__[Rhodothermales]	11.0614035088	0.0113984352265	0.0661109243136	0.991663864704	5.27238456773e-06	0.0	0.0	0.0
k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__BPC076	11.0614035088	0.0113984352265	0.0661109243136	0.991663864704	4.39365380644e-06	0.0	0.0	0.0
k__Archaea; p__Euryarchaeota; c__Thermoplasmata; o__E2	10.8352614348	0.0126508620993	0.0687890626651	1.0	2.43563232669e-06	9.9043823573e-06	0.0	0.0
k__Bacteria; p__Actinobacteria; c__Thermoleophilia; o__Solirubrobacterales	10.3099106521	0.0161074119758	0.0824320495234	1.0	2.50008502285e-05	1.51226428352e-06	1.42841045912e-07	5.47355860676e-07
k__Bacteria; p__Firmicutes; c__Bacilli; o__Turicibacterales	9.66190347281	0.0216699158707	0.104737926708	1.0	0.000832040711289	0.000952237305498	0.00074897520181	0.000512802247299
k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales	9.2507166968	0.0261366773058	0.119678469769	1.0	0.0336701640282	0.0120854035631	0.00930148829956	0.010843271014
k__Bacteria; p__Acidobacteria; c__Solibacteres; o__Solibacterales	8.96360536094	0.0297787071508	0.129537376106	1.0	2.04408667322e-06	8.91827867984e-07	9.07575558427e-08	2.73677930338e-07
k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales	8.47694643808	0.0371175436832	0.153772680973	1.0	0.00371245494426	0.00966195546774	0.0165075690147	0.00416046625665
k__Bacteria; p__Actinobacteria; c__Coriobacteriia; o__Coriobacteriales	8.32202185859	0.03980482464	0.157409988349	1.0	0.00352765528956	0.00289920371135	0.00374585315614	0.00211835993704
k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Alteromonadales	7.82412920989	0.0497897583549	0.188335172908	1.0	1.024579983e-05	1.26802360257e-05	2.69369433089e-07	0.0
k__Bacteria; p__Bacteroidetes; c__Flavobacteriia; o__Flavobacteriales	7.54615708741	0.0563842645709	0.20439295907	1.0	0.000104581511864	0.00195555187103	0.000883062903412	0.000684502783923
k__Bacteria; p__Firmicutes; c__Bacilli; o__Gemellales	6.09082956894	0.107273826618	0.373312916632	1.0	0.000736958168053	0.000100378018193	4.97973344817e-05	0.00086978339224
k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales	5.80750943872	0.12136024777	0.406090059846	1.0	0.00227856308947	0.000873357001937	0.000414938124901	0.00128294338383
k__Bacteria; p__Actinobacteria; c__Thermoleophilia; o__Gaiellales	5.65557736614	0.129623885859	0.417676965546	1.0	2.4502116379e-05	1.00457402481e-06	1.28523630523e-06	2.73677930338e-07
k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Desulfuromonadales	5.35654762036	0.147474900997	0.44643745501	1.0	3.56267928258e-07	8.89769325384e-08	4.80011919656e-08	3.05615999609e-07
