OTU	Test-Statistic	P	FDR_P	Bonferroni_P	Hispanic_mean	African American_mean	Caucasian_mean	Asian or Pacific Islander_mean
k__Bacteria; p__Actinobacteria; c__Nitriliruptoria; o__Euzebyales	58.6742602374	1.12831762881e-12	9.81636337064e-11	9.81636337064e-11	0.0	2.71304895154e-06	0.0	1.13835575894e-05
k__Bacteria; p__Cyanobacteria; c__4C0d-2; o__YS2	35.9932695892	7.51295304264e-08	2.77131942044e-06	6.5362691471e-06	0.0100874649973	0.0	0.000980696124866	0.000304168124207
k__Bacteria; p__Verrucomicrobia; c__Verrucomicrobiae; o__Verrucomicrobiales	35.224952593	1.09195935914e-07	2.77131942044e-06	9.5000464245e-06	0.00995819252648	0.00949028082353	0.0180236928672	0.0156216753127
k__Bacteria; p__Spirochaetes; c__Spirochaetes; o__Spirochaetales	34.7413882298	1.38155434748e-07	2.77131942044e-06	1.20195228231e-05	1.3055236666e-05	0.0	2.29184238404e-06	2.33300915001e-05
k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__RF32	34.448926827	1.59271231059e-07	2.77131942044e-06	1.38565971022e-05	0.0126780792366	1.73456386168e-05	0.00394940554196	0.00203155453234
k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Bifidobacteriales	30.5567224343	1.05380023738e-06	1.5280103442e-05	9.16806206517e-05	0.00920213537825	0.0272138038901	0.0096342089431	0.0216058847777
k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Methylococcales	29.2712882095	1.9639184604e-06	2.4408700865e-05	0.000170860906055	0.0	0.0	0.0	1.33255418256e-05
k__Archaea; p__Euryarchaeota; c__Methanobacteria; o__Methanobacteriales	20.4980784843	0.000133817559306	0.00145526595745	0.0116421276596	0.000153605499209	1.68962681776e-05	0.00022132375931	1.55147273758e-05
k__Bacteria; p__Tenericutes; c__Mollicutes; o__RF39	18.8308724838	0.000296318806478	0.00286441512929	0.0257797361636	0.00650721425974	0.00299593338825	0.00581931972538	0.003014031007
k__Bacteria; p__Firmicutes; c__Clostridia; o__SHA-98	18.2047403937	0.000399086321426	0.0034720509964	0.034720509964	0.000189687393406	5.83675000145e-05	5.93763007163e-05	2.90335609352e-05
k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales	17.567737161	0.000540011051576	0.00427099649883	0.0469809614871	0.00518086789912	0.00723304299234	0.0105016756737	0.0127551374097
k__Bacteria; p__Tenericutes; c__RF3; o__ML615J-28	17.233141687	0.000632843394134	0.00458811460747	0.0550573752896	0.000918924537194	8.44813408878e-06	0.000543081682031	6.33806721462e-05
k__Bacteria; p__Lentisphaerae; c__[Lentisphaeria]; o__Victivallales	16.6896194163	0.000818587289958	0.00547823801741	0.0712170942263	0.000860455083254	0.000208884399428	0.000206214735248	0.000117609763201
k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pasteurellales	14.682776315	0.00210882069914	0.0110891397455	0.183467400825	0.00122678244338	0.00152907323507	0.00106021482069	0.00297466217879
k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Desulfobacterales	14.6249999997	0.00216684339855	0.0110891397455	0.188515375674	0.0	0.0	0.0	7.96849031259e-06
