OTU	Test-Statistic	P	FDR_P	Bonferroni_P	male_mean	female_mean
k__Bacteria; p__Firmicutes; c__Clostridia; o__SHA-98	47.3518296127	5.93227214797e-12	5.16107676873e-10	5.16107676873e-10	3.53267628929e-05	8.8913291701e-05
k__Bacteria; p__Verrucomicrobia; c__Verrucomicrobiae; o__Verrucomicrobiales	42.8890080331	5.79352680272e-11	2.52018415918e-09	5.04036831837e-09	0.0128027272715	0.0227846028882
k__Bacteria; p__Tenericutes; c__RF3; o__ML615J-28	35.8932674314	2.08427683603e-09	6.04440282449e-08	1.81332084735e-07	0.000369029863873	0.000679628814581
k__Bacteria; p__Firmicutes; c__Erysipelotrichi; o__Erysipelotrichales	30.1913787396	3.91445660699e-08	8.51394312021e-07	3.40557724808e-06	0.0161688648167	0.0107601653582
k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales	23.3558173062	1.34635715197e-06	2.34266144442e-05	0.000117133072221	0.0114193620578	0.00943629317214
k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__RF32	21.8883532036	2.88982532975e-06	4.19024672814e-05	0.000251414803688	0.002681625094	0.00549177939394
k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales	17.717022336	2.5632258659e-05	0.000318572357619	0.00223000650333	0.380935924355	0.428604889477
k__Bacteria; p__Cyanobacteria; c__4C0d-2; o__YS2	16.7006602579	4.37657638955e-05	0.000475952682364	0.00380762145891	0.00121108322408	0.00113176004778
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales	16.0983729013	6.01356811136e-05	0.000581311584098	0.00523180425688	0.474370399989	0.432689666278
k__Bacteria; p__Actinobacteria; c__Coriobacteriia; o__Coriobacteriales	13.6640228814	0.000218602663029	0.00190184316835	0.0190184316835	0.00381212347413	0.00233716801803
k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Desulfovibrionales	11.6714118369	0.000634678284019	0.00501972824633	0.0552170107096	0.00270823172718	0.00305544170575
k__Archaea; p__Euryarchaeota; c__Thermoplasmata; o__E2	8.7634205196	0.00307332114533	0.0212756644292	0.267378939643	1.11851286879e-06	1.23608761695e-05
k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Bifidobacteriales	8.70170685144	0.00317912227103	0.0212756644292	0.27658363758	0.0128354939989	0.00806272160028
k__Bacteria; p__Tenericutes; c__Mollicutes; o__Mycoplasmatales	8.05147298735	0.00454666718807	0.0282542889544	0.395560045362	1.72890603524e-06	1.09437991449e-05
k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales	7.28314127402	0.0069604712691	0.0403707333608	0.605561000411	0.0090972774087	0.00712114981775
k__Bacteria; p__Synergistetes; c__Synergistia; o__Synergistales	6.8147779418	0.00904065449243	0.0491585588026	0.786536940842	3.96747847134e-05	0.000103623234337
k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales	6.39318016452	0.0114559610155	0.0586275651971	0.996668608351	0.00691787259579	0.0119505007642
k__Archaea; p__Euryarchaeota; c__Methanobacteria; o__Methanobacteriales	5.71594952312	0.0168114698283	0.0770743618518	1.0	0.000137592092309	0.000277404442854
k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacteriales	5.71377223245	0.0168323318987	0.0770743618518	1.0	0.014913695651	0.0138943649302
k__Bacteria; p__Lentisphaerae; c__[Lentisphaeria]; o__Z20	5.51026859239	0.0189051434706	0.0796815433013	1.0	2.37010378867e-05	0.0
k__Bacteria; p__Bacteroidetes; c__Cytophagia; o__Cytophagales	5.48016204129	0.0192334759693	0.0796815433013	1.0	0.0	4.93118155735e-06
k__Bacteria; p__Tenericutes; c__Mollicutes; o__RF39	5.23911083335	0.0220845586971	0.0873343912113	1.0	0.00528705354494	0.00600813218463
k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales	4.66750500317	0.0307385519488	0.116271913893	1.0	0.0128834625937	0.0109512307233
k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__	3.73774163559	0.053196298775	0.19283658306	1.0	3.08354746667e-06	1.13771036247e-05
k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Aeromonadales	3.4650299196	0.0626793736154	0.213525388925	1.0	0.00147922096978	1.100743959e-05
k__Bacteria; p__Firmicutes; c__Clostridia; o__	3.43542447988	0.0638121851961	0.213525388925	1.0	6.43690528671e-06	9.34590811411e-06
k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Bdellovibrionales	3.28331338278	0.0699875019316	0.219972159496	1.0	0.0	3.7599764339e-06
k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Legionellales	3.26447599436	0.0707956375388	0.219972159496	1.0	7.92115392735e-07	3.66337950505e-05
k__Bacteria; p__Spirochaetes; c__[Brachyspirae]; o__[Brachyspirales]	3.12353634031	0.0771691424842	0.225139053337	1.0	3.25574776475e-06	3.79087588172e-07
k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Oceanospirillales	3.11374725359	0.0776341563231	0.225139053337	1.0	6.64365789023e-06	9.15420610873e-07
k__Bacteria; p__Fusobacteria; c__Fusobacteriia; o__Fusobacteriales	2.52646862044	0.111950508205	0.314183684318	1.0	0.00188969165671	0.000688396305211
k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Alteromonadales	2.37025967554	0.123666478937	0.336218239611	1.0	1.67002301579e-05	5.06486236466e-07
