OTU	Test-Statistic	P	FDR_P	Bonferroni_P	teen_mean	20s_mean	30s_mean	40s_mean	50s_mean
k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacteriales; f__Enterobacteriaceae	32.9805274158	1.20549613995e-06	8.35697236671e-05	0.00021698930519	0.00152014671797	0.0105929278665	0.0171553124234	0.0109652773177	0.0194620500512
k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Bifidobacteriales; f__Bifidobacteriaceae	32.9525347017	1.22150904469e-06	8.35697236671e-05	0.000219871628044	0.0106863845109	0.0192525615388	0.0109791404433	0.00845401769355	0.00738237362498
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Christensenellaceae	32.6740355904	1.39282872778e-06	8.35697236671e-05	0.000250709171001	0.000790462938715	0.00103048467551	0.00154219676901	0.00314194356	0.0034130450127
k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae	30.0904026975	4.69134364403e-06	0.000187951356386	0.000844441855926	1.36096819408e-05	0.00220712350839	0.00337788001638	0.00829033414245	0.00717031787052
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__[Tissierellaceae]	29.6016756428	5.89872190908e-06	0.000187951356386	0.00106176994363	0.0154628447854	0.0156245614295	0.00752835890737	0.0039918502222	0.00409236133911
k__Bacteria; p__Proteobacteria; c__Epsilonproteobacteria; o__Campylobacterales; f__Campylobacteraceae	29.473016248	6.26504521287e-06	0.000187951356386	0.00112770813832	0.000620811723888	0.000847139727634	0.000265447070699	0.000120776314449	0.000142358264961
k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pasteurellales; f__Pasteurellaceae	25.1084648196	4.78454967512e-05	0.0012303127736	0.00861218941522	0.00131177032199	0.00139990511927	0.00125029877852	0.00126682896192	0.000829734749074
k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__RF32; f__	24.0095224857	7.9524476514e-05	0.00178930072157	0.0143144057725	0.000606412738902	0.00217969082143	0.00393951135703	0.00552754503107	0.00327965823662
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__	22.3147054831	0.000173485143427	0.00346970286853	0.0312273258168	0.0366200399432	0.0373462066175	0.0458300659603	0.0548986303907	0.0496953320028
k__Bacteria; p__Verrucomicrobia; c__Verrucomicrobiae; o__Verrucomicrobiales; f__Verrucomicrobiaceae	22.0488801081	0.00019597983155	0.00352763696789	0.0352763696789	0.00597952462132	0.0134223163652	0.0159285692027	0.0161437121007	0.0260718642384
k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Paenibacillaceae	21.3702711917	0.000267385793316	0.00437540389062	0.0481294427968	0.0	2.02131164461e-05	0.000456583108197	0.000338489351111	0.000364816166771
k__Bacteria; p__Synergistetes; c__Synergistia; o__Synergistales; f__Dethiosulfovibrionaceae	21.0372009823	0.000311336160248	0.00467004240371	0.0560405088446	2.2081515351e-05	4.69514939515e-05	3.19665872951e-06	1.1456211687e-05	5.424134054e-06
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Dehalobacteriaceae	20.1253567388	0.000471731195626	0.00613687624137	0.0849116152127	8.11191201651e-05	4.74435274867e-05	5.42234118338e-05	0.000110244255517	7.98466873949e-05
k__Bacteria; p__Synergistetes; c__Synergistia; o__Synergistales; f__Synergistaceae	20.0994928451	0.000477312596551	0.00613687624137	0.0859162673791	0.0	3.20911124672e-05	4.29237434158e-05	5.0504374737e-05	0.000112329616869
k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__[Barnesiellaceae]	18.9603707343	0.000800159879631	0.00924362521076	0.144028778334	0.00503151792787	0.0050100778294	0.00657633961318	0.00759705642496	0.00759893363426
k__Bacteria; p__Tenericutes; c__RF3; o__ML615J-28; f__	18.9017499271	0.00082165557429	0.00924362521076	0.147898003372	0.000417438238287	0.000229123682555	0.000454862842385	0.000636087947567	0.000625490362336
k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Neisseriales; f__Neisseriaceae	18.0153138215	0.00122562247686	0.0129771791667	0.220612045834	1.01094214637e-05	9.25961740429e-05	0.000133114624396	0.000151110758881	0.000184891555404
