OTU	Test-Statistic	P	FDR_P	Bonferroni_P	Obese_mean	Normal_mean	Overweight_mean	Underweight_mean
k__Bacteria; p__Tenericutes; c__RF3; o__ML615J-28; f__	31.827984613	5.68903935102e-07	8.23342615242e-05	0.000102402708318	0.000301991131528	0.000600680756515	0.000299616003559	0.000819719926819
k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Rikenellaceae	30.8485109248	9.14825128046e-07	8.23342615242e-05	0.000164668523048	0.0235610452893	0.028984395373	0.0216582523574	0.0167067087807
k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pasteurellales; f__Pasteurellaceae	28.4445299983	2.92969356856e-06	0.000175781614113	0.00052734484234	0.00115773569919	0.00125279626086	0.000957403851755	0.00153510770187
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__	26.5011253602	7.4898506653e-06	0.000337043279938	0.00134817311975	0.0353210120754	0.0521711217478	0.0422379427478	0.0480605050637
k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__RF32; f__	24.2101899096	2.25789099848e-05	0.000812840759453	0.00406420379727	0.00238433985116	0.00495300353214	0.00266863146563	0.00127277495223
k__Bacteria; p__Firmicutes; c__Clostridia; o__SHA-98; f__	22.7877865346	4.47119693333e-05	0.00134135908	0.00804815448	3.41343806586e-05	7.2045512001e-05	3.41492569206e-05	8.76304761703e-05
k__Bacteria; p__Actinobacteria; c__Nitriliruptoria; o__Euzebyales; f__Euzebyaceae	22.1389080415	6.10307148075e-05	0.00156936123791	0.0109855286654	9.09669038806e-06	0.0	0.0	0.0
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Christensenellaceae	21.3331698154	8.97669926256e-05	0.00201975733408	0.0161580586726	0.00242960716987	0.00268487040313	0.0014085934253	0.00268042480852
k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Methylophilales; f__Methylophilaceae	20.5386837868	0.000131246801141	0.00262493602282	0.0236244242054	0.000181864532091	1.60296492416e-05	9.89594252376e-06	8.0797616048e-05
k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Alcaligenaceae	20.090227397	0.000162588505585	0.00292659310053	0.0292659310053	0.00435987997979	0.00825414510827	0.00648882739271	0.00624655204559
k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pasteurellales; f__	18.6428571427	0.000324047901734	0.00504276816679	0.0583286223121	0.0	0.0	0.0	1.34276852013e-05
k__Bacteria; p__Firmicutes; c__Erysipelotrichi; o__Erysipelotrichales; f__Erysipelotrichaceae	18.5655516147	0.000336184544453	0.00504276816679	0.0605132180015	0.0166483489725	0.0115292914497	0.018530910393	0.0117551550764
k__Bacteria; p__Tenericutes; c__Mollicutes; o__RF39; f__	18.3347515784	0.000375175198763	0.00519473352133	0.0675315357773	0.00490336935632	0.00579152024632	0.00537698895866	0.00597976457222
k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__S24-7	18.1744072987	0.000404879620781	0.00520559512433	0.0728783317406	0.00122253212081	0.0049046950345	0.00264909287045	0.00233592767948
k__Archaea; p__Euryarchaeota; c__Methanobacteria; o__Methanobacteriales; f__Methanobacteriaceae	17.5976111787	0.00053241267971	0.00638895215652	0.0958342823477	0.000108323316071	0.000260700133835	0.000106576303435	0.000103064312444
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae	16.912611152	0.000736599454864	0.00828674386722	0.132587901876	0.18860177614	0.157093066279	0.16747468552	0.125680324153
k__Bacteria; p__Cyanobacteria; c__4C0d-2; o__YS2; f__	15.8507185257	0.00121675954492	0.012883336358	0.219016718086	0.000386330898018	0.00148685581174	0.000758007165733	0.000428728308062
k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__[Odoribacteraceae]	13.5585861983	0.00357193276967	0.0348152375465	0.642947898541	0.00212342059344	0.00295445440692	0.00227084731426	0.00191154461539
k__Bacteria; p__Actinobacteria; c__Thermoleophilia; o__Solirubrobacterales; f__	13.4977812605	0.00367494174102	0.0348152375465	0.661489513384	2.32856790659e-05	9.66228582409e-07	1.27228158585e-07	0.0
k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Streptomycetaceae	13.2674453014	0.00409252925643	0.0354622146427	0.736655266157	3.79885259655e-07	0.000165454747088	6.52129232607e-05	0.00021512003826
k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae	13.2441677688	0.00413725837498	0.0354622146427	0.744706507497	0.000171085405317	0.000483769831342	0.000722546678325	0.000283477204994
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Dehalobacteriaceae	12.5310706889	0.00576866335739	0.0471981547423	1.0	5.01514055348e-05	8.44643365036e-05	6.41981737482e-05	9.32568126762e-05
k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__	11.7942226731	0.00812235962305	0.0635662927021	1.0	0.000442106852016	0.000188655496175	0.000160148066176	1.15659548678e-05
k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__BPC076; f__	11.0614035088	0.0113984352265	0.0759895681765	1.0	4.39365380644e-06	0.0	0.0	0.0
k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Oceanospirillales; f__Saccharospirillaceae	11.0614035088	0.0113984352265	0.0759895681765	1.0	7.02984609031e-06	0.0	0.0	0.0
