OTU	Test-Statistic	P	FDR_P	Bonferroni_P	Hispanic_mean	African American_mean	Caucasian_mean	Asian or Pacific Islander_mean
k__Bacteria; p__Actinobacteria; c__Nitriliruptoria; o__Euzebyales; f__Euzebyaceae	58.6742602374	1.12831762881e-12	2.03097173186e-10	2.03097173186e-10	0.0	2.71304895154e-06	0.0	1.13835575894e-05
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Christensenellaceae	53.1262893001	1.72315043098e-11	1.55083538788e-09	3.10167077577e-09	0.00217051110375	0.00396955378981	0.00250179664282	0.000338567816644
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__	48.64959813	1.54888943404e-10	9.29333660424e-09	2.78800098127e-08	0.0448159927492	0.0272791172591	0.0502797147787	0.0245347542417
k__Bacteria; p__Cyanobacteria; c__4C0d-2; o__YS2; f__	35.9932695892	7.51295304264e-08	3.38082886919e-06	1.35233154768e-05	0.0100874649973	0.0	0.000980696124866	0.000304168124207
k__Bacteria; p__Verrucomicrobia; c__Verrucomicrobiae; o__Verrucomicrobiales; f__Verrucomicrobiaceae	35.224952593	1.09195935914e-07	3.93105369289e-06	1.96552684645e-05	0.00995819252648	0.00949028082353	0.0180236928672	0.0156216753127
k__Bacteria; p__Spirochaetes; c__Spirochaetes; o__Spirochaetales; f__Spirochaetaceae	34.7413882298	1.38155434748e-07	4.09554594153e-06	2.48679782546e-05	1.3055236666e-05	0.0	2.29184238404e-06	2.33300915001e-05
k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__RF32; f__	34.448926827	1.59271231059e-07	4.09554594153e-06	2.86688215907e-05	0.0126780792366	1.73456386168e-05	0.00394940554196	0.00203155453234
k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Rikenellaceae	32.9689326917	3.26963780969e-07	7.35668507181e-06	5.88534805745e-05	0.0400491314765	0.0157409220603	0.0268422269228	0.013134609466
k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Bifidobacteriales; f__Bifidobacteriaceae	30.5567224343	1.05380023738e-06	2.10760047475e-05	0.000189684042728	0.00920213537825	0.0272138038901	0.0096342089431	0.0216058847777
k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Methylococcales; f__Crenotrichaceae	29.2712882095	1.9639184604e-06	3.53505322872e-05	0.000353505322872	0.0	0.0	0.0	1.33255418256e-05
k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Microbacteriaceae	28.0138941637	3.60772880243e-06	5.90355622216e-05	0.000649391184437	0.000158666302943	0.0	0.000128666536468	0.000411778865922
k__Bacteria; p__Synergistetes; c__Synergistia; o__Synergistales; f__Dethiosulfovibrionaceae	22.7979715475	4.44940173252e-05	0.000667410259877	0.00800892311853	3.13915701988e-05	0.0	1.30503690512e-05	2.6996621555e-06
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae	22.1375719881	6.106980319e-05	0.000845581890324	0.0109925645742	0.189314766605	0.133420184757	0.202769532338	0.153112964013
k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__[Odoribacteraceae]	21.9249202508	6.76200820253e-05	0.000869401054611	0.0121716147645	0.00379707903644	0.00261561307299	0.00270212656347	0.00182069046133
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Veillonellaceae	21.5673970213	8.0247396e-05	0.000962968752	0.01444453128	0.0157264567865	0.0751195265924	0.0180384064765	0.038351104142
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Peptococcaceae	20.6823101825	0.000122541976078	0.00137859723088	0.0220575556941	0.000480674089844	0.000709389083361	0.000569803405071	0.000279967233579
k__Archaea; p__Euryarchaeota; c__Methanobacteria; o__Methanobacteriales; f__Methanobacteriaceae	20.4980784843	0.000133817559306	0.00141689180442	0.0240871606751	0.000153605499209	1.68962681776e-05	0.00022132375931	1.55147273758e-05
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__[Mogibacteriaceae]	19.9874880039	0.000170758913632	0.00170758913632	0.0307366044538	0.0013273994371	0.000305395233793	0.000868980998974	0.000839119123241
k__Bacteria; p__Tenericutes; c__Mollicutes; o__RF39; f__	18.8308724838	0.000296318806478	0.00280723079822	0.0533373851661	0.00650721425974	0.00299593338825	0.00581931972538	0.003014031007
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Dehalobacteriaceae	18.34270326	0.00037375989443	0.00336383904987	0.0672767809975	7.13242419259e-05	1.1264178785e-05	8.27137491552e-05	1.47191267883e-05
k__Bacteria; p__Firmicutes; c__Clostridia; o__SHA-98; f__	18.2047403937	0.000399086321426	0.00342073989793	0.0718355378566	0.000189687393406	5.83675000145e-05	5.93763007163e-05	2.90335609352e-05
k__Bacteria; p__Tenericutes; c__RF3; o__ML615J-28; f__	17.233141687	0.000632843394134	0.00517263241407	0.113911810944	0.000918924537194	8.44813408878e-06	0.000543081682031	6.33806721462e-05
k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Porphyromonadaceae	17.1414363661	0.000660947475132	0.00517263241407	0.118970545524	0.0461255215086	0.0369365443777	0.029848010462	0.0308681607833
k__Bacteria; p__Lentisphaerae; c__[Lentisphaeria]; o__Victivallales; f__Victivallaceae	16.6896194163	0.000818587289958	0.00605841292732	0.147345712192	0.000860455083254	0.000208884399428	0.000206214735248	0.000117609763201
k__Bacteria; p__Fusobacteria; c__Fusobacteriia; o__Fusobacteriales; f__Leptotrichiaceae	16.6003061959	0.000853913016291	0.00605841292732	0.153704342932	9.86551031085e-05	0.0	8.35625153085e-05	0.000187072465506
k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__[Barnesiellaceae]	16.5484743612	0.000875104089502	0.00605841292732	0.15751873611	0.0104753586522	0.00720140039913	0.00704782674986	0.00293351470266
k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pasteurellales; f__Pasteurellaceae	14.684839798	0.00210677716484	0.0125816713464	0.379219889672	0.00122678244338	0.00152907323507	0.00105945496785	0.00297466217879
k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__BPC076; f__	14.6249999997	0.00216684339855	0.0125816713464	0.39003181174	0.0	0.0	0.0	5.69177879471e-06
k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Oceanospirillales; f__Saccharospirillaceae	14.6249999997	0.00216684339855	0.0125816713464	0.39003181174	0.0	0.0	0.0	9.10684607153e-06
k__Bacteria; p__Bacteroidetes; c__[Rhodothermi]; o__[Rhodothermales]; f__[Balneolaceae]	14.6249999997	0.00216684339855	0.0125816713464	0.39003181174	0.0	0.0	0.0	6.83013455365e-06
k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Desulfobacterales; f__Desulfobulbaceae	14.6249999997	0.00216684339855	0.0125816713464	0.39003181174	0.0	0.0	0.0	7.96849031259e-06
k__Bacteria; p__Proteobacteria; c__Epsilonproteobacteria; o__Campylobacterales; f__Campylobacteraceae	14.1721873313	0.0026799028924	0.0150744537697	0.482382520632	0.0016598588799	3.32950238459e-05	0.000227363875687	0.000466920858247
k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Oxalobacteraceae	14.0448273797	0.00284476568298	0.0155169037253	0.512057822936	0.000320962137004	0.00124745770357	0.000808944578946	0.000232434066114
k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Corynebacteriaceae	12.2541206366	0.00656146289439	0.0347371564997	1.0	0.00632813865885	0.000820815875607	0.00594211939731	0.002714087432
k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Staphylococcaceae	11.6356133939	0.00874157210129	0.0449566565209	1.0	0.000415145899008	6.56510008263e-05	0.00165597033744	0.00192769383883
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__[Tissierellaceae]	11.3440302586	0.0100038666711	0.0500193333554	1.0	0.00969433944045	0.000318350331993	0.00650802133804	0.0124972399655
k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodospirillales; f__Acetobacteraceae	10.7597174894	0.0130987268588	0.0637235360698	1.0	8.01278395377e-06	0.0	1.57994427156e-06	0.0
k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Aerococcaceae	9.73223757123	0.0209848667963	0.0972429443813	1.0	5.96958896395e-05	0.0	0.000105540132749	0.000156158186388
k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Dietziaceae	9.68567433472	0.0214359681983	0.0972429443813	1.0	0.0	2.62782737802e-05	2.50396984607e-06	0.0
k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Propionibacteriaceae	9.65602348353	0.0217281710729	0.0972429443813	1.0	1.10611547452e-05	0.0	9.64087951967e-06	1.85531786048e-07
k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae	9.60360375049	0.0222543531715	0.0972429443813	1.0	0.00472110609825	0.00290731972857	0.005889307663	0.00153203834256
k__Bacteria; p__Chloroflexi; c__Gitt-GS-136; o__; f__	9.56111392209	0.0226900203556	0.0972429443813	1.0	0.0	0.0	1.1115378638e-07	1.0817677214e-05
k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Paenibacillaceae	9.2186333946	0.026520932125	0.111017855407	1.0	0.0	0.00144230769231	0.000261677113732	0.0012758951739
k__Bacteria; p__Cyanobacteria; c__Chloroplast; o__Streptophyta; f__	8.95347272563	0.0299159309351	0.122383353826	1.0	0.000261157145536	2.52592974133e-05	0.000259098877812	0.000139433476922
k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Dermabacteraceae	8.78037086965	0.0323580895892	0.129432358357	1.0	2.55272057704e-05	0.0	1.99125755716e-05	8.20122270554e-05
k__Bacteria; p__Bacteroidetes; c__Flavobacteriia; o__Flavobacteriales; f__Cryomorphaceae	8.16711311017	0.0426813320049	0.167013907845	1.0	0.0	6.00961538462e-05	0.000798292427909	0.0
k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Planococcaceae	8.07740061408	0.0444388613703	0.170191383971	1.0	4.19479649573e-05	0.00279523621306	0.00241606655187	0.0063171496914
k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Myxococcales; f__0319-6G20	7.84560869189	0.049312634553	0.184922379574	1.0	7.66724170979e-05	0.0	1.15679642227e-06	0.0
k__Bacteria; p__Firmicutes; c__Bacilli; o__Turicibacterales; f__Turicibacteraceae	7.60929724464	0.0548156522518	0.201363620517	1.0	0.000765174710572	0.000306512544487	0.000904853832134	0.000552565483577
k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Methylocystaceae	7.5535697413	0.0561978750447	0.202312350161	1.0	0.0	0.0	2.96472131062e-07	1.69924419472e-05
k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Brevibacteriaceae	7.48621084256	0.0579138149372	0.204401699778	1.0	9.18742990611e-05	1.31391368901e-05	0.000141596916483	1.19388560098e-05
k__Bacteria; p__Actinobacteria; c__Acidimicrobiia; o__Acidimicrobiales; f__	7.37481559487	0.0608637380702	0.210682170243	1.0	0.0	0.0	1.30296300181e-06	3.8824618607e-05
k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae	7.24326068748	0.0645354209871	0.219176901466	1.0	0.0274088054318	0.0602449470495	0.0338251473624	0.0771255527094
k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__; f__	7.16683818861	0.0667659699155	0.222553233052	1.0	1.12208291438e-05	0.0	7.04138496561e-06	6.40204865557e-06
k__Bacteria; p__Synergistetes; c__Synergistia; o__Synergistales; f__Synergistaceae	6.90322898604	0.0750469967608	0.245608353035	1.0	8.42042154314e-07	5.63208939252e-06	6.34927282828e-05	4.31497604864e-06
k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacteriales; f__Enterobacteriaceae	6.8415175253	0.0771244163394	0.247899909662	1.0	0.00365791843961	0.0378673658194	0.0147439633177	0.0110310213021
k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Nocardiaceae	6.74176245325	0.0806003964263	0.254527567662	1.0	5.09303273122e-05	0.0	5.81678972525e-05	0.0
k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__	6.66022379896	0.0835533828676	0.259303602003	1.0	0.000170688747219	0.0013858645509	0.00119980957029	0.000399916721368
k__Bacteria; p__Firmicutes; c__Bacilli; o__Gemellales; f__	6.60417913829	0.0856432492314	0.26128448918	1.0	0.0	0.0	2.87330389994e-06	4.08367706923e-06
k__Bacteria; p__Firmicutes; c__Clostridia; o__; f__	6.55210433777	0.0876301318921	0.262890395676	1.0	4.85888726717e-05	0.0	6.04976444801e-06	1.68251444976e-05
k__Bacteria; p__Actinobacteria; c__Acidimicrobiia; o__Acidimicrobiales; f__Iamiaceae	6.38348230083	0.094372691003	0.278476793124	1.0	0.0	0.0	1.44836950165e-07	1.59369806252e-05
k__Bacteria; p__Fusobacteria; c__Fusobacteriia; o__Fusobacteriales; f__Fusobacteriaceae	6.27775986043	0.0988514411068	0.286988054826	1.0	0.000344062143579	1.84115937215e-05	0.00123890242036	0.00159208625912
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae	5.77176746893	0.123257887941	0.352165394117	1.0	0.1587859828	0.107191439826	0.161454370715	0.155793129223
k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Leuconostocaceae	5.70866783063	0.126677208992	0.35627965029	1.0	1.32466700768e-05	0.00127436617307	0.000749686763045	0.000914655565161
k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Moraxellaceae	5.58900852826	0.133410793008	0.369445272944	1.0	0.000153625370139	0.00139669297379	0.00758338596922	0.0108499917947
k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Alcaligenaceae	5.43840962343	0.142369165065	0.386892761037	1.0	0.00779577349307	0.0122227444161	0.00706944874312	0.0114926518113
k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__S24-7	5.41180129787	0.144010083275	0.386892761037	1.0	0.0044523338896	0.00177367883331	0.0041646219718	0.000996162947676
k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Hyphomicrobiaceae	5.09608315259	0.164895158692	0.436487184774	1.0	0.0	0.0	8.95841589975e-06	5.49709259307e-06
k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Nocardiopsaceae	4.80822860099	0.186390356433	0.486235712433	1.0	4.02673258313e-06	0.00848131286256	0.000488920513138	3.62845617163e-07
k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__; f__	4.53483431127	0.20920411263	0.537953432476	1.0	8.98766330865e-06	0.0	6.29087591995e-06	1.18233273302e-05
k__Archaea; p__Euryarchaeota; c__Thermoplasmata; o__E2; f__[Methanomassiliicoccaceae]	4.48169609475	0.213928776276	0.542354644079	1.0	1.48312720337e-06	2.81604469626e-06	7.14042327857e-06	0.0
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__EtOH8	4.1927173364	0.241392030051	0.603480075127	1.0	2.6498384261e-06	3.11177495644e-06	2.04638705659e-05	1.1552768386e-05
k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Micrococcaceae	4.05726637175	0.255346424371	0.611761060042	1.0	4.53786080675e-05	8.83427716797e-05	0.000558022672947	0.000411511787197
k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Alteromonadales; f__Shewanellaceae	4.03489590184	0.257720574169	0.611761060042	1.0	0.0	0.0	9.1155744792e-06	1.19041031817e-05
k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae	4.01661064065	0.259676058153	0.611761060042	1.0	0.000468546127735	1.45415984126e-05	0.00183484420367	0.00195449010434
k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Micromonosporaceae	4.01199317853	0.260171992152	0.611761060042	1.0	0.0	0.0	5.48918229689e-06	4.72926098406e-06
k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Phyllobacteriaceae	3.98916168809	0.262636852675	0.611761060042	1.0	0.0	0.0	1.17124717384e-05	6.31956932361e-06
k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__	3.9665718938	0.265096459352	0.611761060042	1.0	1.25508040861e-07	0.0	4.02921177175e-05	6.08194981075e-05
k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae	3.87817190705	0.274923425086	0.626407803993	1.0	0.000733359070708	0.000889914014714	0.00282990201349	0.00578224393986
k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Streptomycetaceae	3.84380914275	0.278831350835	0.627370539379	1.0	0.0	7.32171621028e-05	0.000136172390654	0.000123685716544
k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Streptococcaceae	3.76150102495	0.288396077257	0.640880171682	1.0	0.00204056191884	0.00345973057592	0.00519168896799	0.00547310026047
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae	3.72103951528	0.293205113954	0.643620981851	1.0	0.0130558659443	0.00456315450678	0.0121621263383	0.0206612008297
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Eubacteriaceae	3.65948215214	0.300659214393	0.646858921326	1.0	2.18370551593e-05	1.00232037166e-05	2.84446938371e-05	8.90961056779e-06
k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Comamonadaceae	3.63870849824	0.303212652384	0.646858921326	1.0	0.0150525154157	0.00057496893362	0.0034156586643	0.00233706371007
k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Methylophilales; f__Methylophilaceae	3.62054432585	0.305461157293	0.646858921326	1.0	2.78808789447e-05	0.00144230769231	1.6451676897e-05	3.86007551098e-05
k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae	3.54970594278	0.314372417064	0.657988779902	1.0	0.307522348577	0.376575703931	0.285159501079	0.305809914383
k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Neisseriales; f__Neisseriaceae	3.42040894765	0.331232466942	0.679723351087	1.0	9.77697636484e-05	5.3274542759e-05	0.000136376057698	0.000252572264822
k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Cardiobacteriales; f__Cardiobacteriaceae	3.41235015935	0.332309193865	0.679723351087	1.0	0.0	0.0	1.10411958186e-06	4.24241605573e-06
k__Bacteria; p__Spirochaetes; c__[Brachyspirae]; o__[Brachyspirales]; f__Brachyspiraceae	3.34695370686	0.341160846339	0.68998822855	1.0	0.0	0.0	1.98351292634e-06	1.51229489362e-06
k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Xanthomonadales; f__Xanthomonadaceae	3.2630207687	0.352822716201	0.700822914832	1.0	0.000104827211646	0.000971947495076	0.00497126075824	0.00158836489965
k__Bacteria; p__Actinobacteria; c__Coriobacteriia; o__Coriobacteriales; f__Coriobacteriaceae	3.2525264743	0.354304918054	0.700822914832	1.0	0.00254629568439	0.00168231329819	0.00319577782888	0.00231095289488
k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Vibrionales; f__Vibrionaceae	3.15091026765	0.368937914657	0.721835050417	1.0	0.0	0.0	7.54193376937e-07	1.34374645757e-06
k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Enterococcaceae	3.00661141011	0.390606949689	0.749635874734	1.0	0.000915955671871	0.00077705096103	0.00392278066559	0.00463230630507
k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Desulfovibrionales; f__Desulfovibrionaceae	3.00096437598	0.391476512361	0.749635874734	1.0	0.00316951415909	0.00459986364483	0.00286176395326	0.00266890135618
k__Bacteria; p__Actinobacteria; c__Thermoleophilia; o__Solirubrobacterales; f__	2.96809004322	0.39657127551	0.75139820623	1.0	0.0	0.0	8.00165039354e-07	2.8962947349e-05
k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae	2.8179289656	0.420556988148	0.788544352778	1.0	1.67399929563e-06	6.80494311068e-06	7.51883027621e-05	5.34759358289e-06
k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Brucellaceae	2.78889315018	0.425331567495	0.789275073701	1.0	4.43765875865e-05	0.0	0.000498602095017	5.65630297146e-05
k__Bacteria; p__Tenericutes; c__Mollicutes; o__Anaeroplasmatales; f__Anaeroplasmataceae	2.59789176596	0.457859267418	0.840966001379	1.0	4.00034789926e-05	0.0	0.000108195658397	0.000520732058398
k__Bacteria; p__Actinobacteria; c__Thermoleophilia; o__Gaiellales; f__Gaiellaceae	2.56533616235	0.463598997635	0.842907268427	1.0	0.0	0.0	1.05005606902e-06	3.18088367463e-05
k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Sporichthyaceae	2.425978524	0.488817050086	0.876960727948	1.0	0.0	0.0	2.37734838797e-07	5.12260091524e-06
