OTU	Test-Statistic	P	FDR_P	Bonferroni_P	male_mean	female_mean
k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Rikenellaceae	75.2889755582	4.06623747567e-18	7.3192274562e-16	7.3192274562e-16	0.0194066492935	0.0336562496121
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Christensenellaceae	59.3017336544	1.35257325091e-14	1.21731592582e-12	2.43463185164e-12	0.00147439565191	0.00334522594682
k__Bacteria; p__Firmicutes; c__Clostridia; o__SHA-98; f__	47.3518296127	5.93227214797e-12	3.55936328878e-10	1.06780898663e-09	3.53267628929e-05	8.8913291701e-05
k__Bacteria; p__Verrucomicrobia; c__Verrucomicrobiae; o__Verrucomicrobiales; f__Verrucomicrobiaceae	42.8890080331	5.79352680272e-11	2.60708706122e-09	1.04283482449e-08	0.0128027272715	0.0227846028882
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Dehalobacteriaceae	38.5016567237	5.47072249505e-10	1.96946009822e-08	9.84730049109e-08	5.4634797014e-05	0.000102237196167
k__Bacteria; p__Tenericutes; c__RF3; o__ML615J-28; f__	35.8932674314	2.08427683603e-09	6.25283050809e-08	3.75169830486e-07	0.000369029863873	0.000679628814581
k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__[Odoribacteraceae]	34.0827448338	5.28175612331e-09	1.35816586028e-07	9.50716102197e-07	0.00219658147857	0.00319650032312
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae	33.7724335922	6.1950510017e-09	1.39388647538e-07	1.11510918031e-06	0.176474445394	0.143057488942
k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae	32.9322487808	9.54271001191e-09	1.90854200238e-07	1.71768780214e-06	0.261273992857	0.317096894181
k__Bacteria; p__Firmicutes; c__Erysipelotrichi; o__Erysipelotrichales; f__Erysipelotrichaceae	30.1913787396	3.91445660699e-08	7.04602189259e-07	7.04602189259e-06	0.0161688648167	0.0107601653582
k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Microbacteriaceae	25.4071409408	4.64196633105e-07	7.59594490536e-06	8.3555393959e-05	0.000233695522901	5.09502489782e-05
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Veillonellaceae	23.9821728144	9.72318313246e-07	1.45847746987e-05	0.000175017296384	0.0227009773385	0.0166629177986
k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__RF32; f__	21.8883532036	2.88982532975e-06	4.00129661042e-05	0.000520168559355	0.002681625094	0.00549177939394
k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae	21.7344379081	3.13119540206e-06	4.02582265979e-05	0.000563615172371	0.0508183863749	0.0212153190581
k__Bacteria; p__Synergistetes; c__Synergistia; o__Synergistales; f__Synergistaceae	18.0856088392	2.11191630008e-05	0.000253429956009	0.00380144934014	3.06916721747e-05	8.67396877907e-05
k__Bacteria; p__Cyanobacteria; c__4C0d-2; o__YS2; f__	16.7006602579	4.37657638955e-05	0.000492364843825	0.0078778375012	0.00121108322408	0.00113176004778
k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Dermabacteraceae	14.6116631297	0.000132094481911	0.00139864745553	0.023777006744	3.07884393852e-05	1.62668783833e-05
k__Bacteria; p__Actinobacteria; c__Coriobacteriia; o__Coriobacteriales; f__Coriobacteriaceae	13.6640228814	0.000218602663029	0.00218602663029	0.0393484793452	0.00381212347413	0.00233716801803
k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__	13.5231207776	0.000235642232417	0.00223240009659	0.0424156018351	0.000411595728425	0.000243252932375
k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae	12.7619329426	0.000353745151012	0.00318370635911	0.0636741271822	0.0059242859974	0.00514266619369
k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Porphyromonadaceae	12.6121287215	0.0003832517932	0.00328501537029	0.068985322776	0.0286533478457	0.0323471882952
k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Leuconostocaceae	11.8771829757	0.000568258258125	0.0046493857483	0.102286486463	0.000831061163283	0.000651761320284
k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Desulfovibrionales; f__Desulfovibrionaceae	11.6714118369	0.000634678284019	0.00496704744015	0.114242091123	0.00270823172718	0.00305544170575
k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Planococcaceae	11.1980374483	0.000818838895951	0.00614129171963	0.147391001271	0.00280519636426	0.00238712732639
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__[Tissierellaceae]	10.7049369801	0.00106850026733	0.00769320192474	0.192330048119	0.00763747893805	0.00613287480702
k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__	10.0282223928	0.00154159740485	0.0106725974182	0.277487532873	8.09883100654e-05	0.000197576895373
k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__[Barnesiellaceae]	9.89071953495	0.00166114402626	0.0110742935084	0.299005924727	0.00527781655861	0.00862716159765
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Eubacteriaceae	9.31013948451	0.00227889131928	0.014650015624	0.410200437471	1.91543107463e-05	3.52444590256e-05
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__EtOH8	9.02425089325	0.00266421086704	0.0165364812437	0.479557956067	1.24200220123e-05	2.6714418264e-05
k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__	8.90047521919	0.00285096449598	0.0168306473172	0.513173609276	0.000263782931135	0.000117864515405
k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Brevibacteriaceae	8.86234177878	0.00291113866352	0.0168306473172	0.524004959434	0.000155853357535	0.000103308146352
k__Archaea; p__Euryarchaeota; c__Thermoplasmata; o__E2; f__[Methanomassiliicoccaceae]	8.7634205196	0.00307332114533	0.0168306473172	0.553197806159	1.11851286879e-06	1.23608761695e-05
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Peptostreptococcaceae	8.70587218999	0.00317186618538	0.0168306473172	0.570935913369	0.0045744756728	0.00294793422924
k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Bifidobacteriales; f__Bifidobacteriaceae	8.70170685144	0.00317912227103	0.0168306473172	0.572242008786	0.0128354939989	0.00806272160028
k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Corynebacteriaceae	8.14754863307	0.00431194100566	0.0221756966005	0.776149381018	0.00686520305866	0.00442136579776
k__Bacteria; p__Tenericutes; c__Mollicutes; o__Mycoplasmatales; f__Mycoplasmataceae	8.05147298735	0.00454666718807	0.0227333359403	0.818400093852	1.72890603524e-06	1.09437991449e-05
k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Paenibacillaceae	7.98199915368	0.00472447413291	0.0229839282141	0.850405343923	0.000311230426648	0.000351993787908
k__Bacteria; p__Bacteroidetes; c__Flavobacteriia; o__Flavobacteriales; f__Flavobacteriaceae	7.77730669983	0.00529066160453	0.025061028653	0.952319088815	0.000291964762424	0.000560298618178
k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae	7.66421673521	0.00563267074215	0.0259969418868	1.0	0.00242836653444	0.0010892777548
k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__	7.11434867378	0.00764693819327	0.0344112218697	1.0	3.09706015696e-05	0.000127879764376
k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__[Exiguobacteraceae]	7.04689674363	0.00794026966624	0.0348597204859	1.0	1.41085831167e-05	2.50679145729e-05
k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Enterococcaceae	6.76815314124	0.00927988175341	0.0397709218003	1.0	0.00474476354423	0.00288793673635
k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Oxalobacteraceae	6.61180937473	0.0101304678039	0.0419730420581	1.0	0.000333381030939	0.00123263867728
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__	6.58917392699	0.0102600769475	0.0419730420581	1.0	0.0439844914775	0.0529482814761
k__Archaea; p__Euryarchaeota; c__Methanobacteria; o__Methanobacteriales; f__Methanobacteriaceae	5.71594952312	0.0168114698283	0.06586564656	1.0	0.000137592092309	0.000277404442854
k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacteriales; f__Enterobacteriaceae	5.71377223245	0.0168323318987	0.06586564656	1.0	0.014913695651	0.0138943649302
k__Bacteria; p__Lentisphaerae; c__[Lentisphaeria]; o__Z20; f__R4-45B	5.51026859239	0.0189051434706	0.0721255348848	1.0	2.37010378867e-05	0.0
k__Bacteria; p__Bacteroidetes; c__Cytophagia; o__Cytophagales; f__Cytophagaceae	5.48016204129	0.0192334759693	0.0721255348848	1.0	0.0	4.93118155735e-06
k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Staphylococcaceae	5.36363770024	0.0205608420857	0.0755296239882	1.0	0.00194570994217	0.00127437821617
k__Bacteria; p__Tenericutes; c__Mollicutes; o__RF39; f__	5.23911083335	0.0220845586971	0.0795044113096	1.0	0.00528705354494	0.00600813218463
k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Legionellales; f__Legionellaceae	5.09555064773	0.0239872972888	0.0846610492547	1.0	2.38033474076e-08	3.66337950505e-05
k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__	4.58923775669	0.032173319394	0.111369182518	1.0	0.00130207876511	0.000926630562239
k__Bacteria; p__Synergistetes; c__Synergistia; o__Synergistales; f__Dethiosulfovibrionaceae	4.35662195634	0.0368653386002	0.125203036755	1.0	8.98311253872e-06	1.68835465458e-05
k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Alcaligenaceae	4.25410635704	0.0391555440875	0.130518480292	1.0	0.00772866489937	0.00708435213629
k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__; f__	3.73774163559	0.053196298775	0.174096977809	1.0	3.08354746667e-06	1.13771036247e-05
k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__[Paraprevotellaceae]	3.53504913687	0.0600845538303	0.193128923026	1.0	0.00832801334245	0.00727426178687
k__Bacteria; p__Firmicutes; c__Clostridia; o__; f__	3.43542447988	0.0638121851961	0.201512163777	1.0	6.43690528671e-06	9.34590811411e-06
k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__S24-7	3.37602041021	0.0661516034514	0.205298079677	1.0	0.00365725791227	0.00426359621955
k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__	3.24156313911	0.0717921121189	0.219026782735	1.0	3.33235899774e-05	4.75978259418e-05
k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Streptomycetaceae	3.16355998165	0.0752988141543	0.225896442463	1.0	8.98435302809e-05	0.000176215766607
k__Bacteria; p__Spirochaetes; c__[Brachyspirae]; o__[Brachyspirales]; f__Brachyspiraceae	3.12353634031	0.0771691424842	0.227712223724	1.0	3.25574776475e-06	3.79087588172e-07
k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Listeriaceae	2.81909795973	0.0931487379946	0.270431819984	1.0	1.79557667251e-06	3.18737025204e-06
k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Oceanospirillales; f__Halomonadaceae	2.74912310252	0.0973077824981	0.278022235709	1.0	4.00795667002e-07	0.0
