OTU	Test-Statistic	P	FDR_P	Bonferroni_P	teen_mean	20s_mean	30s_mean	40s_mean	50s_mean
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__[Tissierellaceae]; g__Anaerococcus	36.2394072985	2.58341304333e-07	6.1929139944e-05	0.000121420413037	0.0017909330501	0.00273313229105	0.000891819445482	0.000589969146034	0.000568171655888
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Veillonellaceae; g__Dialister	36.1974538489	2.63528255081e-07	6.1929139944e-05	0.000123858279888	0.0216548357653	0.00937065506267	0.00744923632509	0.00501489438015	0.00979365090964
k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacteriales; f__Enterobacteriaceae; g__	35.0623324281	4.51038904145e-07	6.82373850692e-05	0.000211988284948	0.000625544774476	0.00349573682369	0.00602964270342	0.00431929785481	0.00386706812072
k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Bifidobacteriales; f__Bifidobacteriaceae; g__	34.5277634861	5.80743702716e-07	6.82373850692e-05	0.000272949540277	6.14997088456e-06	3.30233634181e-05	1.05134292589e-05	9.51000756955e-06	8.29176444105e-06
k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus	33.4402153869	9.70545385073e-07	7.73639933806e-05	0.000456156330984	9.013280167e-07	0.000764769638188	0.00200093674964	0.0044383627715	0.00383039387266
k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Bifidobacteriales; f__Bifidobacteriaceae; g__Bifidobacterium	33.4032367646	9.87625447412e-07	7.73639933806e-05	0.000464183960284	0.0105112247145	0.0191858166513	0.0108565766563	0.00840117751615	0.00734036990768
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Christensenellaceae; g__	31.9411929997	1.96677724513e-06	0.000132055043602	0.000924385305213	0.00076069202145	0.00102007915537	0.00152182564784	0.00312112432054	0.00339497719558
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__[Tissierellaceae]; g__Peptoniphilus	30.8657386194	3.26064426623e-06	0.000191562850641	0.00153250280513	0.00429779742981	0.00335044136837	0.00123919690128	0.000759952600718	0.00101388676443
k__Bacteria; p__Proteobacteria; c__Epsilonproteobacteria; o__Campylobacterales; f__Campylobacteraceae; g__Campylobacter	29.473016248	6.26504521287e-06	0.000327174583339	0.00294457125005	0.000620811723888	0.000847139727634	0.000265447070699	0.000120776314449	0.000142358264961
k__Bacteria; p__Actinobacteria; c__Coriobacteriia; o__Coriobacteriales; f__Coriobacteriaceae; g__	28.1135224147	1.18292643457e-05	0.000555975424249	0.00555975424249	0.000408955517849	0.000681288542229	0.00077432814268	0.00101845629703	0.00128062113289
k__Bacteria; p__Synergistetes; c__Synergistia; o__Synergistales; f__Dethiosulfovibrionaceae; g__Jonquetella	26.4445093951	2.57404537551e-05	0.00109157614142	0.0120980132649	2.2081515351e-05	2.67798865815e-05	5.89968432871e-07	4.34130339504e-07	2.87919750924e-06
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__[Tissierellaceae]; g__Finegoldia	26.2734708596	2.78700291425e-05	0.00109157614142	0.013098913697	0.00321737864578	0.00380287058679	0.00116935423425	0.000744251264295	0.000787780970713
k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Actinomycetaceae; g__Mobiluncus	26.1009155148	3.01959490025e-05	0.00109169969471	0.0141920960312	9.35440258778e-06	0.000103660130499	4.92631224097e-05	3.49408176104e-05	5.82382687954e-05
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__[Tissierellaceae]; g__1-68	25.7014376378	3.634762521e-05	0.00122024170348	0.0170833838487	0.00186969131036	0.00118414752149	0.000507326542612	0.000456358077118	0.00015728749473
k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodospirillales; f__Acetobacteraceae; g__Gluconacetobacter	24.8500034007	5.39268028706e-05	0.00168970648995	0.0253455973492	0.0	5.29051618916e-07	0.0	0.0	0.0
k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__RF32; f__; g__	24.0095224857	7.9524476514e-05	0.0023360314976	0.0373765039616	0.000606412738902	0.00217969082143	0.00393951135703	0.00552754503107	0.00327965823662
k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pasteurellales; f__Pasteurellaceae; g__Haemophilus	22.886599926	0.000133405440691	0.00368826806616	0.0627005571247	0.00127267101713	0.00132266595144	0.00117777828721	0.00115810016757	0.000751541415879
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__	22.3147054831	0.000173485143427	0.00452988985614	0.0815380174105	0.0366200399432	0.0373462066175	0.0458300659603	0.0548986303907	0.0496953320028
k__Bacteria; p__Verrucomicrobia; c__Verrucomicrobiae; o__Verrucomicrobiales; f__Verrucomicrobiaceae; g__Akkermansia	22.0488801081	0.00019597983155	0.00484792214886	0.0921105208283	0.00597952462132	0.0134223163652	0.0159285692027	0.0161437121007	0.0260718642384
k__Bacteria; p__Synergistetes; c__Synergistia; o__Synergistales; f__Dethiosulfovibrionaceae; g__Pyramidobacter	21.3820591886	0.000265948534317	0.00624979055645	0.124995811129	0.0	2.017160737e-05	2.60669029664e-06	1.10220813475e-05	2.54493654476e-06
k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__[Odoribacteraceae]; g__Butyricimonas	21.00750644	0.000315585829275	0.00703776673853	0.148325339759	0.000716782610586	0.00134212873535	0.00132371804736	0.00169617999374	0.00159881286402
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__[Mogibacteriaceae]; g__Mogibacterium	20.8507549647	0.000338989811341	0.00703776673853	0.15932521133	0.00045486710159	0.000187983840487	3.76456645728e-05	5.93364716621e-05	8.18624188191e-05
