OTU	Test-Statistic	P	FDR_P	Bonferroni_P	Obese_mean	Normal_mean	Overweight_mean	Underweight_mean
k__Bacteria; p__Tenericutes; c__RF3; o__ML615J-28; f__; g__	31.827984613	5.68903935102e-07	0.000171724830985	0.000267384849498	0.000301991131528	0.000600680756515	0.000299616003559	0.000819719926819
k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Rikenellaceae; g__	31.3118819524	7.30743961636e-07	0.000171724830985	0.000343449661969	0.0230344782319	0.0285228254871	0.0212814416553	0.0163708313126
k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pasteurellales; f__Pasteurellaceae; g__Haemophilus	28.5320544294	2.80828462062e-06	0.000439964590564	0.00131989377169	0.00111362344763	0.00115892798536	0.00088595306534	0.00141958679999
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__	26.5011253602	7.4898506653e-06	0.000880057453172	0.00352022981269	0.0353210120754	0.0521711217478	0.0422379427478	0.0480605050637
k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__RF32; f__; g__	24.2101899096	2.25789099848e-05	0.00212241753857	0.0106120876929	0.00238433985116	0.00495300353214	0.00266863146563	0.00127277495223
k__Bacteria; p__Firmicutes; c__Clostridia; o__SHA-98; f__; g__	22.7877865346	4.47119693333e-05	0.00346827501718	0.0210146255867	3.41343806586e-05	7.2045512001e-05	3.41492569206e-05	8.76304761703e-05
k__Bacteria; p__Actinobacteria; c__Nitriliruptoria; o__Euzebyales; f__Euzebyaceae; g__Euzebya	22.1389080415	6.10307148075e-05	0.00346827501718	0.0286844359595	9.09669038806e-06	0.0	0.0	0.0
k__Bacteria; p__Bacteroidetes; c__Flavobacteriia; o__Flavobacteriales; f__Flavobacteriaceae; g__Salinimicrobium	22.1389080415	6.10307148075e-05	0.00346827501718	0.0286844359595	4.21777304146e-06	0.0	0.0	0.0
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Christensenellaceae; g__	21.9624955045	6.64137769248e-05	0.00346827501718	0.0312144751547	0.00241323966178	0.00266523225735	0.00139007416216	0.00266650765759
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__[Ruminococcus]	21.485026709	8.34746626115e-05	0.00392330914274	0.0392330914274	0.00972633671402	0.0069470655157	0.00660205404213	0.00694066145114
k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Methylophilales; f__Methylophilaceae; g__Methylobacillus	20.0606472247	0.000164900149858	0.00704573367575	0.0775030704333	0.000177470878285	1.60296492416e-05	9.89594252376e-06	8.0797616048e-05
k__Bacteria; p__Actinobacteria; c__Coriobacteriia; o__Coriobacteriales; f__Coriobacteriaceae; g__Adlercreutzia	19.0959652855	0.000261187387478	0.0102298393429	0.122758072114	0.000102075833565	0.000179033317144	0.000235622304026	0.000217188754235
k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pasteurellales; f__; g__	18.6428571427	0.000324047901734	0.0117155779858	0.152302513815	0.0	0.0	0.0	1.34276852013e-05
k__Bacteria; p__Tenericutes; c__Mollicutes; o__RF39; f__; g__	18.3347515784	0.000375175198763	0.012595167387	0.176332343419	0.00490336935632	0.00579152024632	0.00537698895866	0.00597976457222
k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__S24-7; g__	18.1744072987	0.000404879620781	0.0126862281178	0.190293421767	0.00122253212081	0.0049046950345	0.00264909287045	0.00233592767948
k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Alcaligenaceae; g__Sutterella	16.923303246	0.000732880169312	0.020949579132	0.344453679576	0.00433132499765	0.00723546167115	0.00613599693582	0.00523449204648
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Dorea	16.8129872697	0.000772168110769	0.020949579132	0.362919012061	0.00682994291292	0.00456498620611	0.00647127689517	0.00396934300044
k__Bacteria; p__Actinobacteria; c__Coriobacteriia; o__Coriobacteriales; f__Coriobacteriaceae; g__Eggerthella	16.6706765824	0.000825956285146	0.020949579132	0.388199454019	0.000514271193089	0.00018982612438	0.000158424366652	0.000291947769531
k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Oxalobacteraceae; g__Oxalobacter	16.6177466193	0.000846897879805	0.020949579132	0.398042003508	8.30961393291e-05	0.000234419512724	0.000148416856002	0.000101219479544
k__Bacteria; p__Firmicutes; c__Erysipelotrichi; o__Erysipelotrichales; f__Erysipelotrichaceae; g__[Eubacterium]	15.8663755523	0.00120780358213	0.0268019668882	0.567667683602	0.00362177371548	0.00236330922757	0.00435476072748	0.00118077719837
k__Bacteria; p__Cyanobacteria; c__4C0d-2; o__YS2; f__; g__	15.8507185257	0.00121675954492	0.0268019668882	0.571876986113	0.000386330898018	0.00148685581174	0.000758007165733	0.000428728308062
k__Archaea; p__Euryarchaeota; c__Methanobacteria; o__Methanobacteriales; f__Methanobacteriaceae; g__Methanobrevibacter	15.7858712955	0.00125456015221	0.0268019668882	0.589643271541	9.95545962863e-05	0.000247711318857	9.43868530843e-05	9.58469908077e-05
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__	15.5106300372	0.00142841208117	0.0291892903544	0.67135367815	0.0891599346109	0.0719813067447	0.0785903062924	0.0559513241781
k__Bacteria; p__Actinobacteria; c__Coriobacteriia; o__Coriobacteriales; f__Coriobacteriaceae; g__Collinsella	14.9432796216	0.00186576758442	0.0365379485283	0.876910764679	0.0017237313809	0.00160071504961	0.00182799145534	0.000746032543639
k__Bacteria; p__Actinobacteria; c__Thermoleophilia; o__Solirubrobacterales; f__; g__	13.4977812605	0.00367494174102	0.0677595876118	1.0	2.32856790659e-05	9.66228582409e-07	1.27228158585e-07	0.0
k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__[Odoribacteraceae]; g__Odoribacter	13.4554405339	0.00374840271895	0.0677595876118	1.0	0.000813077996947	0.00132946477146	0.000938872784487	0.00099813741275
k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Streptomycetaceae; g__Streptomyces	13.2674453014	0.00409252925643	0.0712403240934	1.0	3.79885259655e-07	0.000165454747088	6.52129232607e-05	0.00021512003826
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Veillonellaceae; g__Mitsuokella	12.5833205495	0.00563008626198	0.0945050193975	1.0	0.0	1.28383016617e-05	6.76227112431e-05	0.0
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Lachnobacterium	12.3947462469	0.00614630279946	0.0979135561174	1.0	0.00286906230872	0.00181699275112	0.00153321171408	0.00197425727945
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Lachnospira	12.3435781357	0.00629426814145	0.0979135561174	1.0	0.00920981488384	0.00936856458421	0.00772770409642	0.00872367502144
k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Staphylococcaceae; g__Salinicoccus	12.2089783083	0.00670052064124	0.0979135561174	1.0	6.39668540147e-06	3.47168459443e-07	1.09503507135e-06	4.20353517308e-06
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Veillonellaceae; g__Selenomonas	12.2040278243	0.00671594634483	0.0979135561174	1.0	8.69000549793e-07	6.63370269287e-06	0.0	3.17088696616e-05
k__Bacteria; p__Firmicutes; c__Erysipelotrichi; o__Erysipelotrichales; f__Erysipelotrichaceae; g__Catenibacterium	12.1536974235	0.00687478159973	0.0979135561174	1.0	0.00227937058691	0.00123566331542	0.00337714921383	0.000102851485997
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Veillonellaceae; g__	11.8995331216	0.0077353622848	0.106930008055	1.0	0.000129518951115	0.0004461569898	0.000634005417488	0.00145486744383
k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__; g__	11.7942226731	0.00812235962305	0.109071686367	1.0	0.000442106852016	0.000188655496175	0.000160148066176	1.15659548678e-05
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Dehalobacteriaceae; g__Dehalobacterium	11.5603818965	0.00905134904385	0.117947013895	1.0	5.01514055348e-05	8.34405904048e-05	6.24918073943e-05	8.46079081283e-05
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Roseburia	11.5052564374	0.00928519045556	0.117947013895	1.0	0.0124133717132	0.011907011227	0.0117814490062	0.00683050933884
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Coprococcus	11.4082758495	0.00971113743203	0.119050323477	1.0	0.020953427052	0.0224909947133	0.0243552362266	0.017442329339
k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Oceanospirillales; f__Saccharospirillaceae; g__Saccharospirillum	11.0614035088	0.0113984352265	0.119050323477	1.0	7.02984609031e-06	0.0	0.0	0.0
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Veillonellaceae; g__Pectinatus	11.0614035088	0.0113984352265	0.119050323477	1.0	2.48570718369e-05	0.0	0.0	0.0
k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Desulfobacterales; f__Desulfobulbaceae; g__	11.0614035088	0.0113984352265	0.119050323477	1.0	6.15111532902e-06	0.0	0.0	0.0
k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Nocardioidaceae; g__Nocardioides	11.0614035088	0.0113984352265	0.119050323477	1.0	2.33898008396e-05	0.0	0.0	0.0
k__Bacteria; p__Bacteroidetes; c__[Rhodothermi]; o__[Rhodothermales]; f__[Balneolaceae]; g__KSA1	11.0614035088	0.0113984352265	0.119050323477	1.0	5.27238456773e-06	0.0	0.0	0.0
k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Methylophilales; f__Methylophilaceae; g__Methylotenera	11.0614035088	0.0113984352265	0.119050323477	1.0	4.39365380644e-06	0.0	0.0	0.0
k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__BPC076; f__; g__	11.0614035088	0.0113984352265	0.119050323477	1.0	4.39365380644e-06	0.0	0.0	0.0
k__Bacteria; p__Acidobacteria; c__Solibacteres; o__Solibacterales; f__Solibacteraceae; g__Candidatus Solibacter	10.9420379479	0.0120434628605	0.123052772705	1.0	8.48321681292e-07	3.51135694777e-07	7.51446685158e-08	0.0
k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__	10.8840014926	0.0123699481432	0.123699481432	1.0	5.68666645056e-05	0.000153559946932	4.45666764189e-06	1.73111294889e-05
k__Archaea; p__Euryarchaeota; c__Thermoplasmata; o__E2; f__[Methanomassiliicoccaceae]; g__Methanomassiliicoccus	10.8352614348	0.0126508620993	0.123873024723	1.0	2.43563232669e-06	9.9043823573e-06	0.0	0.0
k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Streptococcaceae; g__	10.4151674047	0.0153475471483	0.14513631978	1.0	3.5951538064e-06	1.94777803134e-07	7.12169147579e-08	1.27266942412e-06
k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Actinomycetaceae; g__	10.402085313	0.0154400340191	0.14513631978	1.0	6.20000740722e-05	8.05921327395e-06	5.48954218556e-06	2.96432808951e-06
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Veillonellaceae; g__Acidaminococcus	9.85607839521	0.0198299849465	0.182746920095	1.0	0.00137962221997	0.000422495843818	0.000550485749115	0.000453566257108
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__	9.67680426749	0.0215229740235	0.192167178476	1.0	0.0780905389071	0.08808315184	0.0895166959058	0.085492452413
k__Bacteria; p__Firmicutes; c__Bacilli; o__Turicibacterales; f__Turicibacteraceae; g__Turicibacter	9.66190347281	0.0216699158707	0.192167178476	1.0	0.000832040711289	0.000952237305498	0.00074897520181	0.000512802247299
k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__[Barnesiellaceae]; g__	9.5608563253	0.0226926869705	0.194351544642	1.0	0.00511298108676	0.00741948068277	0.00613063301869	0.00611859093894
k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Alteromonadales; f__Shewanellaceae; g__	9.55597598743	0.0227432658624	0.194351544642	1.0	8.93753289124e-06	1.09846123157e-07	2.36831909026e-07	0.0
k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Carnobacteriaceae; g__Carnobacterium	9.46674077561	0.0236878277484	0.198808554317	1.0	2.76609269083e-05	6.67004973151e-06	0.000124579853458	9.63428263132e-06
