OTU	Test-Statistic	P	FDR_P	Bonferroni_P	male_mean	female_mean
k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Rikenellaceae; g__	73.2400498844	1.1480246296e-17	5.39571575911e-15	5.39571575911e-15	0.0190923454592	0.0330768794023
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Christensenellaceae; g__	59.8648761913	1.01598507482e-14	2.38756492583e-12	4.77512985166e-12	0.00145737740644	0.00332444326314
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Oscillospira	48.0590789097	4.13568219152e-12	6.47923543338e-10	1.94377063001e-09	0.00968645124877	0.0132000393945
k__Bacteria; p__Firmicutes; c__Clostridia; o__SHA-98; f__; g__	47.3518296127	5.93227214797e-12	6.97041977386e-10	2.78816790954e-09	3.53267628929e-05	8.8913291701e-05
k__Bacteria; p__Verrucomicrobia; c__Verrucomicrobiae; o__Verrucomicrobiales; f__Verrucomicrobiaceae; g__Akkermansia	42.8890080331	5.79352680272e-11	5.44591519456e-09	2.72295759728e-08	0.0128027272715	0.0227846028882
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Anaerotruncus	38.4601773512	5.58824005783e-10	4.37745471197e-08	2.62647282718e-07	0.000125995933943	0.000341675629886
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Dehalobacteriaceae; g__Dehalobacterium	36.5181474753	1.51251491823e-09	1.01554573081e-07	7.10882011568e-07	5.37569716883e-05	0.000100088794981
k__Bacteria; p__Tenericutes; c__RF3; o__ML615J-28; f__; g__	35.8932674314	2.08427683603e-09	1.17494986083e-07	9.79610112934e-07	0.000369029863873	0.000679628814581
k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Microbacteriaceae; g__Pseudoclavibacter	35.7442902949	2.24990398883e-09	1.17494986083e-07	1.05745487475e-06	0.000170478431152	1.34428725403e-05
k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__[Odoribacteraceae]; g__Odoribacter	34.0309866989	5.42413474053e-09	2.54934332805e-07	2.54934332805e-06	0.000865477278149	0.00152257551869
k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides	32.9322487808	9.54271001191e-09	4.07733973236e-07	4.4850737056e-06	0.261273651475	0.317096226466
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__	31.0831803326	2.47204213346e-08	9.6821650227e-07	1.16185980272e-05	0.0818935756796	0.0656204506686
k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Rikenellaceae; g__Alistipes	26.6077374869	2.49243566449e-07	9.01111355623e-06	0.000117144476231	0.000314303834331	0.000549965575734
k__Bacteria; p__Actinobacteria; c__Coriobacteriia; o__Coriobacteriales; f__Coriobacteriaceae; g__Collinsella	25.2747942499	4.97163389524e-07	1.66904852197e-05	0.000233666793076	0.00226542505872	0.000914578362897
k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Bifidobacteriales; f__Bifidobacteriaceae; g__Gardnerella	22.431221787	2.17804496553e-06	6.82454089201e-05	0.0010236811338	1.40967464875e-05	0.00010481803009
k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__RF32; f__; g__	21.8883532036	2.88982532975e-06	8.48886190614e-05	0.00135821790498	0.002681625094	0.00549177939394
k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotella	21.6255316143	3.31410800505e-06	9.16253389632e-05	0.00155763076237	0.050799010833	0.0212141285271
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__[Tissierellaceae]; g__Finegoldia	20.7885150969	5.12896191896e-06	0.000133922894551	0.00241061210191	0.00130560017529	0.00140158395435
k__Bacteria; p__Synergistetes; c__Synergistia; o__Synergistales; f__Synergistaceae; g__Cloacibacillus	20.014014451	7.68766681562e-06	0.000190168600176	0.00361320340334	2.23899815465e-05	7.60505536514e-05
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Roseburia	19.1304398688	1.22082202168e-05	0.000286893175094	0.00573786350188	0.0131648928835	0.0100185517867
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Peptococcaceae; g__Peptococcus	17.9464367418	2.27209371881e-05	0.000508516213257	0.0106788404784	0.000177644666114	5.11111709092e-05
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__[Tissierellaceae]; g__Helcococcus	17.8304507251	2.41487505771e-05	0.000515905125966	0.0113499127712	5.1246720529e-07	1.29749526532e-05
k__Bacteria; p__Cyanobacteria; c__4C0d-2; o__YS2; f__; g__	16.7006602579	4.37657638955e-05	0.000894343870909	0.0205699090309	0.00121108322408	0.00113176004778
k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Desulfovibrionales; f__Desulfovibrionaceae; g__Bilophila	16.5083465177	4.84363846942e-05	0.000948545866928	0.0227651008063	0.00173294738989	0.00221143119378
k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Porphyromonadaceae; g__Parabacteroides	16.1368728168	5.89255578009e-05	0.00110780048666	0.0276950121664	0.0272133594472	0.0313668572687
k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Leuconostocaceae; g__Weissella	14.7541793256	0.000122475748387	0.00221398468238	0.0575636017418	4.75351121121e-05	3.12882788564e-05
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Coprococcus	14.2907927755	0.000156629128352	0.0027265070491	0.0736156903256	0.0246062523384	0.0202769681332
k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus	13.816659353	0.000201541254963	0.0033830139226	0.0947243898327	0.00266933084777	0.00330230631772
k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__; g__	13.5231207776	0.000235642232417	0.00381902928401	0.110751849236	0.000411595728425	0.000243252932375
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Dorea	13.271888382	0.000269415686733	0.00422084575882	0.126625372764	0.00567632888146	0.00460268245939
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Blautia	13.0508791372	0.00030314208058	0.00459602509267	0.142476777873	0.0311006677086	0.0235950234658
k__Bacteria; p__Firmicutes; c__Erysipelotrichi; o__Erysipelotrichales; f__Erysipelotrichaceae; g__Clostridium	12.3945221104	0.000430595181431	0.00632436672727	0.202379735273	9.26382402024e-05	0.000113892369858
k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Dermabacteraceae; g__Dermabacter	12.2058019563	0.000476411182561	0.00678525017587	0.223913255804	2.35950271174e-05	1.44563628695e-05
