OTU	Test-Statistic	P	FDR_P	Bonferroni_P	teen_mean	20s_mean	30s_mean	40s_mean
Unassigned	15.6573948265	0.0013329280347	0.0359890569369	0.0359890569369	0.000773597746718	0.00268604132285	0.00129220695674	0.00513815661257
k__Bacteria; p__Tenericutes; c__Mollicutes; o__RF39	12.6753762805	0.00539389967479	0.0539902477476	0.145635291219	0.00025406504065	0.00525421887518	0.0046068255274	0.00811623804955
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales	11.9958546946	0.0073973740681	0.0539902477476	0.199729099839	0.203465702284	0.261848027411	0.352690546149	0.323392418301
k__Bacteria; p__Tenericutes; c__RF3; o__ML615J-28	11.8273635145	0.00799855522186	0.0539902477476	0.21596099099	0.0	0.00184515533765	0.00154201734307	0.00107655093561
k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales	10.3572433712	0.0157612357796	0.0851106732099	0.42555336605	0.728508430057	0.687180862682	0.602844131246	0.648171589205
k__Bacteria; p__Fusobacteria; c__Fusobacteriia; o__Fusobacteriales	8.50781191756	0.0366037316042	0.164716792219	0.988300753314	0.0027036357657	0.000291794953472	0.000364008478993	0.0
k__Bacteria; p__Firmicutes; c__Clostridia; o__SHA-98	7.65407306438	0.0537290490109	0.207240617613	1.0	0.0	2.68454611171e-05	1.19632767366e-05	0.000278620518853
k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacteriales	5.70681947042	0.126778718829	0.427878176047	1.0	0.000333024651584	0.00188890194422	0.000502536422515	0.0
k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales	5.12912064723	0.162582808636	0.43999331741	1.0	0.000417469246339	0.00023149543379	0.000469298854629	6.19156708563e-05
k__Bacteria; p__Verrucomicrobia; c__Verrucomicrobiae; o__Verrucomicrobiales	5.12369449807	0.16296048793	0.43999331741	1.0	0.000127032520325	0.00317758223491	0.00143233068019	3.09578354281e-05
k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales	4.85175983123	0.182979455941	0.447226032653	1.0	0.0565408470376	0.0199821388212	0.0206206776514	0.00789646858361
k__Bacteria; p__Cyanobacteria; c__4C0d-2; o__YS2	4.51566732461	0.21089704789	0.447226032653	1.0	0.0	0.000560226101099	0.00134181176987	0.0
k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__RF32	4.46613366343	0.215331052759	0.447226032653	1.0	0.0	0.00585801162333	0.00342123096211	0.0
k__Bacteria; p__Synergistetes; c__Synergistia; o__Synergistales	3.74634197375	0.290189453426	0.525911917727	1.0	0.0	7.28116006146e-06	2.29114253511e-05	0.0
k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales	3.72967055551	0.292173287626	0.525911917727	1.0	0.0	4.6952339112e-06	6.94393321222e-06	0.0
k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__	3.51515151515	0.318802330415	0.537978932575	1.0	0.0	0.0	1.30852372354e-05	0.0
k__Bacteria; p__Verrucomicrobia; c__Opitutae; o__[Cerasicoccales]	3.22155176486	0.358711262182	0.544671530519	1.0	0.0	9.65793172073e-05	0.0	0.0
k__Bacteria; p__Firmicutes; c__Erysipelotrichi; o__Erysipelotrichales	3.19092687641	0.36311435368	0.544671530519	1.0	0.00232502874454	0.00593501588427	0.00589695170378	0.00524888541404
k__Bacteria; p__Lentisphaerae; c__[Lentisphaeria]; o__Victivallales	2.91030102038	0.405662754393	0.576468124663	1.0	4.23441734417e-05	0.000119821297223	9.67446976576e-05	0.000216704847997
k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pasteurellales	2.35055975097	0.502904253267	0.67892074191	1.0	0.000964258119959	0.000403913480982	8.97042712519e-05	0.0
k__Bacteria; p__Actinobacteria; c__Coriobacteriia; o__Coriobacteriales	1.92463802938	0.588194728911	0.756250365743	1.0	0.00108884007643	0.00102127424824	0.00140787725209	0.00034053618971
k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Desulfovibrionales	1.72296049205	0.63184127531	0.775441565153	1.0	0.000168907883754	0.000238161424221	0.000253951987214	0.0
k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Bifidobacteriales	1.44249457195	0.695604690001	0.797361617888	1.0	0.00127079642785	0.000813237904108	0.000857388831893	0.0
k__Bacteria; p__Firmicutes; c__Bacilli; o__Turicibacterales	1.38622899562	0.708765882567	0.797361617888	1.0	0.00101602022481	0.000148130157052	0.000122872163125	3.09578354281e-05
k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Aeromonadales	0.699178816828	0.873397082647	0.943268849259	1.0	0.0	0.000230691188179	0.0	0.0
k__Bacteria; p__Tenericutes; c__Mollicutes; o__Anaeroplasmatales	0.403946554435	0.939426027813	0.973301508581	1.0	0.0	0.000135854851324	9.0088884046e-05	0.0
k__Bacteria; p__Proteobacteria; c__Epsilonproteobacteria; o__Campylobacterales	0.225912747548	0.973301508581	0.973301508581	1.0	0.0	1.40416512973e-05	1.89429457417e-06	0.0
