OTU	Test-Statistic	P	FDR_P	Bonferroni_P	Obese_mean	Overweight_mean	Normal_mean
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae	10.1868051818	0.00613710227208	0.154339526668	0.319129318148	0.0892140383885	0.0911292949952	0.0643551363374
k__Bacteria; p__Tenericutes; c__Mollicutes; o__Anaeroplasmatales; f__Anaeroplasmataceae	10.0060933331	0.00671744996113	0.154339526668	0.349307397979	0.000160277881405	0.000306380939328	0.0
k__Bacteria; p__Fusobacteria; c__Fusobacteriia; o__Fusobacteriales; f__Fusobacteriaceae	9.39850817017	0.00910206393543	0.154339526668	0.473307324643	0.00172138929774	3.19171129497e-06	0.000280248071695
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__	8.86709948447	0.0118722712822	0.154339526668	0.617358106672	0.0220968949055	0.0362566572374	0.0261168916692
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae	7.65737361963	0.021738143211	0.226076689395	1.0	0.130709575981	0.170820537936	0.134756511004
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Peptostreptococcaceae	7.09637462887	0.0287767556146	0.249398548659	1.0	1.1417885476e-05	0.0	2.66169393732e-05
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Christensenellaceae	6.6314740964	0.0363072784988	0.269711211706	1.0	0.0022037586605	0.00186775331839	0.00112030135203
k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Propionibacteriaceae	5.70527921846	0.0576918358104	0.374996932768	1.0	3.57010569307e-06	8.02415633949e-06	3.57017900878e-06
k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__[Paraprevotellaceae]	5.41820490785	0.0665965533735	0.384780086158	1.0	0.00672543510833	0.00643515029729	0.0168203902298
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Peptococcaceae	4.93210045487	0.0849196106184	0.441581975216	1.0	0.000195296192115	0.000123266611925	0.000102967940307
k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__[Barnesiellaceae]	4.58501893791	0.101012655405	0.455448300681	1.0	0.00619238121651	0.0107830692954	0.0130813086753
k__Bacteria; p__Cyanobacteria; c__4C0d-2; o__YS2; f__	4.46200155247	0.107420872068	0.455448300681	1.0	1.3179658515e-05	0.000896386402545	0.000771025045835
k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Desulfovibrionales; f__Desulfovibrionaceae	4.25994485981	0.118840570253	0.455448300681	1.0	0.00028035358641	0.000287288376884	0.000198234039723
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Dehalobacteriaceae	4.11223205092	0.127949960453	0.455448300681	1.0	9.23052525781e-05	0.000111183494837	7.3894138771e-05
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales	4.02600885695	0.133586719405	0.455448300681	1.0	0.00105021208595	0.00118287291669	0.000933743245688
k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae	3.93025613044	0.140137938671	0.455448300681	1.0	0.559127736729	0.478755140028	0.52471024951
k__Bacteria; p__Firmicutes; c__Bacilli; o__Turicibacterales; f__Turicibacteraceae	3.2507977705	0.196833145704	0.601267761394	1.0	0.0001182937965	0.000222724369125	0.00014712779815
k__Bacteria; p__Lentisphaerae; c__[Lentisphaeria]; o__Victivallales; f__Victivallaceae	3.07505453484	0.214911864508	0.601267761394	1.0	6.6861959316e-06	0.00012492397743	0.000131492447757
k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Rikenellaceae	2.91707985895	0.232575603732	0.601267761394	1.0	0.0321964421259	0.049395833004	0.0420191412021
k__Bacteria; p__Tenericutes; c__RF3; o__ML615J-28; f__	2.82576320234	0.243440772247	0.601267761394	1.0	0.00103116606541	0.00185394843138	0.00180035247987
k__Bacteria; p__Firmicutes; c__Clostridia; o__SHA-98; f__	2.77513543935	0.249681862955	0.601267761394	1.0	1.90746100239e-05	1.35522712588e-05	3.22295315195e-05
k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales	2.72523999477	0.25598920653	0.601267761394	1.0	3.39616233656e-06	1.10911154612e-05	4.41992614079e-05
k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Porphyromonadaceae	2.49952328814	0.286573095117	0.601267761394	1.0	0.0399726042133	0.0374818043966	0.0399618021009
k__Bacteria; p__Synergistetes; c__Synergistia; o__Synergistales; f__Synergistaceae	2.3932961235	0.302205490236	0.601267761394	1.0	1.72451650904e-05	5.67577970839e-06	1.17171504723e-05
k__Bacteria; p__Verrucomicrobia; c__Verrucomicrobiae; o__Verrucomicrobiales; f__Verrucomicrobiaceae	2.35002063865	0.308815792901	0.601267761394	1.0	0.00114921716348	0.00276667329972	0.0029925798007
k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pasteurellales; f__Pasteurellaceae	2.14479670041	0.342186848589	0.601267761394	1.0	0.000359922981655	0.000323533252404	0.000360765200689
k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__; f__	2.07216494846	0.354842065565	0.601267761394	1.0	0.0	8.90335729416e-06	0.0
