OTU	Test-Statistic	P	FDR_P	Bonferroni_P	male_mean	female_mean
k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Alcaligenaceae	8.72670289477	0.00313583048601	0.133502989528	0.163063185272	0.0243412001716	0.0165021458891
k__Bacteria; p__Verrucomicrobia; c__Verrucomicrobiae; o__Verrucomicrobiales; f__Verrucomicrobiaceae	7.79420864152	0.00524139619295	0.133502989528	0.272552602034	0.000792023062238	0.00532397334139
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Dehalobacteriaceae	7.10146541755	0.0077020955497	0.133502989528	0.400508968584	5.94351400719e-05	0.00012914387063
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Christensenellaceae	5.51235857292	0.0188825668864	0.245473369523	0.981893478091	0.00131776183812	0.00176868482935
k__Bacteria; p__Tenericutes; c__Mollicutes; o__Anaeroplasmatales; f__Anaeroplasmataceae	5.09042232176	0.0240583321674	0.250206654541	1.0	0.000206722922354	0.0
k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Rikenellaceae	4.05783271358	0.0439668941937	0.369117286043	1.0	0.0353214689944	0.0540985670485
k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae	3.85192721058	0.0496888654289	0.369117286043	1.0	0.0412215436289	0.0101326048264
k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Bifidobacteriales; f__Bifidobacteriaceae	3.39691987826	0.0653182817654	0.382921076725	1.0	0.000980663692027	0.000621894557667
k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__	3.21818813937	0.0728241957964	0.382921076725	1.0	0.00218540187262	0.00570126807821
k__Bacteria; p__Proteobacteria; c__Epsilonproteobacteria; o__Campylobacterales; f__Campylobacteraceae	3.1171167463	0.0774737549483	0.382921076725	1.0	7.18525528134e-07	2.50258462637e-05
k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pasteurellales; f__Pasteurellaceae	3.04467083673	0.0810025354611	0.382921076725	1.0	0.00034365637774	0.000355382859295
k__Bacteria; p__Cyanobacteria; c__4C0d-2; o__YS2; f__	2.84956727095	0.0913985346076	0.396060316633	1.0	0.00089437839036	0.000457642784126
k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Porphyromonadaceae	2.50527303359	0.113465818397	0.414369254527	1.0	0.042262353981	0.0347970075681
k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales	2.46539905951	0.116378142052	0.414369254527	1.0	3.79916902578e-05	1.41775385007e-05
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__[Tissierellaceae]	2.30549122541	0.128917518756	0.414369254527	1.0	5.9004998964e-06	7.0436304077e-05
k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae	2.26827164997	0.132047091164	0.414369254527	1.0	3.94505790372e-05	8.30469520774e-05
k__Bacteria; p__Firmicutes; c__Clostridia; o__SHA-98; f__	2.12845102858	0.144586801115	0.414369254527	1.0	2.16730166777e-05	2.82948331233e-05
k__Bacteria; p__Firmicutes; c__Erysipelotrichi; o__Erysipelotrichales; f__Erysipelotrichaceae	2.11810906943	0.145566169548	0.414369254527	1.0	0.0072168650005	0.00384295034125
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae	2.05077362063	0.152128871116	0.414369254527	1.0	0.130596729693	0.167532173057
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae	1.89750038132	0.168358372937	0.414369254527	1.0	0.0822126681523	0.068059814031
k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Enterococcaceae	1.86337043756	0.172236306931	0.414369254527	1.0	2.89163594303e-06	3.4375637943e-05
k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacteriales; f__Enterobacteriaceae	1.83693959655	0.175310069223	0.414369254527	1.0	0.0014186144078	0.0016675245844
k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__[Paraprevotellaceae]	1.66310074776	0.197185186654	0.445809987218	1.0	0.0142483011506	0.00913064810563
k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Aeromonadales; f__Succinivibrionaceae	1.43008630365	0.2317503542	0.460154448589	1.0	0.000293004325216	0.0
k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__; f__	1.40322580646	0.236184211376	0.460154448589	1.0	0.0	6.96472304462e-06
k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales	1.40322580646	0.236184211376	0.460154448589	1.0	0.0	5.04313125523e-05
k__Bacteria; p__Verrucomicrobia; c__Opitutae; o__[Cerasicoccales]; f__[Cerasicoccaceae]	1.38691751332	0.238926348306	0.460154448589	1.0	7.18129769107e-05	7.13594445191e-05
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__EtOH8	1.07100707633	0.30071808189	0.555881853033	1.0	8.39663577276e-06	3.77129939271e-05
k__Bacteria; p__Lentisphaerae; c__[Lentisphaeria]; o__Victivallales; f__Victivallaceae	1.01187837818	0.314453257934	0.555881853033	1.0	0.000135076633782	8.2071207344e-05
Unassigned	0.986085211187	0.320701069057	0.555881853033	1.0	0.00227019815909	0.00242842745773
k__Bacteria; p__Tenericutes; c__RF3; o__ML615J-28; f__	0.892232643741	0.344872998986	0.578496643461	1.0	0.00159279151165	0.00189161171861
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae	0.81948333927	0.365331268586	0.582014334523	1.0	0.00258776845945	0.00227044641939
k__Bacteria; p__Synergistetes; c__Synergistia; o__Synergistales; f__Synergistaceae	0.805832493998	0.369355250755	0.582014334523	1.0	6.85908073541e-06	1.55468580548e-05
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Veillonellaceae	0.715027263951	0.397779916934	0.608369284723	1.0	0.02473126055	0.0224919208766
k__Bacteria; p__Tenericutes; c__Mollicutes; o__RF39; f__	0.654103087013	0.418649527424	0.617438260524	1.0	0.00451856354142	0.00562517630226
k__Bacteria; p__Actinobacteria; c__Coriobacteriia; o__Coriobacteriales; f__Coriobacteriaceae	0.606345927104	0.436166959768	0.617438260524	1.0	0.0012456473506	0.000906125012592
k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__[Odoribacteraceae]	0.598028925669	0.439331069989	0.617438260524	1.0	0.0087657024821	0.00792445541046
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Peptococcaceae	0.537213304274	0.463589923563	0.627713192325	1.0	0.000139395321821	9.67696224355e-05
k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Streptococcaceae	0.520133138929	0.470784894244	0.627713192325	1.0	0.000199854027816	0.000236392922766
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Peptostreptococcaceae	0.42620638292	0.513856313753	0.668013207878	1.0	1.40022499558e-05	1.87165340299e-05
k__Bacteria; p__Fusobacteria; c__Fusobacteriia; o__Fusobacteriales; f__Fusobacteriaceae	0.360776233338	0.548075451146	0.69512008438	1.0	0.000503333497377	0.000203741432892
k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__[Barnesiellaceae]	0.177548908049	0.673488187317	0.83384251763	1.0	0.0122719824985	0.0102524809658
k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__S24-7	0.147334889229	0.701095355517	0.847836243881	1.0	0.00972629763387	0.00801467742491
k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Oxalobacteraceae	0.100941543505	0.750702657408	0.862500306979	1.0	3.29303186894e-05	6.49974731277e-05
k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__RF32; f__	0.0956528341804	0.757110122535	0.862500306979	1.0	0.0041570519998	0.00642818358299
k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae	0.0781712121607	0.779791196324	0.862500306979	1.0	0.509831399414	0.520464735788
k__Bacteria; p__Firmicutes; c__Bacilli; o__Turicibacterales; f__Turicibacteraceae	0.0712916816736	0.789465294571	0.862500306979	1.0	0.000183334088147	0.000146389466382
k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Desulfovibrionales; f__Desulfovibrionaceae	0.0667331206143	0.796154129519	0.862500306979	1.0	0.00024396983673	0.000229547784449
k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Propionibacteriaceae	0.0513047892146	0.820808200144	0.871061763418	1.0	4.11169599092e-06	6.29444503195e-06
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__	0.023751825609	0.877518057559	0.912618779861	1.0	0.029347015209	0.0282518585272
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__[Mogibacteriaceae]	0.0141357878461	0.905359319991	0.923111463521	1.0	0.000358250594836	0.000378203860548
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales	0.000318309611162	0.985765510448	0.985765510448	1.0	0.00103157548352	0.0010279775479
